epoch,train_mse,train_rmse,l1_penalty,total_loss
1,0.062876,0.250751,0.027214,0.063012
2,0.061203,0.247392,0.048924,0.061448
3,0.059925,0.244795,0.06922,0.060271
4,0.058689,0.242259,0.085148,0.059115
5,0.057831,0.240481,0.101771,0.05834
6,0.056962,0.238667,0.114663,0.057535
7,0.056273,0.237219,0.126009,0.056903
8,0.055659,0.235921,0.135526,0.056336
9,0.055173,0.23489,0.143537,0.055891
10,0.054806,0.234106,0.149119,0.055551
11,0.054486,0.233423,0.153013,0.055251
12,0.054185,0.232777,0.156313,0.054967
13,0.053917,0.232199,0.158991,0.054712
14,0.053735,0.231809,0.162285,0.054547
15,0.053554,0.231416,0.16641,0.054386
16,0.053416,0.23112,0.171539,0.054274
17,0.053296,0.23086,0.174985,0.054171
18,0.053197,0.230644,0.178331,0.054088
19,0.0531,0.230434,0.181141,0.054006
20,0.053012,0.230243,0.18371,0.05393
21,0.05295,0.230108,0.185235,0.053876
22,0.052885,0.229966,0.185786,0.053813
23,0.052828,0.229843,0.18564,0.053756
24,0.052806,0.229795,0.185398,0.053733
25,0.052756,0.229686,0.184551,0.053678
26,0.052728,0.229626,0.18451,0.053651
27,0.052698,0.22956,0.184271,0.053619
28,0.052666,0.22949,0.183801,0.053585
29,0.052639,0.229431,0.183984,0.053559
30,0.052639,0.229432,0.182886,0.053553
31,0.052616,0.229382,0.183235,0.053532
32,0.052602,0.229351,0.182742,0.053515
33,0.052579,0.229301,0.182476,0.053491
34,0.052569,0.229279,0.182441,0.053481
35,0.052559,0.229258,0.181497,0.053467
36,0.052543,0.229224,0.181184,0.053449
37,0.052547,0.229232,0.180478,0.05345
38,0.052532,0.2292,0.180399,0.053434
39,0.052528,0.229189,0.179861,0.053427
40,0.052519,0.229171,0.179948,0.053419
41,0.052517,0.229167,0.179615,0.053416
42,0.052512,0.229155,0.179672,0.05341
43,0.05251,0.22915,0.179504,0.053407
44,0.052502,0.229133,0.178934,0.053397
45,0.052504,0.229138,0.178871,0.053399
46,0.052494,0.229116,0.179281,0.053391
47,0.052485,0.229096,0.179208,0.053381
48,0.052486,0.229099,0.179309,0.053383
49,0.052484,0.229095,0.178839,0.053379
50,0.052482,0.22909,0.178362,0.053374
