split,investor,n_train,n_columns,rank,cond_W,cond_WtW
30,retail,772,11,11,4.077337948638182,16.624684747404988
31,foreign,765,11,11,2.725424490645213,7.427938654208735
31,institution,765,11,11,3.441892495814513,11.846623952744212
31,retail,765,11,11,5.322566521723352,28.3297143781708
32,foreign,765,11,11,3.7297745510886213,13.911218201948323
32,institution,765,11,11,3.4351074685590466,11.79996332055009
32,retail,765,11,11,3.8048343899963295,14.476764735298723
33,foreign,765,11,11,3.5913482583666054,12.89778231287286
33,institution,765,11,11,3.0843603032626823,9.513278480342645
33,retail,765,11,11,3.7006298346622732,13.694661173192513
34,foreign,768,11,11,3.6887898868667,13.607170829449995
34,institution,768,11,11,3.3471106847812404,11.203149936176873
34,retail,768,11,11,3.702808306729382,13.710789356384137
35,foreign,772,11,11,2.546826616967483,6.486325816894073
35,institution,772,11,11,3.2999991562716753,10.889994431393792
35,retail,772,11,11,5.567265954181805,30.994450204592138
36,foreign,765,11,11,3.4754512373179227,12.078761302974659
36,institution,765,11,11,3.213976022423883,10.329641872715634
36,retail,765,11,11,4.1537206650062135,17.253395362899564
37,foreign,765,11,11,3.719370446914053,13.833716521377655
37,institution,765,11,11,3.020343512517582,9.122474933607066
37,retail,765,11,11,4.001821377554544,16.014574337852547
38,foreign,768,11,11,3.7753779749032343,14.253478853384454
38,institution,768,11,11,3.2274648171084537,10.41652914567291
38,retail,768,11,11,3.9073032137886217,15.267018404482885
39,foreign,772,11,11,2.7361515463048565,7.486525284346482
39,institution,772,11,11,3.268631692207088,10.683953139300558
39,retail,772,11,11,6.936266551685934,48.11179367603896
40,foreign,765,11,11,2.6491324162818426,7.017902558995301
40,institution,765,11,11,3.157023394833489,9.966796715525945
40,retail,765,11,11,5.433682700055761,29.52490768488513
41,foreign,768,11,11,2.572299677002487,6.6167256283071145
41,institution,768,11,11,3.4082517050840564,11.616179685208435
41,retail,768,11,11,5.553194705739622,30.8379714398549
42,foreign,772,11,11,3.288567663331077,10.814677276306828
42,institution,772,11,11,3.370144049673975,11.357870915552933
42,retail,772,11,11,3.750062874954693,14.062971566113479
43,foreign,768,11,11,3.353190964218245,11.243889642514823
43,institution,768,11,11,3.7938929416610723,14.393623652785688
43,retail,768,11,11,3.949664688950955,15.599851155146062
44,foreign,775,11,11,3.4440867018245087,11.861733209684413
44,institution,775,11,11,3.114257725889617,9.698601183263186
44,retail,775,11,11,3.7745531369264964,14.247251383481599
