split,investor,n_epochs,loss_first,loss_last,drop_share_by_80pct_epochs,final_step_share_of_drop,weight_final_step_max_abs,weight_final_step_rel
0,foreign,75,0.063828,0.056873,0.9506829618979147,-0.0027318475916604163,0.0011209398508072038,0.02403462327665033
0,institution,75,0.01531,0.015034,1.0,0.0,5.420829984359999e-05,0.0038443783900853727
0,retail,75,0.109619,0.09906,0.9988635287432523,0.0,0.0004482325166464008,0.010115472326642654
1,foreign,75,0.063701,0.055999,1.0007790184367695,-0.0006491820306411407,0.0002497141249478002,0.005225287484987713
1,institution,75,0.015096,0.014813,0.9964664310954028,0.0,8.974826050689444e-05,0.006234076930538848
1,retail,75,0.103683,0.09148,0.9990985823158242,-0.0005736294353853156,0.00029004737734789933,0.006151045094627649
2,foreign,75,0.061091,0.053601,1.0004005340453943,-0.0008010680907885185,0.00038405833765860035,0.00824189518010543
2,institution,75,0.015776,0.015437,1.0,0.0,0.00011048809392377733,0.007443446354354325
2,retail,75,0.103024,0.094384,0.9994212962962957,0.0005787037037042819,0.00020623672753570035,0.005419265052265319
3,foreign,75,0.066336,0.058465,0.9992377080421803,0.0017786812349129867,0.0001501627266407,0.0031570102128798496
3,institution,75,0.014714,0.014502,1.004716981132072,0.0,4.15404210798e-05,0.003900248248636263
3,retail,75,0.106334,0.097061,0.9960099212768242,0.0010783996549131884,0.00027740187942979985,0.0058853446701960304
4,foreign,75,0.063038,0.055487,1.000264865580718,0.0001324327903590254,0.00021194294095040062,0.004981039079790119
4,institution,75,0.014837,0.014592,1.0,0.0,0.00011835185432572791,0.00850742716314182
4,retail,75,0.111141,0.099142,0.9969997499791643,0.0,0.0004991553723812034,0.0097174674143816
5,foreign,75,0.059563,0.053587,1.0,0.0011713520749665441,0.00028751503123199346,0.008387137592336549
5,institution,75,0.014426,0.01412,0.9967320261437932,0.0,8.131726644930014e-05,0.005314961073278103
5,retail,75,0.110743,0.102856,0.9984785089387602,0.00025358184354025643,0.0002946387976408005,0.0071150633893435735
6,foreign,75,0.063923,0.057042,0.9995640168580154,-0.0014532771399510354,0.0003827284090220989,0.00824128079885458
6,institution,75,0.015522,0.015205,0.9968454258675047,0.0,8.561855793232098e-05,0.006091702018787445
6,retail,75,0.114939,0.104289,0.9980281690140851,0.0010328638497649888,0.00022811442613599603,0.00474281421124743
7,foreign,75,0.063838,0.055074,0.999657690552259,0.0010269283432225074,0.0001789643429219996,0.003725756018554132
7,institution,75,0.015729,0.015444,0.996491228070172,0.0,5.75507147005e-05,0.004035373946255548
7,retail,75,0.106233,0.094271,0.9991640193947492,0.0,0.0002655275166034976,0.005334733036193923
8,foreign,75,0.063087,0.055357,1.1716688227684349,0.01565329883570454,0.0017647966742515998,0.0318396820050968
8,institution,75,0.014125,0.013876,0.9959839357429678,0.0,8.277814049506559e-05,0.009350918609024582
8,retail,75,0.106288,0.095382,0.9992664588300011,0.0011003117549983497,0.00038190558552739923,0.009527178997066354
9,foreign,75,0.066962,0.058604,0.9752333094041638,0.008255563531945405,0.0018383479909971,0.037123700781234496
9,institution,75,0.016211,0.015993,0.9908256880734012,0.0,5.3059251513299995e-05,0.0043480751625867295
9,retail,75,0.108398,0.094582,0.9979009843659524,0.0003618992472499278,0.00028062239289280283,0.0046049054233516205
10,foreign,75,0.064177,0.055411,1.0002281542322613,-0.0005703855806530918,0.00023761554621159987,0.004369628515617554
10,institution,75,0.016992,0.016713,1.0,0.0,8.919088577377284e-05,0.007094868648814826
10,retail,75,0.107314,0.096935,0.9990365160420069,-0.0005780903747945,0.0003387351171113054,0.007246311646453489
11,foreign,75,0.069488,0.059966,1.0,-0.0009451795841204713,0.0003094617277383995,0.005521322131681793
11,institution,75,0.015929,0.01577,1.0062893081761068,0.0,7.753215322736651e-05,0.009024462954607975
11,retail,75,0.110593,0.099454,0.9996409013376422,-0.000359098662357842,0.00034334883093839995,0.008116333735275313
12,foreign,75,0.066304,0.056888,0.9993627867459645,-0.00021240441801210705,0.0003245341649745,0.006063529634995085
12,institution,75,0.016053,0.015852,1.0049751243781144,0.0,6.1354628997e-05,0.005275103854139998
12,retail,75,0.115372,0.101551,0.9989146950293032,0.0002894146588527603,0.0003324951976537982,0.006032804733913902
13,foreign,75,0.06265,0.054609,1.0002487252829244,0.001989802263400339,0.0003803377039731,0.0085358251141208
13,institution,75,0.015641,0.015404,0.9957805907172953,0.0,6.68421562295e-05,0.005349553010207792
13,retail,75,0.114976,0.105009,1.0005016554630286,0.00020066218521000545,0.00020541867706917174,0.003808488395301479
14,foreign,75,0.06722,0.058628,1.0003491620111735,-0.0008147113594041038,0.0002931244671345,0.005457156208868922
14,institution,75,0.016738,0.016467,1.0,0.0,7.750630174996331e-05,0.00666457794880925
14,retail,75,0.119124,0.106634,0.9993594875900725,-0.0004803843074464377,0.0004351995885372006,0.009260607590284523
15,foreign,75,0.067073,0.05634,1.0001863411907204,-0.0006521941675207367,0.0003996149316662,0.007221312207945366
15,institution,75,0.016945,0.016713,1.0043103448275754,0.004310344827590461,9.38937300816e-05,0.007804554322509055
15,retail,75,0.110414,0.096751,1.000805094049623,0.0013906169948028437,0.0002773068845271995,0.006048820586028257
16,foreign,75,0.066293,0.054986,0.9992924736888652,0.0007075263111347889,0.0002190470695494981,0.003907637797064092
16,institution,75,0.015334,0.015146,1.0,0.0,5.8234982134308666e-05,0.007782710578668083
16,retail,75,0.11052,0.097599,0.9988390991409333,-0.00023218017181355954,0.0003342523705214999,0.006317887219841799
17,foreign,75,0.065104,0.056817,1.0152045372269822,0.00012067093037299392,0.0016824840568006,0.03402982879989942
17,institution,75,0.016744,0.016378,0.9972677595628388,-0.002732240437161215,9.2042944743298e-05,0.008154496357512055
17,retail,75,0.103305,0.09301,0.9996114618746961,-0.000582807187954553,0.0002826733980328001,0.005452564178660333
18,foreign,75,0.070269,0.06043,1.0019310905579832,-0.0019310905579833504,0.00026423512463210003,0.004573623764804356
18,institution,75,0.015813,0.015621,1.0,0.0,0.00013241793203631742,0.017043416247110317
18,retail,75,0.106207,0.094722,1.0003482803656947,-0.0006094906399657817,0.00031613372266290143,0.006643277565806586
19,foreign,75,0.06704,0.057492,1.0005236698785085,-0.0007331378299120299,0.0002686665393413002,0.00484807928143347
19,institution,75,0.015937,0.015701,1.0,0.0,6.862614100100473e-05,0.006147065209266795
19,retail,75,0.110994,0.096136,0.9985866200026917,0.0,0.00030434876680379957,0.004918584003133986
20,foreign,75,0.063457,0.054787,0.9994232987312575,0.002191464821222398,0.00018032686784860003,0.0037310187244144013
20,institution,75,0.015525,0.015245,1.003571428571426,-0.0035714285714259384,0.00010790397936943918,0.009250768245774848
20,retail,75,0.110552,0.098917,0.9980232058444353,8.594757198117755e-05,0.00028215814381839927,0.004964038513592261
21,foreign,75,0.067858,0.05848,1.0010663254425247,-0.0011729579867772572,0.0003256266936659995,0.005848945677853988
21,institution,75,0.016622,0.016285,1.0,0.0,4.98543340654578e-05,0.004799265298953315
21,retail,75,0.114757,0.100658,0.998723313710192,0.00028370806440201435,0.0002450365573168009,0.004354934529828128
22,foreign,75,0.067827,0.056774,0.9998190536505924,-0.0009047317470366528,0.0004465838574105,0.007679062411139696
22,institution,75,0.016829,0.016538,0.9965635738831581,0.0034364261168419296,8.792111475479337e-05,0.008140022474074804
22,retail,75,0.10607,0.091312,0.9987125626778702,0.0001355197181191219,0.0005302573554217,0.010465313894622725
23,foreign,75,0.067038,0.055749,0.9998228363894054,0.0007972362476749102,0.00030713621526949966,0.005619559957194142
23,institution,75,0.015219,0.014973,0.991869918699186,0.0,8.203320612665266e-05,0.010363707195760985
23,retail,75,0.106167,0.093315,0.9967320261437909,-0.0003112356053524838,0.0002981820143759999,0.00502817987554093
24,foreign,75,0.067414,0.058707,1.0359480877454923,0.008613759044446846,0.0014201824087648,0.030541842731670966
24,institution,75,0.01649,0.016222,0.9962686567164142,0.0,8.706402877570001e-05,0.009600462158929596
24,retail,75,0.106021,0.098256,0.9963940759819704,-0.0006439150032184311,0.00028949904663021637,0.006196171156234563
25,foreign,75,0.064257,0.055526,1.0013744130111095,-0.0014889474287022254,0.0003005331382156008,0.005643808892319213
25,institution,75,0.016617,0.01632,0.996632996633005,0.0,9.097674046643078e-05,0.007768148470271181
25,retail,75,0.110456,0.099665,0.9992586414604768,-0.00037067926976220943,0.0002483166754246001,0.00518641955914435
26,foreign,75,0.060783,0.052768,1.0001247660636308,-0.001746724890829711,0.0004394948482513983,0.009252983321635207
