seed,variant,year,n,rmse,direction_accuracy,balanced_accuracy,macro_f1,pearson,std_ratio
42,e0_baseline,2022,243,0.1326479205898542,0.5925925925925926,0.5362420830401126,0.5172476070074047,0.1371357821849483,0.0583380963110788
42,e0_baseline,2023,245,0.1150123569209181,0.5102040816326531,0.5097881469562886,0.5092147435897436,-0.0073066056323308,0.0361482348522656
42,e0_baseline,2024,244,0.1250793918796472,0.5327868852459017,0.5291879034998301,0.528957528957529,0.0651048902295011,0.0917804328965804
42,e0_baseline,2025,241,0.1273164061840974,0.5394190871369294,0.5397038567493113,0.5373800259403372,0.0529909574774088,0.0795059540179847
42,e1_persistence,2022,243,0.1321029858669429,0.5843621399176955,0.5343068261787474,0.5216255725562811,0.1495666585931163,0.0796869184043703
42,e1_persistence,2023,245,0.1142017940288975,0.5510204081632653,0.5508514347009922,0.5501135149572649,0.1367249582746742,0.0579310201712046
42,e1_persistence,2024,244,0.1246134694495939,0.5204918032786885,0.5198436969079171,0.5186727588474314,0.1043040888533806,0.1079014718826983
42,e1_persistence,2025,241,0.1264684108678332,0.5435684647302904,0.543870523415978,0.5412859911406422,0.1262044071345088,0.0916736150424459
42,e7_persistence_liquidity,2022,243,0.1321508769179512,0.588477366255144,0.5394088669950738,0.527972027972028,0.1454304811339692,0.0791990887971945
42,e7_persistence_liquidity,2023,245,0.114160228987064,0.5591836734693878,0.5590640922499329,0.5582932692307692,0.1415401311646661,0.0591614684187404
42,e7_persistence_liquidity,2024,244,0.1245815382766847,0.5368852459016393,0.5355419639823309,0.5346262258004625,0.1062681810875309,0.1115805998288156
42,e7_persistence_liquidity,2025,241,0.1264532475662071,0.5477178423236515,0.5478994490358127,0.5469377899656784,0.1274132347223293,0.0920131571902239
43,e0_baseline,2022,243,0.132647920659674,0.5925925925925926,0.5362420830401126,0.5172476070074047,0.137135780408503,0.05833809494833
43,e0_baseline,2023,245,0.1150123569015351,0.5102040816326531,0.5097881469562886,0.5092147435897436,-0.0073066016884834,0.0361482348491774
43,e0_baseline,2024,244,0.1250793917825767,0.5327868852459017,0.5291879034998301,0.528957528957529,0.0651048993226699,0.0917804375241299
43,e0_baseline,2025,241,0.1273164061819963,0.5394190871369294,0.5397038567493113,0.5373800259403372,0.0529909601865498,0.0795059560056209
43,e1_persistence,2022,243,0.1321029858610421,0.5843621399176955,0.5343068261787474,0.5216255725562811,0.149566656329566,0.0796869204779262
43,e1_persistence,2023,245,0.1142017939625838,0.5510204081632653,0.5508514347009922,0.5501135149572649,0.1367249714325021,0.0579310183070679
43,e1_persistence,2024,244,0.1246134693444354,0.5204918032786885,0.5198436969079171,0.5186727588474314,0.1043041000684729,0.1079014723251962
43,e1_persistence,2025,241,0.1264684108833651,0.5435684647302904,0.543870523415978,0.5412859911406422,0.1262044052234996,0.0916736154567095
