variant,comparator,n_seeds,seeds_with_lower_rmse,rmse_delta,rmse_delta_between_seed_std,rmse_skill_delta,rmse_skill_delta_between_seed_std,rmse_win_rate,rmse_win_rate_between_seed_std,balanced_accuracy_delta,balanced_accuracy_delta_between_seed_std,pearson_delta,pearson_delta_between_seed_std,std_ratio_delta,std_ratio_delta_between_seed_std,tail_direction_delta,tail_direction_delta_between_seed_std
e1_persistence,e0_baseline,5,5,-0.00064839455606204,2.463667323840615e-11,0.005075164560417041,2.0706963458264345e-10,1.0,0.0,0.0234359111694107,0.0,0.05385770194053098,1.2384216814678545e-09,0.01767782801337574,1.4243917197389913e-09,0.0560362811791383,0.0
e7_persistence_liquidity,e1_persistence,5,5,-6.09805244550115e-06,3.6526507040802754e-11,4.9676935380586046e-05,2.918104398946491e-10,0.6888888888888889,0.0,0.0025797578596685,0.0,0.00099412990746654,3.5968881180012556e-09,0.0015553310291237402,8.54116221956112e-10,0.0008888888888888,0.0
