variant,n_seeds,rmse,rmse_between_seed_std,nrmse,nrmse_between_seed_std,rmse_skill,rmse_skill_between_seed_std,mse_skill,mse_skill_between_seed_std,mae_skill,mae_skill_between_seed_std,direction_accuracy,direction_accuracy_between_seed_std,balanced_accuracy,balanced_accuracy_between_seed_std,macro_f1,macro_f1_between_seed_std,pearson,pearson_between_seed_std,spearman,spearman_between_seed_std,std_ratio,std_ratio_between_seed_std,tail_direction_accuracy,tail_direction_accuracy_between_seed_std
e0_baseline,5,0.12461050251962598,1.4258601975311725e-11,1.0060559832043394,1.1611564615123614e-10,0.00506036095167974,1.1783393185982066e-10,0.01001523187154586,2.382895185160332e-10,0.0026801572897794603,7.924665599484733e-11,0.5340659724039283,0.0,0.5171811159363543,0.0,0.5066163430610977,0.0,0.07714917320797288,2.417035276703058e-09,0.0781780221441498,0.0,0.0694450599551143,1.82838983530725e-09,0.5684444444444445,0.0
e1_persistence,5,0.12396210796356388,1.7267488375330143e-11,1.000917305653166,1.465718683363655e-10,0.010135525512096798,1.4400607004295623e-10,0.02005492970297908,2.8236450705241724e-10,0.0074591489781456796,1.5893929092041285e-10,0.5546391752577319,0.0,0.540617027105765,0.0,0.5340203524518131,0.0,0.1310068751485039,2.568168265312599e-09,0.1306437993129678,0.0,0.08712288796849008,1.1557093338068076e-09,0.6244807256235829,0.0
e7_persistence_liquidity,5,0.12395600991111837,2.6060018713670665e-11,1.0008683217290866,1.9925235259770877e-10,0.01018520244747738,1.9374419427797534e-10,0.02015356965550764,3.8086502658703753e-10,0.007138141606889201,3.1712519871859744e-10,0.5574889086585145,0.0,0.5431967849654334,0.0,0.5370594469567067,0.0,0.13200100505597048,1.7046290820925547e-09,0.1328419242606205,0.0,0.08867821899761387,3.9149755878927495e-10,0.6253696145124716,0.0
