seed,variant,comparator,rmse_delta,rmse_skill_delta,rmse_win_rate,balanced_accuracy_delta,pearson_delta,std_ratio_delta,tail_direction_delta
42,e1_persistence,e0_baseline,-0.0006483945232216,0.0050751642880601,1.0,0.0234359111694107,0.0538577004987968,0.0176778293550006,0.0560362811791383
42,e7_persistence_liquidity,e1_persistence,-6.09810546412083e-06,4.96773793221994e-05,0.6888888888888889,0.0025797578596685,0.0009941340655909,0.0015553314228359,0.0008888888888888
43,e1_persistence,e0_baseline,-0.0006483945377614,0.0050751644078315,1.0,0.0234359111694107,0.0538577009214432,0.0176778287377343,0.0560362811791383
43,e7_persistence_liquidity,e1_persistence,-6.098034836428555e-06,4.967680504280746e-05,0.6888888888888889,0.0025797578596685,0.0009941264682946,0.0015553314621533,0.0008888888888888
44,e1_persistence,e0_baseline,-0.0006483945633751,0.0050751646080588,1.0,0.0234359111694107,0.0538577023006597,0.0176778289769183,0.0560362811791383
44,e7_persistence_liquidity,e1_persistence,-6.098049041599237e-06,4.967689330542443e-05,0.6888888888888889,0.0025797578596685,0.0009941307241621,0.0015553299429208,0.0008888888888888
45,e1_persistence,e0_baseline,-0.0006483945774631,0.0050751647664316,1.0,0.0234359111694107,0.0538577024071538,0.0176778268684008,0.0560362811791383
45,e7_persistence_liquidity,e1_persistence,-6.09806552808888e-06,4.967700926716094e-05,0.6888888888888889,0.0025797578596685,0.0009941323634924,0.0015553303336158,0.0008888888888888
46,e1_persistence,e0_baseline,-0.000648394578489,0.0050751647317032,1.0,0.0234359111694107,0.0538577035746014,0.0176778261288247,0.0560362811791383
46,e7_persistence_liquidity,e1_persistence,-6.09800735726825e-06,4.967658996533804e-05,0.6888888888888889,0.0025797578596685,0.0009941259157927,0.0015553319840929,0.0008888888888888
