epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,0.0004999988595955074
1,beta,persist,,0.000499999790918082
1,beta,underwater,,-0.000499999092426151
1,B,momentum,kospi_return_1d,-0.0004999993252567947
1,B,momentum,fx_level_z_252,0.0004999995580874383
1,B,persist,kospi_return_1d,-0.0004999992670491338
1,B,persist,fx_level_z_252,0.0004999934462830424
1,B,underwater,kospi_return_1d,0.0004999997327104211
1,B,underwater,fx_level_z_252,0.0004999993834644556
1,alpha,,kospi_return_1d,-0.0004999996745027602
1,alpha,,fx_level_z_252,-0.0004999996745027602
2,beta,momentum,,0.0006882942980155349
2,beta,persist,,0.0009959160815924406
2,beta,underwater,,-0.0007020425982773304
2,B,momentum,kospi_return_1d,-0.0008220672607421875
2,B,momentum,fx_level_z_252,0.0009757351945154369
2,B,persist,kospi_return_1d,-0.0008262509945780039
2,B,persist,fx_level_z_252,0.00017830956494435668
2,B,underwater,kospi_return_1d,0.0009696641936898232
2,B,underwater,fx_level_z_252,0.0008741053752601147
2,alpha,,kospi_return_1d,-0.0009907197672873735
2,alpha,,fx_level_z_252,-0.0009780412074178457
3,beta,momentum,,0.0006949068047106266
3,beta,persist,,0.0014905312564224005
3,beta,underwater,,-0.0006796566885896027
3,B,momentum,kospi_return_1d,-0.000980490236543119
3,B,momentum,fx_level_z_252,0.0014419052749872208
3,B,persist,kospi_return_1d,-0.0010099097853526473
3,B,persist,fx_level_z_252,-0.0002205334894824773
3,B,underwater,kospi_return_1d,0.0014185188338160515
3,B,underwater,fx_level_z_252,0.0011424499098211527
3,alpha,,kospi_return_1d,-0.0014797672629356384
3,alpha,,fx_level_z_252,-0.0014458150835707784
4,beta,momentum,,0.0005898361559957266
4,beta,persist,,0.001984227215871215
4,beta,underwater,,-0.0005099944537505507
4,B,momentum,kospi_return_1d,-0.0009982502087950706
4,B,momentum,fx_level_z_252,0.0018996486905962229
4,B,persist,kospi_return_1d,-0.0010720583377406001
4,B,persist,fx_level_z_252,-0.0003035329864360392
4,B,underwater,kospi_return_1d,0.0018479287391528487
4,B,underwater,fx_level_z_252,0.0013090360444039106
4,alpha,,kospi_return_1d,-0.0019677947275340557
4,alpha,,fx_level_z_252,-0.0019043402280658484
5,beta,momentum,,0.0004151697503402829
5,beta,persist,,0.002476966008543968
5,beta,underwater,,-0.0002496864181011915
5,B,momentum,kospi_return_1d,-0.0009119121823459864
5,B,momentum,fx_level_z_252,0.002347196452319622
5,B,persist,kospi_return_1d,-0.001036312198266387
5,B,persist,fx_level_z_252,-0.0002205501514254138
5,B,underwater,kospi_return_1d,0.0022596248891204596
5,B,underwater,fx_level_z_252,0.0013861599145457149
5,alpha,,kospi_return_1d,-0.002454499015584588
5,alpha,,fx_level_z_252,-0.002352558309212327
6,beta,momentum,,0.00019843890913762152
6,beta,persist,,0.0029686023481190205
6,beta,underwater,,6.764536374248564e-05
6,B,momentum,kospi_return_1d,-0.0007556453347206116
6,B,momentum,fx_level_z_252,0.0027816402725875378
6,B,persist,kospi_return_1d,-0.000927091867197305
6,B,persist,fx_level_z_252,-3.94183152820915e-05
6,B,underwater,kospi_return_1d,0.002656141761690378
6,B,underwater,fx_level_z_252,0.0013913550646975636
6,alpha,,kospi_return_1d,-0.0029392982833087444
6,alpha,,fx_level_z_252,-0.002788709243759513
7,beta,momentum,,-4.030521085951477e-05
7,beta,persist,,0.003458953695371747
7,beta,underwater,,0.00017624547763261944
7,B,momentum,kospi_return_1d,-0.0005569580243900418
7,B,momentum,fx_level_z_252,0.003199345199391246
7,B,persist,kospi_return_1d,-0.0007659239345230162
7,B,persist,fx_level_z_252,0.00020398557535372674
7,B,underwater,kospi_return_1d,0.003040582872927189
7,B,underwater,fx_level_z_252,0.0013429756509140134
7,alpha,,kospi_return_1d,-0.003421490080654621
7,alpha,,fx_level_z_252,-0.003210674971342087
8,beta,momentum,,4.079193604411557e-05
8,beta,persist,,0.003947763238102198
8,beta,underwater,,0.00015062735474202782
8,B,momentum,kospi_return_1d,-0.00033793511101976037
8,B,momentum,fx_level_z_252,0.003596970345824957
8,B,persist,kospi_return_1d,-0.000570543750654906
8,B,persist,fx_level_z_252,0.00030962590244598687
8,B,underwater,kospi_return_1d,0.0034122802317142487
8,B,underwater,fx_level_z_252,0.0012531658867374063
8,alpha,,kospi_return_1d,-0.0039005246944725513
8,alpha,,fx_level_z_252,-0.0036163455806672573
9,beta,momentum,,8.589375647716224e-05
9,beta,persist,,0.004434704780578613
9,beta,underwater,,3.533413837430999e-05
9,B,momentum,kospi_return_1d,-0.00012043940660078079
9,B,momentum,fx_level_z_252,0.003972398582845926
9,B,persist,kospi_return_1d,-0.0003582585777621716
9,B,persist,fx_level_z_252,0.0003084568015765399
9,B,underwater,kospi_return_1d,0.0037677313666790724
9,B,underwater,fx_level_z_252,0.0011272775009274483
9,alpha,,kospi_return_1d,-0.0043763224966824055
9,alpha,,fx_level_z_252,-0.004002482630312443
10,beta,momentum,,9.655478788772598e-05
