epoch,train_mse,train_rmse,l1_penalty,total_loss
1,0.014687,0.121188,0.0055,0.014714
2,0.01463,0.120956,0.009213,0.014677
3,0.014585,0.120768,0.01215,0.014646
4,0.014545,0.120603,0.015286,0.014621
5,0.01451,0.120456,0.017831,0.014599
6,0.014478,0.120323,0.020164,0.014578
7,0.014449,0.120203,0.022162,0.01456
8,0.014422,0.120091,0.024328,0.014543
9,0.014397,0.119989,0.026422,0.014529
10,0.014376,0.119899,0.028148,0.014517
11,0.014357,0.119819,0.029539,0.014504
12,0.014339,0.119746,0.030638,0.014492
13,0.014323,0.119679,0.031489,0.01448
14,0.014308,0.119617,0.032481,0.014471
15,0.014294,0.119559,0.03329,0.014461
16,0.014282,0.119505,0.034111,0.014452
17,0.014269,0.119454,0.034635,0.014443
18,0.014257,0.119403,0.035036,0.014432
19,0.014245,0.119353,0.035483,0.014423
20,0.014234,0.119307,0.035975,0.014414
21,0.014224,0.119266,0.036272,0.014406
22,0.014216,0.119231,0.036385,0.014398
23,0.014209,0.1192,0.036334,0.01439
24,0.014202,0.119174,0.036149,0.014383
25,0.014197,0.119153,0.03596,0.014377
26,0.014193,0.119135,0.035785,0.014372
27,0.01419,0.11912,0.035533,0.014367
28,0.014186,0.119106,0.035369,0.014363
29,0.014183,0.119093,0.035296,0.01436
30,0.01418,0.119081,0.035263,0.014357
31,0.014177,0.119069,0.035292,0.014354
32,0.014174,0.119056,0.035462,0.014352
33,0.014171,0.119043,0.035885,0.014351
34,0.014166,0.119022,0.036441,0.014348
35,0.014161,0.119001,0.037107,0.014347
36,0.014156,0.118979,0.037902,0.014345
37,0.01415,0.118956,0.038687,0.014344
38,0.014145,0.118933,0.039437,0.014342
39,0.01414,0.118911,0.040135,0.014341
40,0.014135,0.118891,0.040766,0.014339
41,0.014131,0.118873,0.041321,0.014337
42,0.014127,0.118856,0.041945,0.014336
43,0.014123,0.118842,0.042436,0.014336
44,0.01412,0.118828,0.042779,0.014334
45,0.014117,0.118817,0.043246,0.014334
46,0.014115,0.118806,0.043604,0.014333
47,0.014113,0.118798,0.04385,0.014332
48,0.014112,0.118793,0.043994,0.014332
49,0.014111,0.118789,0.044196,0.014332
50,0.01411,0.118787,0.04427,0.014332
51,0.014109,0.118781,0.044406,0.014331
52,0.014108,0.118777,0.04447,0.01433
53,0.014107,0.118775,0.044476,0.01433
54,0.014107,0.118774,0.044622,0.01433
55,0.014107,0.118774,0.044699,0.014331
56,0.014107,0.118773,0.044678,0.01433
57,0.014107,0.118771,0.044746,0.01433
58,0.014106,0.118769,0.044858,0.01433
59,0.014106,0.118768,0.044917,0.01433
60,0.014106,0.118767,0.044927,0.01433
61,0.014106,0.118767,0.044891,0.01433
62,0.014106,0.118768,0.044814,0.01433
63,0.014106,0.118769,0.044705,0.01433
64,0.014106,0.11877,0.044572,0.014329
65,0.014107,0.118773,0.044435,0.014329
66,0.014107,0.118775,0.044613,0.014331
67,0.014107,0.118773,0.044775,0.014331
68,0.014106,0.11877,0.04485,0.01433
69,0.014105,0.118766,0.045008,0.01433
70,0.014105,0.118764,0.04511,0.01433
71,0.014104,0.118762,0.04516,0.01433
72,0.014104,0.118761,0.045161,0.01433
73,0.014104,0.11876,0.045141,0.01433
74,0.014104,0.118761,0.045144,0.01433
75,0.014104,0.11876,0.045126,0.01433
