split,investor,coefficient,exact_lasso,adam,abs_diff
1,foreign,momentumxfx_level_z_252,-0.007609482703762158,-0.0074390633963048,0.00017041930745735796
1,foreign,persistxkospi_return_1d,-0.006623299814018119,-0.0066174129024147,5.886911603419573e-06
1,foreign,persistxfx_level_z_252,-0.0030306207908733255,-0.0029723923653364,5.822842553692559e-05
1,foreign,underwaterxkospi_return_1d,-0.006035812270960782,-0.0060323546640574,3.4576069033818296e-06
1,foreign,underwaterxfx_level_z_252,-0.011400592863364365,-0.0114920698106288,9.147694726443535e-05
1,foreign,kospi_return_1d,0.027539301998668535,0.0279817041009664,0.0004424021022978661
1,foreign,fx_level_z_252,-0.014327181729022741,-0.0145675605162978,0.0002403787872750588
1,institution,momentum,-0.0032116690806572434,-0.0032052604947239,6.408585933343359e-06
1,institution,persist,0.014289358733789658,0.0143963992595672,0.00010704052577754225
1,institution,underwater,-0.0008844651528342946,-0.0008213885012082,6.307665162609457e-05
1,institution,momentumxkospi_return_1d,-0.0,1.9975144823547453e-05,1.9975144823547453e-05
1,institution,momentumxfx_level_z_252,-0.0,-8.375750621780753e-05,8.375750621780753e-05
1,institution,persistxkospi_return_1d,-0.0010820831540980405,-0.0011175007093697,3.5417555271659426e-05
1,institution,persistxfx_level_z_252,-0.0026943338020414976,-0.0027183187194168,2.3984917375302357e-05
1,institution,underwaterxkospi_return_1d,0.003780064587513213,0.0038772905245423,9.722593702908696e-05
1,institution,underwaterxfx_level_z_252,0.0018417028165467917,0.0018749209120869,3.3218095540108166e-05
1,institution,kospi_return_1d,-0.0022874009443786107,-0.0023070552852004,1.965434082178922e-05
1,institution,fx_level_z_252,-0.0034117597596584927,-0.003334559733048,7.720002661049281e-05
1,retail,momentum,-0.024108518943435967,-0.0261286068707704,0.0020200879273344317
1,retail,persist,0.04758577175232603,0.0471541620790958,0.000431609673230228
1,retail,underwater,0.04556629409330463,0.0425811856985092,0.0029851083947954257
1,retail,momentumxkospi_return_1d,0.006435528245745004,0.0092818178236484,0.002846289577903397
1,retail,momentumxfx_level_z_252,0.0,-2.6497455110074952e-05,2.6497455110074952e-05
1,retail,persistxkospi_return_1d,0.002626493255338326,0.0008199887815862,0.001806504473752126
1,retail,persistxfx_level_z_252,-0.023631521108811587,-0.0267268363386392,0.003095315229827613
1,retail,underwaterxkospi_return_1d,0.009960502694388989,0.009826298803091,0.00013420389129798795
1,retail,underwaterxfx_level_z_252,-0.03132424505668802,-0.0302681047469377,0.0010561403097503232
1,retail,kospi_return_1d,-0.02455863351659872,-0.0226410422474145,0.0019175912691842198
1,retail,fx_level_z_252,0.02370575635599985,0.0237958636134862,9.010725748635068e-05
2,foreign,momentum,0.04666750534916714,0.0465983040630817,6.920128608543796e-05
2,foreign,persist,0.04270477712684439,0.0428587235510349,0.00015394642419051113
2,foreign,underwater,0.00297197939540195,0.0029440082143992,2.7971181002750013e-05
2,foreign,momentumxkospi_return_1d,-0.011554873613346167,-0.0116356927901506,8.081917680443328e-05
2,foreign,momentumxfx_level_z_252,-0.004953823139111913,-0.0047699837014079,0.00018383943770401354
2,foreign,persistxkospi_return_1d,-0.0,-5.276641604723409e-05,5.276641604723409e-05
2,foreign,persistxfx_level_z_252,-0.003632069532611846,-0.0035005384124815,0.00013153112013034604
2,foreign,underwaterxkospi_return_1d,-0.005668224848810353,-0.005318924318999,0.0003493005298113531
2,foreign,underwaterxfx_level_z_252,-0.006817427031495806,-0.0068899285979568,7.250156646099442e-05
2,foreign,kospi_return_1d,0.03355825352004463,0.0333231016993522,0.00023515182069242663
2,foreign,fx_level_z_252,-0.0059070599119805094,-0.006056229583919,0.0001491696719384903
2,institution,momentum,-0.002884228568173269,-0.0029521388933062,6.791032513293101e-05
2,institution,persist,0.014678431880604114,0.0148436743766069,0.0001652424960027852
2,institution,underwater,-0.0011093175875001849,-0.0009791809134185,0.00013013667408168488
2,institution,momentumxkospi_return_1d,-0.0,1.4270262909121811e-05,1.4270262909121811e-05
2,institution,momentumxfx_level_z_252,0.0,0.0001996142091229,0.0001996142091229
2,institution,persistxkospi_return_1d,-0.0,-1.3101693184580654e-05,1.3101693184580654e-05
2,institution,persistxfx_level_z_252,-0.002921346101398133,-0.0029060232918709,1.5322809527232913e-05
2,institution,underwaterxkospi_return_1d,0.005647408290584919,0.0058425348252058,0.00019512653462088175
2,institution,underwaterxfx_level_z_252,0.002994974725734686,0.0030469158664345,5.1941140699814006e-05
2,institution,kospi_return_1d,-0.004229316195652293,-0.0041554663330316,7.384986262069359e-05
2,institution,fx_level_z_252,-0.0023522808431997617,-0.0023636918049305,1.1410961730738342e-05
2,retail,momentum,-0.030826311322269387,-0.0315659567713737,0.0007396454491043133
2,retail,persist,0.032466132188455704,0.0323154218494892,0.00015071033896650599
2,retail,underwater,0.039547082777675754,0.0380562171339988,0.001490865643676953
2,retail,momentumxkospi_return_1d,0.006582070778761641,0.0064766476862132,0.00010542309254844059
2,retail,momentumxfx_level_z_252,0.0023868800236435603,0.0052681555971503,0.0028812755735067395
2,retail,persistxkospi_return_1d,0.011260968228454571,0.0108348773792386,0.0004260908492159706
2,retail,persistxfx_level_z_252,-0.011655499217315131,-0.0129237156361341,0.00126821641881897
2,retail,underwaterxkospi_return_1d,0.005707654307662964,0.003592268563807,0.0021153857438559642
2,retail,underwaterxfx_level_z_252,-0.026583947157230114,-0.0238183885812759,0.002765558575954216
2,retail,kospi_return_1d,-0.025512462780034113,-0.0267137829214334,0.0012013201413992869
2,retail,fx_level_z_252,0.012267803413895462,0.0109538761898875,0.0013139272240079627
3,foreign,momentum,0.04770376277359474,0.0475648529827594,0.00013890979083534122
3,foreign,persist,0.04461693120009083,0.044651199132204,3.426793211316892e-05
3,foreign,underwater,0.003056830727446102,0.0028673962224274,0.00018943450501870181
3,foreign,momentumxkospi_return_1d,-0.011016629170245294,-0.0111567340791225,0.0001401049088772064
3,foreign,momentumxfx_level_z_252,-0.006502907030976961,-0.0064515443518757,5.1362679101261445e-05
3,foreign,persistxkospi_return_1d,-0.004996105509260495,-0.0051023731939494,0.00010626768468890557
3,foreign,persistxfx_level_z_252,-0.00378860886359452,-0.003515776945278,0.0002728319183165199
3,foreign,underwaterxkospi_return_1d,-0.005307155252172054,-0.0054663605988025,0.00015920534663044564
3,foreign,underwaterxfx_level_z_252,-0.008520047628191502,-0.00859169755131,7.164992311849833e-05
3,foreign,kospi_return_1d,0.02653783839771006,0.0263057928532362,0.000232045544473862
3,foreign,fx_level_z_252,-0.01477261372253914,-0.0148296449333429,5.7031210803760654e-05
3,institution,momentum,-0.0030734053366563074,-0.003106493037194,3.3087700537692746e-05
3,institution,persist,0.010840588702118821,0.0106507120653986,0.00018987663672022197
3,institution,underwater,-0.001316533826259834,-0.0013386160135269,2.2082187267066095e-05
3,institution,momentumxkospi_return_1d,-0.0,-0.0001100957379094,0.0001100957379094
3,institution,momentumxfx_level_z_252,0.0010249794166628267,0.0010221336269751,2.845789687726686e-06
3,institution,persistxkospi_return_1d,-0.0,-0.0003603856894187,0.0003603856894187
3,institution,persistxfx_level_z_252,-0.0,-0.0001469409180572,0.0001469409180572
3,institution,underwaterxkospi_return_1d,0.004588401229674948,0.0046676322817802,7.923105210525232e-05
3,institution,underwaterxfx_level_z_252,0.003151313361051964,0.0031925870571285,4.127369607653591e-05
3,institution,kospi_return_1d,-0.004384519843247823,-0.0044140531681478,2.9533324899976704e-05
3,institution,fx_level_z_252,-0.0006142098501336332,-0.0006250751321204,1.0865281986766821e-05
3,retail,momentum,-0.030358121710340122,-0.0314529873430728,0.0010948656327326792
3,retail,persist,0.029089185599938398,0.0291396044194698,5.0418819531401066e-05
3,retail,underwater,0.04973153551155405,0.0471343472599983,0.0025971882515557487
3,retail,momentumxkospi_return_1d,0.006208697805956584,0.0078725349158048,0.001663837109848217
3,retail,momentumxfx_level_z_252,0.0,-0.0015738899819552,0.0015738899819552
3,retail,persistxkospi_return_1d,0.007690151669153639,0.0096354968845844,0.001945345215430762
3,retail,persistxfx_level_z_252,-0.0092110370324325,-0.0108119025826454,0.0016008655502129012
3,retail,underwaterxkospi_return_1d,0.005957559153323827,0.0066767469979822,0.0007191878446583732
3,retail,underwaterxfx_level_z_252,-0.03653086414774138,-0.0354646891355514,0.0010661750121899807
