investor,max_abs_diff,mean_abs_diff,n,sign_mismatches
foreign,0.01665867096564266,0.001058830844695361,495,59
institution,0.000551478897896254,8.682925658367377e-05,495,153
retail,0.009654874765613946,0.0011828763063747199,495,53
