split,investor,n_test,r2_train_mean,r2_zero
37,retail,194,0.026748681336952407,0.02688613678289664
38,foreign,197,0.06586567100744922,0.03308079111049722
38,institution,197,0.03807878746565596,0.022261572519735817
38,retail,197,0.06825040588300713,0.05136550212459856
39,foreign,194,0.271535149158892,0.2327698017658365
39,institution,194,-0.012946458775456637,-0.013123327351714176
39,retail,194,0.2321686713900769,0.19921251261130657
40,foreign,194,0.12727040357643327,0.12276504077626738
40,institution,194,-0.02631443974501524,-0.020764211784310538
40,retail,194,0.15413839743023527,0.14378951966399223
41,foreign,197,0.08471266521282539,0.0854183277651932
41,institution,197,-0.007067486134945122,-0.031055760408298827
41,retail,197,0.1559845788976586,0.15523874146352012
42,foreign,194,0.19647853720762098,0.1710666901033573
42,institution,194,0.0009979956543556545,-0.009261065429935433
42,retail,194,0.11881125595760855,0.11184019576818194
43,foreign,197,0.03626791673823504,0.03151522337536561
43,institution,197,-0.013703203026564026,-0.06918559924167145
43,retail,197,0.12333586566924004,0.11880802068660634
44,foreign,197,-0.0784879404625316,-0.08918819598666561
44,institution,197,0.02556376597263832,-0.01759566815427993
44,retail,197,0.08786289122387159,0.07186631727001802
