investor,n_epochs,drop_share_by_80pct_min,drop_share_by_80pct_mean,final_step_share_max,weight_step_max,weight_step_rel_max
foreign,150,0.9746528114984944,1.001562604845275,0.005129027087674433,0.0027593324775807,0.04357189877820209
institution,75,0.9793281653746765,0.9933115786348872,0.002105263157896836,0.00013660080730919927,0.0056128248525489175
retail,300,0.9971542713292838,1.0000977748399404,0.0008716767324575131,0.0005675102584063,0.005288386157290312
