experiment,epochs,batch_size,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_15_bs_512_lr_0p00075_l1_0p0003,15,512,0.00075,0.0003,institution,0.5366871921898348,0.036646201804465615,0.5276443171165832,0.037347334740383646,0.6926369812753466,0.003726575454940281,25.0,3.0
ep_15_bs_512_lr_0p0015_l1_0p0003,15,512,0.0015,0.0003,retail,0.600836138875806,0.0515505570700198,0.5881225858684321,0.0536268511547479,0.6784272789955139,0.014649577579098428,1.0,14.0
ep_20_bs_512_lr_0p00125_l1_0p0003,20,512,0.00125,0.0003,retail,0.6004924962641223,0.050793834311466224,0.587679461125646,0.0529155431396742,0.6780262509981791,0.01576279943421437,2.0,11.0
ep_25_bs_512_lr_0p001_l1_0p0003,25,512,0.001,0.0003,retail,0.6003814374843732,0.05089777096810797,0.5874058537112016,0.05275546683752818,0.6779355552461412,0.015348438076188888,3.0,10.0
ep_20_bs_512_lr_0p0015_l1_0p0003,20,512,0.0015,0.0003,retail,0.6001523424099173,0.05184274260190791,0.5867465669468334,0.05431232035807818,0.6776427904764811,0.01867103083055233,4.0,7.0
ep_30_bs_512_lr_0p00075_l1_0p0003,30,512,0.00075,0.0003,retail,0.6000360504939499,0.05077734637973545,0.5873068884896228,0.052474386154599456,0.6783574051327176,0.013684469605547355,5.0,13.0
ep_25_bs_512_lr_0p00075_l1_0p0003,25,512,0.00075,0.0003,retail,0.6000360504939499,0.05042947444514007,0.5875409296687081,0.05226729791602674,0.6793102992905511,0.011695669215996745,5.0,17.0
ep_25_bs_512_lr_0p00125_l1_0p0003,25,512,0.00125,0.0003,retail,0.599803466662015,0.05145071418830347,0.5862545215434516,0.053554239307927944,0.6774239208963182,0.018709365421112078,7.0,4.0
ep_20_bs_512_lr_0p001_l1_0p0003,20,512,0.001,0.0003,retail,0.5995761159662987,0.050597953475894596,0.5870722069071366,0.05259557407295201,0.6789794988102383,0.012695077382252546,8.0,15.0
ep_20_bs_512_lr_0p00075_l1_0p0003,20,512,0.00075,0.0003,retail,0.5995743715875591,0.04986213097309916,0.5874532770792356,0.052306730092090144,0.6807046254475911,0.009563240654339838,9.0,20.0
ep_30_bs_512_lr_0p001_l1_0p0003,30,512,0.001,0.0003,retail,0.5991179258173868,0.05125837887394829,0.5855767131961387,0.053315781271041404,0.6774145868089464,0.01766969966114321,10.0,3.0
ep_15_bs_512_lr_0p00125_l1_0p0003,15,512,0.00125,0.0003,retail,0.5990068670376378,0.051134476289553935,0.5865909688946673,0.053410042183747376,0.6793040633201599,0.012181365182373971,11.0,16.0
ep_35_bs_512_lr_0p0005_l1_0p0003,35,512,0.0005,0.0003,retail,0.5990051226588984,0.049631984557934425,0.5864563965283736,0.05153890895574326,0.6797466542985704,0.010695660443540157,12.0,18.0
