epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,-0.0019996250048279762
1,beta,persist,,0.002000408712774515
1,beta,underwater,,0.0019108960404992104
1,B,momentum,kospi_return_1d,0.0004448357503861189
1,B,momentum,fx_level_z_252,-0.0003471608506515622
1,B,persist,kospi_return_1d,0.0020008503925055265
1,B,persist,fx_level_z_252,-0.0020011928863823414
1,B,underwater,kospi_return_1d,-0.0013426863588392735
1,B,underwater,fx_level_z_252,0.0010522729717195034
1,alpha,,kospi_return_1d,-0.0019876037258654833
1,alpha,,fx_level_z_252,0.0019757230766117573
2,beta,momentum,,-0.00396181084215641
2,beta,persist,,0.003963924013078213
2,beta,underwater,,0.0036915582604706287
2,B,momentum,kospi_return_1d,-0.0005043473793193698
2,B,momentum,fx_level_z_252,0.0009854405652731657
2,B,persist,kospi_return_1d,0.003819758305326104
2,B,persist,fx_level_z_252,-0.003963710740208626
2,B,underwater,kospi_return_1d,-0.0018784150015562773
2,B,underwater,fx_level_z_252,0.0012557951267808676
2,alpha,,kospi_return_1d,-0.0036742836236953735
2,alpha,,fx_level_z_252,0.0039025754667818546
3,beta,momentum,,-0.00585784949362278
3,beta,persist,,0.005899528972804546
3,beta,underwater,,0.005414012353867292
3,B,momentum,kospi_return_1d,-0.0009647397673688829
3,B,momentum,fx_level_z_252,0.002281981287524104
3,B,persist,kospi_return_1d,0.0055733066983520985
3,B,persist,fx_level_z_252,-0.005627223290503025
3,B,underwater,kospi_return_1d,-0.0018732245080173016
3,B,underwater,fx_level_z_252,0.0012444524327293038
3,alpha,,kospi_return_1d,-0.005140979308634996
3,alpha,,fx_level_z_252,0.005786591675132513
4,beta,momentum,,-0.007702138740569353
4,beta,persist,,0.007824609987437725
4,beta,underwater,,0.007144094444811344
4,B,momentum,kospi_return_1d,-0.0011136374669149518
4,B,momentum,fx_level_z_252,0.003548799082636833
4,B,persist,kospi_return_1d,0.006798914633691311
4,B,persist,fx_level_z_252,-0.007258178666234016
4,B,underwater,kospi_return_1d,-0.00170049793086946
4,B,underwater,fx_level_z_252,0.001040999311953783
4,alpha,,kospi_return_1d,-0.006485363934189081
4,alpha,,fx_level_z_252,0.007649092469364405
5,beta,momentum,,-0.009532341733574867
5,beta,persist,,0.009755096398293972
5,beta,underwater,,0.008909329771995544
5,B,momentum,kospi_return_1d,-0.0007457518950104713
5,B,momentum,fx_level_z_252,0.004628853406757116
5,B,persist,kospi_return_1d,0.007396646775305271
5,B,persist,fx_level_z_252,-0.00879587884992361
5,B,underwater,kospi_return_1d,-0.002125483239069581
5,B,underwater,fx_level_z_252,0.0010416550794616342
5,alpha,,kospi_return_1d,-0.007934280671179295
5,alpha,,fx_level_z_252,0.009532084688544273
6,beta,momentum,,-0.011323493905365467
6,beta,persist,,0.011660278774797916
6,beta,underwater,,0.010638217441737652
6,B,momentum,kospi_return_1d,-0.00024417450185865164
6,B,momentum,fx_level_z_252,0.00547263165935874
6,B,persist,kospi_return_1d,0.008016631938517094
6,B,persist,fx_level_z_252,-0.010199947282671928
6,B,underwater,kospi_return_1d,-0.002407012740150094
6,B,underwater,fx_level_z_252,0.0011098941322416067
6,alpha,,kospi_return_1d,-0.009353899396955967
6,alpha,,fx_level_z_252,0.011396372690796852
7,beta,momentum,,-0.013041866011917591
7,beta,persist,,0.01353519968688488
7,beta,underwater,,0.012240785174071789
7,B,momentum,kospi_return_1d,0.00019054111908189952
7,B,momentum,fx_level_z_252,0.00634792260825634
7,B,persist,kospi_return_1d,0.008520095609128475
7,B,persist,fx_level_z_252,-0.011501873843371868
7,B,underwater,kospi_return_1d,-0.0025103415828198195
7,B,underwater,fx_level_z_252,0.0007348288781940937
7,alpha,,kospi_return_1d,-0.01070916373282671
7,alpha,,fx_level_z_252,0.013221079483628273
8,beta,momentum,,-0.014603856019675732
8,beta,persist,,0.01536466646939516
8,beta,underwater,,0.013738882727921009
8,B,momentum,kospi_return_1d,0.000526856747455895
8,B,momentum,fx_level_z_252,0.007171490229666233
8,B,persist,kospi_return_1d,0.009157219901680946
8,B,persist,fx_level_z_252,-0.01261462364345789
8,B,underwater,kospi_return_1d,-0.002296997467055917
8,B,underwater,fx_level_z_252,0.0001971478050108999
8,alpha,,kospi_return_1d,-0.011894317343831062
8,alpha,,fx_level_z_252,0.01499144732952118
9,beta,momentum,,-0.01607426069676876
9,beta,persist,,0.017121916636824608
9,beta,underwater,,0.015119551680982113
9,B,momentum,kospi_return_1d,0.0009629396954551339
9,B,momentum,fx_level_z_252,0.00794003251940012
9,B,persist,kospi_return_1d,0.009562886320054531
9,B,persist,fx_level_z_252,-0.013473798520863056
9,B,underwater,kospi_return_1d,-0.001991677563637495
9,B,underwater,fx_level_z_252,-0.0005551697686314583
9,alpha,,kospi_return_1d,-0.012880629859864712
9,alpha,,fx_level_z_252,0.016724014654755592
10,beta,momentum,,-0.017450643703341484
10,beta,persist,,0.018819987773895264
10,beta,underwater,,0.016381949186325073
