experiment,epochs,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_100_lr_0p001_l1_0,100,0.001,0.0,4,retail,766,194,0.6511973824264486,0.520618556701031,0.4958504484868807,0.7059773206710815
ep_100_lr_0p001_l1_0,100,0.001,0.0,5,foreign,766,194,0.639966330235683,0.6907216494845361,0.6580091667646022,0.5907031297683716
ep_100_lr_0p001_l1_0,100,0.001,0.0,5,institution,766,194,0.6781432960114342,0.5,0.4811260925910607,0.7282077670097351
ep_100_lr_0p001_l1_0,100,0.001,0.0,5,retail,766,194,0.6651307433143298,0.6185567010309279,0.5914162112932605,0.6600176692008972
ep_100_lr_0p001_l1_0,100,0.001,0.0,6,foreign,766,194,0.6304506421400424,0.6649484536082474,0.6308007612355438,0.6339669227600098
ep_100_lr_0p001_l1_0,100,0.001,0.0,6,institution,766,194,0.6820914289347497,0.5154639175257731,0.4961317418213969,0.7111262083053589
ep_100_lr_0p001_l1_0,100,0.001,0.0,6,retail,766,194,0.6588214416416756,0.6237113402061856,0.5793506994980248,0.6703747510910034
ep_100_lr_0p001_l1_0,100,0.001,0.0,7,foreign,766,194,0.6277501142678622,0.654639175257732,0.6505444280145181,0.620836615562439
ep_100_lr_0p001_l1_0,100,0.001,0.0,7,institution,766,194,0.6826673405288716,0.5103092783505154,0.5006367355786165,0.6982929110527039
ep_100_lr_0p001_l1_0,100,0.001,0.0,7,retail,766,194,0.6538700403806124,0.5721649484536082,0.5609543285616905,0.6837008595466614
ep_100_lr_0p001_l1_0,100,0.001,0.0,8,foreign,769,197,0.6258648731618616,0.6395939086294417,0.6394452607429175,0.6874118447303772
ep_100_lr_0p001_l1_0,100,0.001,0.0,8,institution,769,197,0.6857275993058213,0.5177664974619289,0.5175676024024953,0.6946160197257996
ep_100_lr_0p001_l1_0,100,0.001,0.0,8,retail,769,197,0.6568100450485364,0.5685279187817259,0.5678152019615434,0.7121794819831848
ep_100_lr_0p001_l1_0,100,0.001,0.0,9,foreign,772,194,0.6252174454649495,0.6185567010309279,0.617540494458653,0.6591057777404785
ep_100_lr_0p001_l1_0,100,0.001,0.0,9,institution,772,194,0.6883126960517211,0.5670103092783505,0.5613695090439277,0.6835699677467346
ep_100_lr_0p001_l1_0,100,0.001,0.0,9,retail,772,194,0.6569090454689579,0.5360824742268041,0.5360331632653061,0.7010659575462341
ep_100_lr_0p001_l1_0,100,0.001,0.0,10,foreign,765,194,0.6180469872125613,0.6134020618556701,0.5988088344776243,0.6669178009033203
ep_100_lr_0p001_l1_0,100,0.001,0.0,10,institution,765,194,0.684598754901512,0.5463917525773195,0.5393416082029142,0.6907537579536438
ep_100_lr_0p001_l1_0,100,0.001,0.0,10,retail,765,194,0.6608087768741683,0.5876288659793815,0.5775261324041812,0.680081844329834
ep_100_lr_0p001_l1_0,100,0.001,0.0,11,foreign,765,194,0.6187691944097382,0.5979381443298969,0.5958333333333333,0.6590031385421753
ep_100_lr_0p001_l1_0,100,0.001,0.0,11,institution,765,194,0.6870295883004183,0.6134020618556701,0.5847010132724418,0.6828135848045349
ep_100_lr_0p001_l1_0,100,0.001,0.0,11,retail,765,194,0.6625137779447767,0.6237113402061856,0.6220140390210052,0.6712493896484375
ep_100_lr_0p001_l1_0,100,0.001,0.0,12,foreign,765,194,0.6202892775629081,0.6134020618556701,0.6110769559755153,0.6566643714904785
ep_100_lr_0p001_l1_0,100,0.001,0.0,12,institution,765,194,0.6874536045236526,0.5670103092783505,0.5497347480106101,0.6835358738899231
ep_100_lr_0p001_l1_0,100,0.001,0.0,12,retail,765,194,0.6494887633261338,0.4896907216494845,0.4824157167111326,0.7272832989692688
ep_100_lr_0p001_l1_0,100,0.001,0.0,13,foreign,765,194,0.6339529315630595,0.6649484536082474,0.6508376021043888,0.6060855388641357
ep_100_lr_0p001_l1_0,100,0.001,0.0,13,institution,765,194,0.6821159803010279,0.5463917525773195,0.5262515262515263,0.7063060402870178
ep_100_lr_0p001_l1_0,100,0.001,0.0,13,retail,765,194,0.6655233902868882,0.6082474226804123,0.6048456260720412,0.6611142754554749
ep_100_lr_0p001_l1_0,100,0.001,0.0,14,foreign,765,194,0.6254110467979331,0.634020618556701,0.6151116327157906,0.6402986645698547
ep_100_lr_0p001_l1_0,100,0.001,0.0,14,institution,765,194,0.6851691970638201,0.5567010309278351,0.5223863506240696,0.6996055841445923
ep_100_lr_0p001_l1_0,100,0.001,0.0,14,retail,765,194,0.6561359985201967,0.5721649484536082,0.5454879047054506,0.7345699071884155
ep_100_lr_0p001_l1_0,100,0.001,0.0,15,foreign,765,194,0.6172737248582778,0.6082474226804123,0.6082474226804123,0.6692330837249756
ep_100_lr_0p001_l1_0,100,0.001,0.0,15,institution,765,194,0.6854401896981632,0.5567010309278351,0.5326610644257703,0.6888910531997681
ep_100_lr_0p001_l1_0,100,0.001,0.0,15,retail,765,194,0.6529776683040693,0.5463917525773195,0.545619078036836,0.6983060836791992
