epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,0.002901786705479026
1,beta,persist,,0.0029771015979349613
1,beta,underwater,,-0.002325796289369464
1,B,momentum,kospi_return_1d,-0.0010580631205812097
1,B,momentum,fx_level_z_252,0.002649288158863783
1,B,persist,kospi_return_1d,0.0016997444909065962
1,B,persist,fx_level_z_252,0.0027468844782561064
1,B,underwater,kospi_return_1d,0.0005641235620714724
1,B,underwater,fx_level_z_252,0.0029501691460609436
1,alpha,,kospi_return_1d,0.0029370635747909546
1,alpha,,fx_level_z_252,-0.0030003832653164864
2,beta,momentum,,0.005773221608251333
2,beta,persist,,0.005941764451563358
2,beta,underwater,,-0.004528989549726248
2,B,momentum,kospi_return_1d,-0.001291515538468957
2,B,momentum,fx_level_z_252,0.004317336715757847
2,B,persist,kospi_return_1d,0.0025685131549835205
2,B,persist,fx_level_z_252,0.003371924627572298
2,B,underwater,kospi_return_1d,0.0006907258648425341
2,B,underwater,fx_level_z_252,0.0050476426258683205
2,alpha,,kospi_return_1d,0.0057569146156311035
2,alpha,,fx_level_z_252,-0.0059798178263008595
3,beta,momentum,,0.008572643622756004
3,beta,persist,,0.00885738618671894
3,beta,underwater,,-0.00604214146733284
3,B,momentum,kospi_return_1d,-0.002385182539001107
3,B,momentum,fx_level_z_252,0.006105062086135149
3,B,persist,kospi_return_1d,0.0033398992381989956
3,B,persist,fx_level_z_252,0.0039197225123643875
3,B,underwater,kospi_return_1d,-0.00036788592115044594
3,B,underwater,fx_level_z_252,0.007104783784598112
3,alpha,,kospi_return_1d,0.008350328542292118
3,alpha,,fx_level_z_252,-0.008797306567430496
4,beta,momentum,,0.011304249987006187
4,beta,persist,,0.011720946058630943
4,beta,underwater,,-0.0076376101933419704
4,B,momentum,kospi_return_1d,-0.003362959483638406
4,B,momentum,fx_level_z_252,0.007989884354174137
4,B,persist,kospi_return_1d,0.0038442539516836405
4,B,persist,fx_level_z_252,0.004548642784357071
4,B,underwater,kospi_return_1d,-0.0004199679824523628
4,B,underwater,fx_level_z_252,0.008426805026829243
4,alpha,,kospi_return_1d,0.010837790556252003
4,alpha,,fx_level_z_252,-0.011528179980814457
5,beta,momentum,,0.013973009772598743
5,beta,persist,,0.014515649527311325
5,beta,underwater,,-0.00858607329428196
5,B,momentum,kospi_return_1d,-0.004528726451098919
5,B,momentum,fx_level_z_252,0.009772852063179016
5,B,persist,kospi_return_1d,0.004250621423125267
5,B,persist,fx_level_z_252,0.005049280356615782
5,B,underwater,kospi_return_1d,-0.00048083256115205586
5,B,underwater,fx_level_z_252,0.009763944894075394
5,alpha,,kospi_return_1d,0.013090090826153755
5,alpha,,fx_level_z_252,-0.01421415526419878
6,beta,momentum,,0.016499776393175125
6,beta,persist,,0.01723129115998745
6,beta,underwater,,-0.009344823658466339
6,B,momentum,kospi_return_1d,-0.005358031019568443
6,B,momentum,fx_level_z_252,0.011151902377605438
6,B,persist,kospi_return_1d,0.004669471178203821
6,B,persist,fx_level_z_252,0.00509506044909358
6,B,underwater,kospi_return_1d,-0.00048513239016756415
6,B,underwater,fx_level_z_252,0.010873745195567608
6,alpha,,kospi_return_1d,0.01514351088553667
6,alpha,,fx_level_z_252,-0.01678982749581337
7,beta,momentum,,0.018780125305056572
7,beta,persist,,0.019860995933413506
7,beta,underwater,,-0.00995700154453516
7,B,momentum,kospi_return_1d,-0.006070652976632118
7,B,momentum,fx_level_z_252,0.01200370118021965
7,B,persist,kospi_return_1d,0.005423057824373245
7,B,persist,fx_level_z_252,0.004643238615244627
7,B,underwater,kospi_return_1d,-0.0007218022365123034
7,B,underwater,fx_level_z_252,0.011862754821777344
7,alpha,,kospi_return_1d,0.016995226964354515
7,alpha,,fx_level_z_252,-0.019298655912280083
8,beta,momentum,,0.020942412316799164
8,beta,persist,,0.022422276437282562
8,beta,underwater,,-0.009883875027298927
8,B,momentum,kospi_return_1d,-0.006227849517017603
8,B,momentum,fx_level_z_252,0.012887699529528618
8,B,persist,kospi_return_1d,0.0064964378252625465
8,B,persist,fx_level_z_252,0.00408000685274601
8,B,underwater,kospi_return_1d,-0.0013325184118002653
8,B,underwater,fx_level_z_252,0.012579436413943768
8,alpha,,kospi_return_1d,0.01849263720214367
8,alpha,,fx_level_z_252,-0.021681219339370728
9,beta,momentum,,0.022892015054821968
9,beta,persist,,0.02484917640686035
9,beta,underwater,,-0.009492316283285618
9,B,momentum,kospi_return_1d,-0.006790480110794306
9,B,momentum,fx_level_z_252,0.013545013032853603
9,B,persist,kospi_return_1d,0.007364660035818815
9,B,persist,fx_level_z_252,0.003431870136409998
9,B,underwater,kospi_return_1d,-0.001367973629385233
9,B,underwater,fx_level_z_252,0.013244880363345146
9,alpha,,kospi_return_1d,0.019468143582344055
9,alpha,,fx_level_z_252,-0.023986004292964935
10,beta,momentum,,0.024583959951996803
10,beta,persist,,0.02717513218522072
10,beta,underwater,,-0.008577820844948292
10,B,momentum,kospi_return_1d,-0.0074363588355481625
