variant,investor,feature,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
e0_baseline,institution,underwater,-0.0010492949519377,0.0010159077397609,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
e0_baseline,institution,herd,-0.0042098607660995,0.0005893062466691,0.0,1.0,negative,1.0
e0_baseline,institution,momentum,-0.0007235869722434,0.0012647019475497,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
e0_baseline,institution,volatility,0.0026454218824963,0.0018652973689889,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
e1_persistence,institution,underwater,-0.0009710339347495,0.000952132610372,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
e1_persistence,institution,herd,-0.0038684976856327,0.0008197168302908,0.0,1.0,negative,1.0
e1_persistence,institution,momentum,-0.0008294257404082,0.0012687826169987,0.1111111111111111,0.8888888888888888,negative,0.8888888888888888
e1_persistence,institution,volatility,0.002535939682275,0.0018648614917035,0.8666666666666667,0.1333333333333333,positive,0.8666666666666667
e1_persistence,institution,execution_persistence_3,0.0047729011832012,6.218271891240359e-05,1.0,0.0,positive,1.0
e7_persistence_liquidity,institution,underwater,-0.0009547774110817,0.0009532482509998,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
e7_persistence_liquidity,institution,herd,-0.0038554575863397,0.0008279105165988,0.0,1.0,negative,1.0
e7_persistence_liquidity,institution,momentum,-0.0008184968644248,0.0012723765478786,0.1555555555555555,0.8444444444444444,negative,0.8444444444444444
e7_persistence_liquidity,institution,volatility,0.0025651040292965,0.0018484401979034,0.8888888888888888,0.1111111111111111,positive,0.8888888888888888
e7_persistence_liquidity,institution,execution_persistence_3,0.0047698368628819,6.218235371705588e-05,1.0,0.0,positive,1.0
