variant,split,rmse,nrmse,rmse_skill,mse_skill,mae_skill,direction_accuracy,balanced_accuracy,macro_f1,pearson,spearman,std_ratio,tail_direction_accuracy
e0_baseline,0,0.1334909136435606,1.0463078011816545,0.01006239042148005,0.02002359493994388,0.01188397685806919,0.6391752577319587,0.4967548076923077,0.44886363636363635,-0.016762515679995336,-0.020037555521771108,0.04013685785155912,0.7755102040816326
e0_baseline,1,0.13586427560983433,1.0092529580250493,0.005228105305863928,0.010428918317712088,0.012496604532380884,0.5670103092783505,0.5395574743658931,0.5276521739130435,0.12238660371828822,0.14600387060191558,0.0595933099301195,0.673469387755102
e0_baseline,2,0.12501858802515944,1.0173243280090163,0.002998611036383103,0.005988278126337954,0.005113214223573803,0.5721649484536082,0.5710303300624442,0.564940152927508,0.12103366518214735,0.12827306233641364,0.07912719837189572,0.6326530612244898
e0_baseline,3,0.1386368288230132,0.994083436659297,0.009991101940572511,0.01988233164492581,0.01211514331411756,0.5721649484536082,0.518530701754386,0.49216261393383165,0.17629396735618139,0.17999285048053812,0.06514604093926603,0.6326530612244898
e0_baseline,4,0.1358694885330069,1.0244713491864292,0.009086942368550455,0.018091301290322104,0.013839397568471745,0.6288659793814433,0.532373271889401,0.508515130190007,0.12537316588709338,0.14455917460030485,0.048254369822254506,0.673469387755102
e0_baseline,5,0.14536507975765506,1.0164954375544248,0.002793897808160528,0.005580009433673427,0.007613226412780949,0.5567010309278351,0.4788859956979509,0.45441465009810333,0.009013329129403821,0.07939993343550844,0.07017167930662828,0.6122448979591837
e0_baseline,6,0.1287776689654226,1.0045311442457545,0.0048398418547479505,0.009656198438224739,0.01160024230351131,0.5824742268041238,0.5779616724738676,0.5765219500363812,0.14488689725120354,0.20440640498329724,0.11559063268156249,0.5918367346938775
e0_baseline,7,0.1265682772172075,1.0114063580959365,0.004679831296073966,0.009337685187395972,0.00467303797846097,0.5618556701030928,0.5301920301920302,0.5293278150421007,0.1456368632923319,0.14506703701725335,0.061633541370415754,0.6530612244897959
e0_baseline,8,0.14854270228769742,0.9980492628383429,0.001998898531333282,0.003993900199123823,-0.0015371024424113422,0.5939086294416244,0.5762588431127758,0.5693989071038251,0.06656192943786761,0.10037388282493433,0.060398441874802505,0.66
e0_baseline,9,0.11984052602789037,1.006398711548983,0.003259702023228006,0.006508799454371883,0.0023276869809357725,0.5670103092783505,0.5382622773880195,0.5245098039215685,0.14832732784227948,0.1324493678427763,0.05708457909077235,0.6530612244897959
