investor,epoch,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,total_loss_mean,total_loss_std
foreign,1,0.06576026666666666,0.0026228502487318484,0.059628,0.070511,0.06576026666666666,0.0026228502487318484
foreign,2,0.0646288,0.0025724895229047207,0.058769,0.069418,0.0646288,0.0025724895229047207
foreign,3,0.06372373333333334,0.0025270677168320096,0.058052,0.068496,0.06372373333333334,0.0025270677168320096
foreign,4,0.06296424444444446,0.0024893574121151296,0.057526,0.067703,0.06296424444444446,0.0024893574121151296
foreign,5,0.062296288888888884,0.0024476797790989914,0.057091,0.067058,0.062296288888888884,0.0024476797790989914
foreign,6,0.06171742222222222,0.002397609277904754,0.056734,0.066425,0.06171742222222222,0.002397609277904754
foreign,7,0.061208622222222224,0.002349300227426429,0.056434,0.065807,0.061208622222222224,0.002349300227426429
foreign,8,0.06076637777777778,0.0022911567174770924,0.056239,0.065401,0.06076637777777778,0.0022911567174770924
foreign,9,0.06038773333333333,0.0022418187664970135,0.056069,0.064937,0.06038773333333333,0.0022418187664970135
foreign,10,0.06006644444444445,0.002197434780866458,0.055901,0.064566,0.06006644444444445,0.002197434780866458
foreign,11,0.05978946666666667,0.0021493533657612196,0.055802,0.064235,0.05978946666666667,0.0021493533657612196
foreign,12,0.05954522222222222,0.00210765941798532,0.055579,0.063911,0.05954522222222222,0.00210765941798532
foreign,13,0.059344266666666666,0.0020737482467525063,0.05545,0.06368,0.059344266666666666,0.0020737482467525063
foreign,14,0.05916748888888889,0.002036922574310908,0.055312,0.063443,0.05916748888888889,0.002036922574310908
foreign,15,0.05901657777777778,0.002011361371727311,0.05517,0.063304,0.05901657777777778,0.002011361371727311
foreign,16,0.05888984444444445,0.001988462985180851,0.055076,0.063126,0.05888984444444445,0.001988462985180851
foreign,17,0.058786177777777775,0.0019701595261769705,0.054984,0.063017,0.058786177777777775,0.0019701595261769705
foreign,18,0.05869655555555555,0.001951747347140687,0.054932,0.062898,0.05869655555555555,0.001951747347140687
foreign,19,0.05861553333333333,0.0019370699475801533,0.054864,0.062777,0.05861553333333333,0.0019370699475801533
foreign,20,0.05855353333333333,0.0019264560325775806,0.054824,0.062712,0.05855353333333333,0.0019264560325775806
foreign,21,0.05849802222222222,0.0019163970632518716,0.054779,0.062651,0.05849802222222222,0.0019163970632518716
