investor,epoch,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,total_loss_mean,total_loss_std
foreign,43,0.056301533333333334,0.002116351498129828,0.052582,0.060868,0.056301533333333334,0.002116351498129828
foreign,44,0.056300888888888886,0.002113647904606267,0.052583,0.060871,0.056300888888888886,0.002113647904606267
foreign,45,0.0562982,0.0021081714459347334,0.052578,0.060865,0.0562982,0.0021081714459347334
foreign,46,0.056293311111111105,0.0021077899004992087,0.052575,0.060854,0.056293311111111105,0.0021077899004992087
foreign,47,0.056288955555555555,0.00210746729679744,0.052592,0.060859,0.056288955555555555,0.00210746729679744
foreign,48,0.05628751111111111,0.0021121070868837704,0.052576,0.06087,0.05628751111111111,0.0021121070868837704
foreign,49,0.05628935555555556,0.00211163244859985,0.052574,0.060859,0.05628935555555556,0.00211163244859985
foreign,50,0.05629402222222222,0.002108051755541217,0.052575,0.06086,0.05629402222222222,0.002108051755541217
foreign,51,0.05630608888888889,0.0021103503352225056,0.052576,0.060864,0.05630608888888889,0.0021103503352225056
foreign,52,0.056320222222222216,0.002122114853040464,0.052573,0.060855,0.056320222222222216,0.002122114853040464
foreign,53,0.05633222222222222,0.0021398328724978087,0.052584,0.06086,0.05633222222222222,0.0021398328724978087
foreign,54,0.05634315555555556,0.002155690818988359,0.052575,0.060876,0.05634315555555556,0.002155690818988359
foreign,55,0.056341600000000006,0.0021665906438877243,0.052579,0.060905,0.056341600000000006,0.0021665906438877243
foreign,56,0.05633771111111111,0.0021687318416554182,0.052588,0.060951,0.05633771111111111,0.0021687318416554182
foreign,57,0.056332466666666664,0.0021675617596318177,0.052575,0.060895,0.056332466666666664,0.0021675617596318177
foreign,58,0.056333244444444444,0.0021674600253790517,0.052581,0.060856,0.056333244444444444,0.0021674600253790517
foreign,59,0.056330866666666674,0.0021631508017031747,0.052582,0.060855,0.056330866666666674,0.0021631508017031747
foreign,60,0.056330066666666664,0.00215566439241531,0.052573,0.060868,0.056330066666666664,0.00215566439241531
foreign,61,0.05632333333333333,0.00214204927368842,0.052578,0.060861,0.05632333333333333,0.00214204927368842
foreign,62,0.056314333333333334,0.0021317438977172063,0.052573,0.060876,0.056314333333333334,0.0021317438977172063
foreign,63,0.056308111111111114,0.0021207242461675265,0.052573,0.060855,0.056308111111111114,0.0021207242461675265
foreign,64,0.056303288888888886,0.0021148084011884797,0.052574,0.060876,0.056303288888888886,0.0021148084011884797
foreign,65,0.05629328888888889,0.0021117425874276332,0.052582,0.060859,0.05629328888888889,0.0021117425874276332
foreign,66,0.056292933333333336,0.0021093504859855017,0.052589,0.06087,0.056292933333333336,0.0021093504859855017
foreign,67,0.05628873333333333,0.00211105401722371,0.052596,0.060866,0.05628873333333333,0.00211105401722371
