investor,context,feature,context_z,mean,p10,p90
foreign,fx_level_z_252,herd,1.7000000000000002,-0.03382792037474345,-0.053701463295146655,-0.007549787480384112
foreign,fx_level_z_252,herd,1.75,-0.03364091023179044,-0.05407703847158683,-0.006798554165288812
foreign,fx_level_z_252,herd,1.8000000000000003,-0.033453900088837425,-0.05445261364802702,-0.006047320850193506
foreign,fx_level_z_252,herd,1.85,-0.03326688994588441,-0.05485461237840335,-0.005296087535098204
foreign,fx_level_z_252,herd,1.9000000000000004,-0.0330798798029314,-0.055272013042121926,-0.004544854220002896
foreign,fx_level_z_252,herd,1.9500000000000002,-0.03289286965997839,-0.05564488970674558,-0.003793620904907597
foreign,fx_level_z_252,herd,2.0,-0.03270585951702538,-0.05589374192059024,-0.003034292906522798
foreign,fx_level_z_252,momentum,-2.0,0.05564819777694834,0.032646992569789424,0.07321579083800306
foreign,fx_level_z_252,momentum,-1.95,0.05549586374403178,0.03274963082396438,0.07273103263229122
foreign,fx_level_z_252,momentum,-1.9,0.055343529711115204,0.03285226907813934,0.07224627442657938
foreign,fx_level_z_252,momentum,-1.85,0.055191195678198635,0.03295490733231429,0.07176151622086754
foreign,fx_level_z_252,momentum,-1.8,0.05503886164528207,0.033057545586489254,0.07127675801515569
foreign,fx_level_z_252,momentum,-1.75,0.0548865276123655,0.03316018384066421,0.07079199980944385
foreign,fx_level_z_252,momentum,-1.7,0.05473419357944894,0.03326282209483917,0.07030724160373202
foreign,fx_level_z_252,momentum,-1.65,0.05458185954653238,0.03336546034901412,0.06982248339802018
foreign,fx_level_z_252,momentum,-1.6,0.05442952551361581,0.033468098603189084,0.06935209974646558
foreign,fx_level_z_252,momentum,-1.55,0.05427719148069923,0.03357073685736404,0.0690290520945563
foreign,fx_level_z_252,momentum,-1.5,0.05412485744778267,0.033673375111539,0.06874826368875793
foreign,fx_level_z_252,momentum,-1.45,0.0539725234148661,0.03377601336571395,0.06846747528295954
foreign,fx_level_z_252,momentum,-1.4,0.05382018938194954,0.033878651619888914,0.06818668687716119
foreign,fx_level_z_252,momentum,-1.35,0.05366785534903297,0.033981289874063875,0.06790589847136282
foreign,fx_level_z_252,momentum,-1.2999999999999998,0.05351552131611641,0.03408392812823883,0.06762511006556443
foreign,fx_level_z_252,momentum,-1.25,0.053363187283199845,0.03418656638241379,0.06734432165976607
foreign,fx_level_z_252,momentum,-1.2,0.053210853250283276,0.034289204636588744,0.06706353325396769
foreign,fx_level_z_252,momentum,-1.15,0.0530585192173667,0.034391842890763705,0.06678274484816933
foreign,fx_level_z_252,momentum,-1.1,0.05290618518445014,0.034494481144938666,0.06650195644237095
foreign,fx_level_z_252,momentum,-1.0499999999999998,0.05275385115153357,0.03459711939911362,0.06622116803657258
foreign,fx_level_z_252,momentum,-1.0,0.052601517118617006,0.034699757653288574,0.0659403796307742
foreign,fx_level_z_252,momentum,-0.95,0.05244918308570044,0.034802395907463535,0.06565959122497583
foreign,fx_level_z_252,momentum,-0.8999999999999999,0.052296849052783874,0.03490503416163849,0.06537880281917745
foreign,fx_level_z_252,momentum,-0.8499999999999999,0.05214451501986731,0.03500767241581345,0.06509801441337909
foreign,fx_level_z_252,momentum,-0.7999999999999998,0.05199218098695074,0.03511031066998841,0.0648172260075807
foreign,fx_level_z_252,momentum,-0.75,0.051839846954034166,0.035212948924163365,0.06452140053734179
foreign,fx_level_z_252,momentum,-0.7,0.051687512921117604,0.035298802731558644,0.0640974340960383
foreign,fx_level_z_252,momentum,-0.6499999999999999,0.051535178888201034,0.0353801630064845,0.06367346765473482
foreign,fx_level_z_252,momentum,-0.5999999999999999,0.05138284485528447,0.03551008065463976,0.06324950121343131
foreign,fx_level_z_252,momentum,-0.5499999999999998,0.05123051082236791,0.035593083880958144,0.06282553477212784
foreign,fx_level_z_252,momentum,-0.5,0.05107817678945134,0.03567608710727654,0.06240156833082434
foreign,fx_level_z_252,momentum,-0.44999999999999996,0.05092584275653478,0.03575909033359493,0.06197760188952085
