split,investor,comparison,metric,improvement
28,retail,컨텍스트 없음,direction_accuracy,1.5463917525773252
29,foreign,컨텍스트 없음,direction_accuracy,3.5532994923857864
29,institution,컨텍스트 없음,direction_accuracy,-2.538071065989844
29,retail,컨텍스트 없음,direction_accuracy,1.0152284263959421
30,foreign,컨텍스트 없음,direction_accuracy,3.0927835051546393
30,institution,컨텍스트 없음,direction_accuracy,4.123711340206182
30,retail,컨텍스트 없음,direction_accuracy,3.6082474226804107
31,foreign,컨텍스트 없음,direction_accuracy,-1.5463917525773252
31,institution,컨텍스트 없음,direction_accuracy,-4.123711340206193
31,retail,컨텍스트 없음,direction_accuracy,-1.546391752577314
32,foreign,컨텍스트 없음,direction_accuracy,2.0618556701030966
32,institution,컨텍스트 없음,direction_accuracy,-9.278350515463918
32,retail,컨텍스트 없음,direction_accuracy,0.0
33,foreign,컨텍스트 없음,direction_accuracy,-1.546391752577314
33,institution,컨텍스트 없음,direction_accuracy,-2.577319587628868
33,retail,컨텍스트 없음,direction_accuracy,2.577319587628868
34,foreign,컨텍스트 없음,direction_accuracy,2.5380710659898553
34,institution,컨텍스트 없음,direction_accuracy,-1.5228426395939076
34,retail,컨텍스트 없음,direction_accuracy,1.522842639593902
35,foreign,컨텍스트 없음,direction_accuracy,0.5154639175257714
35,institution,컨텍스트 없음,direction_accuracy,-1.546391752577314
35,retail,컨텍스트 없음,direction_accuracy,1.5463917525773252
36,foreign,컨텍스트 없음,direction_accuracy,4.123711340206193
36,institution,컨텍스트 없음,direction_accuracy,2.061855670103091
36,retail,컨텍스트 없음,direction_accuracy,3.6082474226804218
37,foreign,컨텍스트 없음,direction_accuracy,-6.70103092783505
37,institution,컨텍스트 없음,direction_accuracy,14.432989690721648
37,retail,컨텍스트 없음,direction_accuracy,6.185567010309284
38,foreign,컨텍스트 없음,direction_accuracy,3.5532994923857864
38,institution,컨텍스트 없음,direction_accuracy,9.137055837563462
38,retail,컨텍스트 없음,direction_accuracy,5.076142131979699
39,foreign,컨텍스트 없음,direction_accuracy,-1.0309278350515427
39,institution,컨텍스트 없음,direction_accuracy,1.5463917525773252
39,retail,컨텍스트 없음,direction_accuracy,-4.6391752577319645
40,foreign,컨텍스트 없음,direction_accuracy,-2.577319587628868
40,institution,컨텍스트 없음,direction_accuracy,9.793814432989695
40,retail,컨텍스트 없음,direction_accuracy,-1.0309278350515538
41,foreign,컨텍스트 없음,direction_accuracy,-0.50761421319796
41,institution,컨텍스트 없음,direction_accuracy,6.091370558375636
41,retail,컨텍스트 없음,direction_accuracy,0.0
42,foreign,컨텍스트 없음,direction_accuracy,-0.5154639175257714
42,institution,컨텍스트 없음,direction_accuracy,0.5154639175257714
42,retail,컨텍스트 없음,direction_accuracy,2.0618556701030855
43,foreign,컨텍스트 없음,direction_accuracy,8.121827411167516
43,institution,컨텍스트 없음,direction_accuracy,-5.076142131979699
43,retail,컨텍스트 없음,direction_accuracy,4.060913705583746
44,foreign,컨텍스트 없음,direction_accuracy,0.0
44,institution,컨텍스트 없음,direction_accuracy,4.5685279187817285
44,retail,컨텍스트 없음,direction_accuracy,4.5685279187817285
0,foreign,컨텍스트 없음,correlation,1.8054631318609682
0,institution,컨텍스트 없음,correlation,2.30685207890818
0,retail,컨텍스트 없음,correlation,6.39737235025285
1,foreign,컨텍스트 없음,correlation,3.1905079118678072
1,institution,컨텍스트 없음,correlation,2.5169898807364603
1,retail,컨텍스트 없음,correlation,-3.9559384959183626
2,foreign,컨텍스트 없음,correlation,0.48494540141352793
2,institution,컨텍스트 없음,correlation,9.37733854545613
2,retail,컨텍스트 없음,correlation,-0.6402972134884388
3,foreign,컨텍스트 없음,correlation,6.492092732256138
3,institution,컨텍스트 없음,correlation,4.693945730890969
3,retail,컨텍스트 없음,correlation,3.604943711639658
4,foreign,컨텍스트 없음,correlation,0.31050210301120096
4,institution,컨텍스트 없음,correlation,6.408709120082171
4,retail,컨텍스트 없음,correlation,-9.138148982233718
5,foreign,컨텍스트 없음,correlation,-5.9260122560062465
5,institution,컨텍스트 없음,correlation,6.0803954703961205
5,retail,컨텍스트 없음,correlation,-6.751410353289488
6,foreign,컨텍스트 없음,correlation,0.1684310829714708
6,institution,컨텍스트 없음,correlation,1.3584566120188302
6,retail,컨텍스트 없음,correlation,-5.160589799680871
7,foreign,컨텍스트 없음,correlation,1.0797104015402126
7,institution,컨텍스트 없음,correlation,5.93295542278017
7,retail,컨텍스트 없음,correlation,-3.06052938843481
8,foreign,컨텍스트 없음,correlation,0.1462120728113414
8,institution,컨텍스트 없음,correlation,2.15298756652312
8,retail,컨텍스트 없음,correlation,-1.3930045251811907
9,foreign,컨텍스트 없음,correlation,5.400134525971778
9,institution,컨텍스트 없음,correlation,1.6368535793409897
9,retail,컨텍스트 없음,correlation,3.7502688179239185
10,foreign,컨텍스트 없음,correlation,8.583169334300445
10,institution,컨텍스트 없음,correlation,7.4026669595429
10,retail,컨텍스트 없음,correlation,7.0015448532933675
11,foreign,컨텍스트 없음,correlation,7.816778939074581
11,institution,컨텍스트 없음,correlation,7.261408247682391
11,retail,컨텍스트 없음,correlation,12.009265718831752
12,foreign,컨텍스트 없음,correlation,4.512457583764751
12,institution,컨텍스트 없음,correlation,3.9449474385176
12,retail,컨텍스트 없음,correlation,2.0927994519264304
13,foreign,컨텍스트 없음,correlation,-16.90013543073892
13,institution,컨텍스트 없음,correlation,4.3622993438816104
13,retail,컨텍스트 없음,correlation,5.933082891615027
14,foreign,컨텍스트 없음,correlation,3.4892744098931896
14,institution,컨텍스트 없음,correlation,-1.3921054092332699
14,retail,컨텍스트 없음,correlation,4.17497873436423
15,foreign,컨텍스트 없음,correlation,3.014695647707616
15,institution,컨텍스트 없음,correlation,10.281117221279601
15,retail,컨텍스트 없음,correlation,6.487900034305569
16,foreign,컨텍스트 없음,correlation,1.766882584579682
16,institution,컨텍스트 없음,correlation,1.10871008161268
16,retail,컨텍스트 없음,correlation,1.21477053359611
17,foreign,컨텍스트 없음,correlation,-5.289301285119671
17,institution,컨텍스트 없음,correlation,-2.0529196210143
17,retail,컨텍스트 없음,correlation,-0.27248861553518106
18,foreign,컨텍스트 없음,correlation,-1.1470030848087287
18,institution,컨텍스트 없음,correlation,-1.7450997770996595
18,retail,컨텍스트 없음,correlation,0.09458498317199138
19,foreign,컨텍스트 없음,correlation,2.5622759639727266
19,institution,컨텍스트 없음,correlation,-1.3366823926990998
19,retail,컨텍스트 없음,correlation,1.4167291130509005
20,foreign,컨텍스트 없음,correlation,-9.021978157043954
20,institution,컨텍스트 없음,correlation,-3.09489845063013
20,retail,컨텍스트 없음,correlation,-0.862988268225251
21,foreign,컨텍스트 없음,correlation,3.2219012039095496
21,institution,컨텍스트 없음,correlation,-4.854154887931431
21,retail,컨텍스트 없음,correlation,2.731056339123819
22,foreign,컨텍스트 없음,correlation,2.5956399963373484
22,institution,컨텍스트 없음,correlation,-1.2166248416719303
22,retail,컨텍스트 없음,correlation,-2.74953792753338
23,foreign,컨텍스트 없음,correlation,0.32611723242615964
23,institution,컨텍스트 없음,correlation,-4.471975187502139
23,retail,컨텍스트 없음,correlation,3.6361275574230607
24,foreign,컨텍스트 없음,correlation,1.5698351256358518
24,institution,컨텍스트 없음,correlation,-3.4901591828807006
24,retail,컨텍스트 없음,correlation,-0.22172063937596076
25,foreign,컨텍스트 없음,correlation,-3.5830199195515195
25,institution,컨텍스트 없음,correlation,2.8639113432357393
25,retail,컨텍스트 없음,correlation,5.78504466108192
26,foreign,컨텍스트 없음,correlation,-8.303423872701249
26,institution,컨텍스트 없음,correlation,0.45992062732189004
26,retail,컨텍스트 없음,correlation,0.807988241663421
27,foreign,컨텍스트 없음,correlation,1.8725194910029885
27,institution,컨텍스트 없음,correlation,-6.8305298934442105
27,retail,컨텍스트 없음,correlation,5.707216576546081
28,foreign,컨텍스트 없음,correlation,0.9943256122783101
28,institution,컨텍스트 없음,correlation,0.3235839857634801
28,retail,컨텍스트 없음,correlation,-2.83801030770634
29,foreign,컨텍스트 없음,correlation,-0.7834364695826004
29,institution,컨텍스트 없음,correlation,-5.04142846983864
29,retail,컨텍스트 없음,correlation,0.69496430694961
30,foreign,컨텍스트 없음,correlation,1.7039943914908484
30,institution,컨텍스트 없음,correlation,-1.5072611823725102
30,retail,컨텍스트 없음,correlation,4.862200269688502
31,foreign,컨텍스트 없음,correlation,-9.997648542186482
31,institution,컨텍스트 없음,correlation,-11.49297515269242
31,retail,컨텍스트 없음,correlation,1.437124396512529
32,foreign,컨텍스트 없음,correlation,7.414446352678489
32,institution,컨텍스트 없음,correlation,-5.4490113509703
32,retail,컨텍스트 없음,correlation,8.58351676502772
33,foreign,컨텍스트 없음,correlation,4.028258536608509
33,institution,컨텍스트 없음,correlation,-3.1689321635189893
33,retail,컨텍스트 없음,correlation,-1.9308891398561456
34,foreign,컨텍스트 없음,correlation,1.2293694862169204
34,institution,컨텍스트 없음,correlation,-2.3422436090288006
34,retail,컨텍스트 없음,correlation,1.1039879383609703
35,foreign,컨텍스트 없음,correlation,-21.92589627168843
35,institution,컨텍스트 없음,correlation,-7.34232592354372
35,retail,컨텍스트 없음,correlation,-2.943295646295363
36,foreign,컨텍스트 없음,correlation,0.5846112200563136
36,institution,컨텍스트 없음,correlation,-5.10972000787297
36,retail,컨텍스트 없음,correlation,1.0549404995922411
37,foreign,컨텍스트 없음,correlation,-5.82630095575567
37,institution,컨텍스트 없음,correlation,2.8938886204852103
37,retail,컨텍스트 없음,correlation,-1.9362764887152188
38,foreign,컨텍스트 없음,correlation,-2.575808096025739
38,institution,컨텍스트 없음,correlation,-3.7786942369765293
38,retail,컨텍스트 없음,correlation,2.7946606562485115
39,foreign,컨텍스트 없음,correlation,-13.477097370780399
39,institution,컨텍스트 없음,correlation,-5.34626551850892
39,retail,컨텍스트 없음,correlation,1.3702050045154512
40,foreign,컨텍스트 없음,correlation,-12.156636709949309
40,institution,컨텍스트 없음,correlation,-2.9547652379981
40,retail,컨텍스트 없음,correlation,-3.0835810003993713
41,foreign,컨텍스트 없음,correlation,-8.52440341326252
41,institution,컨텍스트 없음,correlation,-13.012096062278031
41,retail,컨텍스트 없음,correlation,-5.64214960111713
42,foreign,컨텍스트 없음,correlation,1.5749401358565396
42,institution,컨텍스트 없음,correlation,-2.5355443556374806
42,retail,컨텍스트 없음,correlation,2.857078084434322
43,foreign,컨텍스트 없음,correlation,0.12445870113831914
43,institution,컨텍스트 없음,correlation,-2.2335429160315696
43,retail,컨텍스트 없음,correlation,1.610346986122041
44,foreign,컨텍스트 없음,correlation,2.8104129490007788
44,institution,컨텍스트 없음,correlation,-3.2656976665770805
44,retail,컨텍스트 없음,correlation,0.5521437770701604
0,foreign,컨텍스트 없음,mae,0.006123077842126595
0,institution,컨텍스트 없음,mae,0.0001703514105064058
0,retail,컨텍스트 없음,mae,0.0009007526444002045
1,foreign,컨텍스트 없음,mae,0.0019759726628106877
1,institution,컨텍스트 없음,mae,0.00025016742325800756
1,retail,컨텍스트 없음,mae,-0.0013433136393978806
2,foreign,컨텍스트 없음,mae,0.0014784333593760024
2,institution,컨텍스트 없음,mae,0.0004272920271705116
2,retail,컨텍스트 없음,mae,0.001200343216961386
3,foreign,컨텍스트 없음,mae,0.0035507195808003045
3,institution,컨텍스트 없음,mae,0.000341931532077705
3,retail,컨텍스트 없음,mae,0.0063351826723089255
4,foreign,컨텍스트 없음,mae,0.0008757651495338026
4,institution,컨텍스트 없음,mae,0.0002784112983922893
4,retail,컨텍스트 없음,mae,0.0006804626480648168
5,foreign,컨텍스트 없음,mae,-0.002428249362976198
5,institution,컨텍스트 없음,mae,0.0004188818201486949
5,retail,컨텍스트 없음,mae,0.0011423002597251986
6,foreign,컨텍스트 없음,mae,0.0006703370329972091
6,institution,컨텍스트 없음,mae,0.00015382841619489274
6,retail,컨텍스트 없음,mae,0.0004994610562132906
7,foreign,컨텍스트 없음,mae,0.0008070223410278077
7,institution,컨텍스트 없음,mae,0.000302146971192796
7,retail,컨텍스트 없음,mae,-9.144847605319084e-05
8,foreign,컨텍스트 없음,mae,-0.003895965197979301
8,institution,컨텍스트 없음,mae,3.1851548204925306e-06
8,retail,컨텍스트 없음,mae,-0.0005563439749333154
9,foreign,컨텍스트 없음,mae,0.0033451305461847103
9,institution,컨텍스트 없음,mae,0.00035947727052729195
9,retail,컨텍스트 없음,mae,0.0037568207138899967
10,foreign,컨텍스트 없음,mae,0.006803286032101397
10,institution,컨텍스트 없음,mae,0.000596801215729012
10,retail,컨텍스트 없음,mae,0.0056214101430143715
11,foreign,컨텍스트 없음,mae,0.00491458221492308
11,institution,컨텍스트 없음,mae,0.0005564112347501982
11,retail,컨텍스트 없음,mae,0.008920043676890033
12,foreign,컨텍스트 없음,mae,0.001949277357198298
12,institution,컨텍스트 없음,mae,0.00025003035563669895
12,retail,컨텍스트 없음,mae,0.007954508389019899
13,foreign,컨텍스트 없음,mae,-0.013077728849950898
