split,investor,parameter,term,weight
30,retail,alpha,kospi_return_1d,-0.0206333082169294
30,retail,alpha,fx_level_z_252,0.0312480833381414
31,foreign,alpha,kospi_return_1d,0.0308631509542465
31,foreign,alpha,fx_level_z_252,-0.0407314375042915
31,institution,alpha,kospi_return_1d,-0.0045128823257982
31,institution,alpha,fx_level_z_252,-1.0317045962437987e-05
31,retail,alpha,kospi_return_1d,-0.0157280825078487
31,retail,alpha,fx_level_z_252,0.0320487692952156
32,foreign,alpha,kospi_return_1d,0.0363133959472179
32,foreign,alpha,fx_level_z_252,-0.019608836621046
32,institution,alpha,kospi_return_1d,-0.0044287238270044
32,institution,alpha,fx_level_z_252,-0.0034235275816172
32,retail,alpha,kospi_return_1d,-0.0220023766160011
32,retail,alpha,fx_level_z_252,0.0316303111612796
33,foreign,alpha,kospi_return_1d,0.0347135663032531
33,foreign,alpha,fx_level_z_252,-0.0295467469841241
33,institution,alpha,kospi_return_1d,-0.0041805487126111
33,institution,alpha,fx_level_z_252,-0.00138875329867
33,retail,alpha,kospi_return_1d,-0.0194327514618635
33,retail,alpha,fx_level_z_252,0.0321811810135841
34,foreign,alpha,kospi_return_1d,0.0397805757820606
34,foreign,alpha,fx_level_z_252,-0.0266215074807405
34,institution,alpha,kospi_return_1d,-0.0041834902949631
34,institution,alpha,fx_level_z_252,-0.0014003836549818
34,retail,alpha,kospi_return_1d,-0.024793155491352
34,retail,alpha,fx_level_z_252,0.0268925856798887
35,foreign,alpha,kospi_return_1d,0.0316542275249958
35,foreign,alpha,fx_level_z_252,-0.0439505279064178
35,institution,alpha,kospi_return_1d,-0.0042944336310029
35,institution,alpha,fx_level_z_252,-0.0001034687302308
35,retail,alpha,kospi_return_1d,-0.0233251620084047
35,retail,alpha,fx_level_z_252,0.0332066342234611
36,foreign,alpha,kospi_return_1d,0.0394090339541435
36,foreign,alpha,fx_level_z_252,-0.0241256635636091
36,institution,alpha,kospi_return_1d,-0.0041261324658989
36,institution,alpha,fx_level_z_252,-0.0032505963463336
36,retail,alpha,kospi_return_1d,-0.0236445143818855
36,retail,alpha,fx_level_z_252,0.032169010490179
37,foreign,alpha,kospi_return_1d,0.0389723032712936
37,foreign,alpha,fx_level_z_252,-0.0324493907392025
37,institution,alpha,kospi_return_1d,-0.0037006512284278
37,institution,alpha,fx_level_z_252,-0.0017475553322583
37,retail,alpha,kospi_return_1d,-0.0257362481206655
37,retail,alpha,fx_level_z_252,0.0331697911024093
38,foreign,alpha,kospi_return_1d,0.0434422045946121
38,foreign,alpha,fx_level_z_252,-0.0299805309623479
38,institution,alpha,kospi_return_1d,-0.0037562295328825
38,institution,alpha,fx_level_z_252,-0.0020090376492589
38,retail,alpha,kospi_return_1d,-0.02869170345366
38,retail,alpha,fx_level_z_252,0.0289356913417577
39,foreign,alpha,kospi_return_1d,0.0169399250298738
39,foreign,alpha,fx_level_z_252,-0.0325620137155056
39,institution,alpha,kospi_return_1d,-0.0045165214687585
39,institution,alpha,fx_level_z_252,-0.0032647396437823
39,retail,alpha,kospi_return_1d,-0.0214538928121328
39,retail,alpha,fx_level_z_252,0.0332329794764518
40,foreign,alpha,kospi_return_1d,0.0360690876841545
40,foreign,alpha,fx_level_z_252,-0.0495377592742443
40,institution,alpha,kospi_return_1d,-0.0043499385938048
40,institution,alpha,fx_level_z_252,-0.0013884284999221
40,retail,alpha,kospi_return_1d,-0.0202009733766317
40,retail,alpha,fx_level_z_252,0.0339679569005966
41,foreign,alpha,kospi_return_1d,0.0380823276937007
41,foreign,alpha,fx_level_z_252,-0.0409197844564914
41,institution,alpha,kospi_return_1d,-0.0042703878134489
41,institution,alpha,fx_level_z_252,-0.0019412360852584
41,retail,alpha,kospi_return_1d,-0.027002053335309
41,retail,alpha,fx_level_z_252,0.0315364636480808
42,foreign,alpha,kospi_return_1d,0.0400631129741668
42,foreign,alpha,fx_level_z_252,-0.0140921538695693
42,institution,alpha,kospi_return_1d,-0.0040644714608788
42,institution,alpha,fx_level_z_252,-0.0038577942177653
42,retail,alpha,kospi_return_1d,-0.0255190022289752
42,retail,alpha,fx_level_z_252,0.0329978466033935
43,foreign,alpha,kospi_return_1d,0.0463366545736789
43,foreign,alpha,fx_level_z_252,-0.0217210035771131
43,institution,alpha,kospi_return_1d,-0.0041321571916341
43,institution,alpha,fx_level_z_252,-0.0043207360431551
43,retail,alpha,kospi_return_1d,-0.0300027206540107
43,retail,alpha,fx_level_z_252,0.0309128351509571
44,foreign,alpha,kospi_return_1d,0.0447430051863193
44,foreign,alpha,fx_level_z_252,-0.0323334708809852
44,institution,alpha,kospi_return_1d,-0.0033388189040124
44,institution,alpha,fx_level_z_252,-0.0025729353073984
44,retail,alpha,kospi_return_1d,-0.0301753897219896
44,retail,alpha,fx_level_z_252,0.0308675821870565
