experiment,epochs,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
lr_0p001_l1_0,50,0.001,0.0,16,retail,768,197,0.6500421166419983,0.5532994923857868,0.5491052850603413,0.7449834942817688
lr_0p001_l1_0,50,0.001,0.0,17,foreign,772,194,0.6338158117057128,0.6701030927835051,0.6064908722109533,0.6537497639656067
lr_0p001_l1_0,50,0.001,0.0,17,institution,772,194,0.6869133605858205,0.5412371134020618,0.5411273819331863,0.6901668310165405
lr_0p001_l1_0,50,0.001,0.0,17,retail,772,194,0.6689495323853172,0.6030927835051546,0.5417088510507746,0.6653509140014648
lr_0p001_l1_0,50,0.001,0.0,18,foreign,765,194,0.6308521322175569,0.6597938144329897,0.6525561706284598,0.6377352476119995
lr_0p001_l1_0,50,0.001,0.0,18,institution,765,194,0.685795190521315,0.4948453608247423,0.4929051530993278,0.6942430734634399
lr_0p001_l1_0,50,0.001,0.0,18,retail,765,194,0.6662741731974035,0.6443298969072165,0.6293506853108126,0.6513200998306274
lr_0p001_l1_0,50,0.001,0.0,19,foreign,765,194,0.63260635495965,0.6701030927835051,0.6630847715185064,0.6355127692222595
lr_0p001_l1_0,50,0.001,0.0,19,institution,765,194,0.6880729651918598,0.5927835051546392,0.5926861030642889,0.6795881390571594
lr_0p001_l1_0,50,0.001,0.0,19,retail,765,194,0.6552761978573269,0.5257731958762887,0.5141550522648084,0.6921312808990479
lr_0p001_l1_0,50,0.001,0.0,20,foreign,765,194,0.6431144792270037,0.7061855670103093,0.7058025381115811,0.5932474732398987
lr_0p001_l1_0,50,0.001,0.0,20,institution,765,194,0.680933393684088,0.5103092783505154,0.5081004617396643,0.7176975607872009
lr_0p001_l1_0,50,0.001,0.0,20,retail,765,194,0.6694447459738239,0.6701030927835051,0.6692242114236999,0.6416038274765015
lr_0p001_l1_0,50,0.001,0.0,21,foreign,765,194,0.6349304252200656,0.6907216494845361,0.690688775510204,0.6293300986289978
lr_0p001_l1_0,50,0.001,0.0,21,institution,765,194,0.6856260384609497,0.5360824742268041,0.5358851674641147,0.700795590877533
lr_0p001_l1_0,50,0.001,0.0,21,retail,765,194,0.6607347554630704,0.6030927835051546,0.6030822372791285,0.6732893586158752
lr_0p001_l1_0,50,0.001,0.0,22,foreign,765,194,0.6282203294093313,0.6288659793814433,0.6140583554376657,0.6566030979156494
lr_0p001_l1_0,50,0.001,0.0,22,institution,765,194,0.6855448873993618,0.520618556701031,0.5159758551307847,0.6879415512084961
lr_0p001_l1_0,50,0.001,0.0,22,retail,765,194,0.6571914601949306,0.5773195876288659,0.5622454595487066,0.6778692007064819
lr_0p001_l1_0,50,0.001,0.0,23,foreign,768,197,0.6193188627560934,0.6243654822335025,0.5815729047072331,0.7002210021018982
lr_0p001_l1_0,50,0.001,0.0,23,institution,768,197,0.6825587352116903,0.5126903553299492,0.5047140163419233,0.7171961069107056
lr_0p001_l1_0,50,0.001,0.0,23,retail,768,197,0.652790387471517,0.5482233502538071,0.514388588838111,0.71425461769104
lr_0p001_l1_0,50,0.001,0.0,24,foreign,772,194,0.6319997126883176,0.6030927835051546,0.5684031088382306,0.6525394320487976
lr_0p001_l1_0,50,0.001,0.0,24,institution,772,194,0.6860240759627189,0.5103092783505154,0.5081004617396643,0.6931935548782349
lr_0p001_l1_0,50,0.001,0.0,24,retail,772,194,0.6715385589574903,0.6701030927835051,0.6325757575757576,0.6437874436378479
lr_0p001_l1_0,50,0.001,0.0,25,foreign,765,194,0.6300777256099227,0.6288659793814433,0.5951304347826087,0.6478360891342163
lr_0p001_l1_0,50,0.001,0.0,25,institution,765,194,0.6849560538148568,0.5618556701030928,0.5576123407109322,0.6861966252326965
lr_0p001_l1_0,50,0.001,0.0,25,retail,765,194,0.6596065889776143,0.5412371134020618,0.5071785357499643,0.6784768104553223
lr_0p001_l1_0,50,0.001,0.0,26,foreign,765,194,0.6403130542219074,0.6649484536082474,0.6561690524880709,0.6076468229293823
lr_0p001_l1_0,50,0.001,0.0,26,institution,765,194,0.6776556633656321,0.5051546391752577,0.5017656500802568,0.7224724888801575
lr_0p001_l1_0,50,0.001,0.0,26,retail,765,194,0.6731494468022016,0.6907216494845361,0.680921052631579,0.6344735622406006
lr_0p001_l1_0,50,0.001,0.0,27,foreign,765,194,0.6315478017906737,0.6443298969072165,0.6373045763676267,0.6476967334747314
lr_0p001_l1_0,50,0.001,0.0,27,institution,765,194,0.6829648449530009,0.5257731958762887,0.5141550522648084,0.7002765536308289
lr_0p001_l1_0,50,0.001,0.0,27,retail,765,194,0.6656675685464947,0.654639175257732,0.6488071113993137,0.6576319336891174
lr_0p001_l1_0,50,0.001,0.0,28,foreign,765,194,0.6274569611144222,0.6443298969072165,0.5928212927756654,0.6553755402565002
lr_0p001_l1_0,50,0.001,0.0,28,institution,765,194,0.6820392812778747,0.4845360824742268,0.4682017543859649,0.6979848146438599
lr_0p001_l1_0,50,0.001,0.0,28,retail,765,194,0.6624386419657788,0.6185567010309279,0.5719737626714372,0.6615327000617981
lr_0p001_l1_0,50,0.001,0.0,29,foreign,768,197,0.6167003711064657,0.6091370558375635,0.5001153402537486,0.7157773971557617
lr_0p001_l1_0,50,0.001,0.0,29,institution,768,197,0.6819577217102051,0.5126903553299492,0.5116711423259657,0.7025845050811768
lr_0p001_l1_0,50,0.001,0.0,29,retail,768,197,0.6591802636782328,0.5939086294416244,0.4897694897694897,0.687475860118866
lr_0p001_l1_0,50,0.001,0.0,30,foreign,772,194,0.634797891495759,0.5309278350515464,0.5151465216555436,0.682155191898346
lr_0p001_l1_0,50,0.001,0.0,30,institution,772,194,0.6882704626093257,0.6030927835051546,0.5940209267563528,0.6869585514068604
lr_0p001_l1_0,50,0.001,0.0,30,retail,772,194,0.6612012234994167,0.5412371134020618,0.5397574303611888,0.6834819316864014
lr_0p001_l1_0,50,0.001,0.0,31,foreign,765,194,0.6378763945274104,0.6494845360824743,0.6488874693921005,0.6282458901405334
lr_0p001_l1_0,50,0.001,0.0,31,institution,765,194,0.6790514791713042,0.5567010309278351,0.5251593806921676,0.7253302335739136
