experiment,epochs,batch_size,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_25_bs_128_lr_0p0005_l1_0p0003,25,128,0.0005,0.0003,foreign,0.6328222303626563,0.029633219894610797,0.6187402705109202,0.035365600566555244,0.6571062948968676,0.018493125197618678,11.0,9.0
ep_25_bs_256_lr_0p0005_l1_0p0003,25,256,0.0005,0.0003,foreign,0.6321506445479442,0.02929403427632771,0.6188088005159776,0.034063706876455435,0.6682618154419793,0.012317191765596692,12.0,13.0
ep_25_bs_512_lr_0p0005_l1_0p01,25,512,0.0005,0.01,foreign,0.6317046650502091,0.02832575835591209,0.6191109283846191,0.03433019607339151,0.6742799295319452,0.009388362944442893,13.0,17.0
ep_25_bs_512_lr_0p001_l1_0p01,25,512,0.001,0.01,foreign,0.6312412417650787,0.0296753159020706,0.6181656817757705,0.03574968019473538,0.6630067427953085,0.01591273106636623,14.0,12.0
ep_25_bs_512_lr_0p0005_l1_0p0003,25,512,0.0005,0.0003,foreign,0.6310086579331438,0.027646686165611268,0.6183711513164559,0.03218049771832858,0.674304829703437,0.009595732372970829,15.0,18.0
ep_25_bs_512_lr_0p001_l1_0p0003,25,512,0.001,0.0003,foreign,0.6300975107715387,0.030010248714519124,0.6170848350272768,0.0357863258582854,0.6628354681862725,0.01636337754170081,16.0,11.0
ep_25_bs_2048_lr_0p001_l1_0p01,25,2048,0.001,0.01,foreign,0.6289485466417802,0.027985533959206336,0.6171036795695676,0.03114697744492995,0.6739061037699382,0.010595339476764077,17.0,16.0
ep_25_bs_2048_lr_0p001_l1_0p0003,25,2048,0.001,0.0003,foreign,0.6279141300492496,0.027674897717429092,0.614951970588302,0.03094870124286343,0.6736565682623121,0.010607560286035387,18.0,15.0
ep_25_bs_2048_lr_0p0005_l1_0p01,25,2048,0.0005,0.01,foreign,0.6273466254993284,0.026144820751386823,0.6159651829676984,0.028940106570441194,0.6821826577186585,0.006017458269950436,19.0,19.0
ep_25_bs_2048_lr_0p0005_l1_0p0003,25,2048,0.0005,0.0003,foreign,0.6251789441856949,0.02803070277228331,0.612549116968821,0.030975852145083044,0.6823143839836121,0.005974924497737261,20.0,20.0
ep_25_bs_2048_lr_0p0005_l1_0p01,25,2048,0.0005,0.01,institution,0.5430512672911543,0.032373825199474376,0.5324558516542475,0.03445392957632198,0.6921617984771729,0.0026111854263515997,1.0,2.0
ep_25_bs_2048_lr_0p001_l1_0p0003,25,2048,0.001,0.0003,institution,0.542962885435019,0.036784410703644695,0.5322400118308269,0.04008467071052608,0.6924815363354153,0.005292895558705317,2.0,3.0
ep_25_bs_2048_lr_0p001_l1_0p01,25,2048,0.001,0.01,institution,0.5412533942702973,0.0393067598252114,0.5305183441616284,0.03922025184249681,0.6926773813035753,0.005175746871907706,3.0,5.0
ep_25_bs_2048_lr_0p0005_l1_0p0003,25,2048,0.0005,0.0003,institution,0.53952820369692,0.03797930883900849,0.5288021998290614,0.04127517068230476,0.691998897658454,0.002576479244035832,4.0,1.0
ep_25_bs_512_lr_0p001_l1_0p0003,25,512,0.001,0.0003,institution,0.5390682691692688,0.03300311351562901,0.5298772349651364,0.03199075515380244,0.6942111558384365,0.0075411510533693145,5.0,9.0
ep_25_bs_512_lr_0p0005_l1_0p0003,25,512,0.0005,0.0003,institution,0.5386257784290125,0.036747008712989956,0.5297316509049804,0.0368687157071499,0.6926715016365051,0.0038986205621500563,6.0,4.0
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,institution,0.5368779109320216,0.032017027359280505,0.5280189987875001,0.03061008227593949,0.6962055656645033,0.009478791208898423,7.0,16.0
ep_25_bs_256_lr_0p001_l1_0p0003,25,256,0.001,0.0003,institution,0.536333083305714,0.03587006748058206,0.5272057908960034,0.034538421417903566,0.6954267475340101,0.008869746703823686,8.0,14.0
ep_25_bs_128_lr_0p001_l1_0p0003,25,128,0.001,0.0003,institution,0.5363173838970584,0.03285397045248173,0.5269703026695763,0.031690192255558546,0.6975405216217041,0.011601882430586808,9.0,18.0
ep_25_bs_256_lr_0p0005_l1_0p0003,25,256,0.0005,0.0003,institution,0.5355312505451183,0.03748836782571507,0.5271385745540009,0.03756544195371387,0.6933624280823601,0.004749673190522139,10.0,7.0
ep_25_bs_64_lr_0p001_l1_0p0003,25,64,0.001,0.0003,institution,0.5354010035992348,0.033803642043206884,0.5253604622724346,0.03308688104231971,0.6995953506893582,0.013888630047730237,11.0,20.0
ep_25_bs_128_lr_0p0005_l1_0p0003,25,128,0.0005,0.0003,institution,0.5348369878067926,0.03374351774740431,0.5262828544875028,0.03340644527746117,0.6945677571826511,0.006928958563646144,12.0,12.0
ep_25_bs_512_lr_0p0005_l1_0p01,25,512,0.0005,0.01,institution,0.5347241846483042,0.03598338190569109,0.5258063067094654,0.035636703805822775,0.6929890844557021,0.00338140293175289,13.0,6.0
ep_25_bs_512_lr_0p001_l1_0p01,25,512,0.001,0.01,institution,0.5336897680557736,0.03745709929911175,0.5239487535048934,0.036376604622658265,0.6943319135242039,0.006487645894346821,14.0,10.0
ep_25_bs_256_lr_0p0005_l1_0p01,25,256,0.0005,0.01,institution,0.5308121245951587,0.0392340475600682,0.5216036548666224,0.038688209857184075,0.6935926119486491,0.0041260292609123375,15.0,8.0
ep_25_bs_128_lr_0p001_l1_0p01,25,128,0.001,0.01,institution,0.530478948255912,0.032624663092494656,0.5204715231001477,0.031588607903958066,0.6968200869030423,0.009674733968184744,16.0,17.0
