variant,label,n_dates,rmse,mae,pearson,direction_accuracy,balanced_accuracy,actual_std,predicted_std,std_ratio,actual_min,actual_max,predicted_min,predicted_max
e1_persistence,E1 persistence,973,0.12449081499017743,0.09353799922463313,0.1525689312352075,0.5498458376156218,0.5452989084086645,0.12538902946407326,0.011501319929777338,0.09172508933943636,-0.8190359,0.41256312,-0.06238345111111111,0.04688242722222222
t2_ep50_lr0p001_l10p01,"T2: 50 epochs, lr=0.001, L1=0.01",973,0.12389248048799899,0.09305705790316286,0.17117270216676522,0.5673175745118191,0.5650136448916936,0.12538902946407326,0.01990563024617812,0.15875097152643267,-0.8190359,0.41256312,-0.10465187566666666,0.07275616222222223
t6_ep50_lr0p001_l10,"T6: 50 epochs, lr=0.001, L1=0",973,0.1253968446807732,0.09430967208664456,0.13664535458362928,0.5621788283658787,0.5597283813747228,0.12538902946407326,0.0323212201462125,0.2577675278639368,-0.8190359,0.41256312,-0.19030147644444445,0.19482716777777778
