epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,-0.001973832957446575
1,beta,persist,,0.001998473424464464
1,beta,underwater,,0.001988121774047613
1,B,momentum,kospi_return_1d,0.0004990656161680818
1,B,momentum,fx_level_z_252,0.001995361875742674
1,B,persist,kospi_return_1d,0.0004846793017350137
1,B,persist,fx_level_z_252,-0.001899491879157722
1,B,underwater,kospi_return_1d,-0.0013958539348095655
1,B,underwater,fx_level_z_252,-0.0004261838039383292
1,alpha,,kospi_return_1d,-0.001866716775111854
1,alpha,,fx_level_z_252,0.0019991029985249043
2,beta,momentum,,-0.0038936298806220293
2,beta,persist,,0.003989839926362038
2,beta,underwater,,0.003935979679226875
2,B,momentum,kospi_return_1d,-0.00021470223146025091
2,B,momentum,fx_level_z_252,0.003623077878728509
2,B,persist,kospi_return_1d,-3.4997210605069995e-05
2,B,persist,fx_level_z_252,-0.003467113245278597
2,B,underwater,kospi_return_1d,-0.0024206319358199835
2,B,underwater,fx_level_z_252,0.0005585403996519744
2,alpha,,kospi_return_1d,-0.0036287482362240553
2,alpha,,fx_level_z_252,0.003982994705438614
3,beta,momentum,,-0.005779994651675224
3,beta,persist,,0.005971793085336685
3,beta,underwater,,0.00581966619938612
3,B,momentum,kospi_return_1d,-0.0002480657130945474
3,B,momentum,fx_level_z_252,0.004484620410948992
3,B,persist,kospi_return_1d,-0.0007229416514746845
3,B,persist,fx_level_z_252,-0.0048914276994764805
3,B,underwater,kospi_return_1d,-0.003485329682007432
3,B,underwater,fx_level_z_252,0.001103817019611597
3,alpha,,kospi_return_1d,-0.005356361623853445
3,alpha,,fx_level_z_252,0.005952254869043827
4,beta,momentum,,-0.0076402160339057446
4,beta,persist,,0.007938507944345474
4,beta,underwater,,0.007665183395147324
4,B,momentum,kospi_return_1d,-0.0005382580566219985
4,B,momentum,fx_level_z_252,0.004820175934582949
4,B,persist,kospi_return_1d,-0.0008764334488660097
4,B,persist,fx_level_z_252,-0.0064478288404643536
4,B,underwater,kospi_return_1d,-0.004079821519553661
4,B,underwater,fx_level_z_252,0.0013774912804365158
4,alpha,,kospi_return_1d,-0.0070806159637868404
4,alpha,,fx_level_z_252,0.007893755100667477
5,beta,momentum,,-0.009427969343960285
5,beta,persist,,0.009878280572593212
5,beta,underwater,,0.009408403187990189
5,B,momentum,kospi_return_1d,-0.0006493084947578609
5,B,momentum,fx_level_z_252,0.00500338664278388
5,B,persist,kospi_return_1d,-0.0010874364525079727
5,B,persist,fx_level_z_252,-0.007946392521262169
5,B,underwater,kospi_return_1d,-0.004661853890866041
5,B,underwater,fx_level_z_252,0.0011273588752374053
5,alpha,,kospi_return_1d,-0.008697405457496643
5,alpha,,fx_level_z_252,0.009789874777197838
6,beta,momentum,,-0.011141026392579079
6,beta,persist,,0.011790060438215733
6,beta,underwater,,0.011088808067142963
6,B,momentum,kospi_return_1d,-0.0005843500839546323
6,B,momentum,fx_level_z_252,0.005159830674529076
6,B,persist,kospi_return_1d,-0.0012842504074797034
6,B,persist,fx_level_z_252,-0.009271426126360893
6,B,underwater,kospi_return_1d,-0.005075676366686821
6,B,underwater,fx_level_z_252,0.0006398051627911627
6,alpha,,kospi_return_1d,-0.010249479673802853
6,alpha,,fx_level_z_252,0.011666528880596161
7,beta,momentum,,-0.012826791033148766
7,beta,persist,,0.013672765344381332
7,beta,underwater,,0.012641354463994503
7,B,momentum,kospi_return_1d,-0.0006776405498385429
7,B,momentum,fx_level_z_252,0.005548554006963968
7,B,persist,kospi_return_1d,-0.0011160162976011634
7,B,persist,fx_level_z_252,-0.010595583356916904
7,B,underwater,kospi_return_1d,-0.004951762035489082
7,B,underwater,fx_level_z_252,-0.0002271082776132971
7,alpha,,kospi_return_1d,-0.011675014160573483
7,alpha,,fx_level_z_252,0.013491006568074226
8,beta,momentum,,-0.01447373442351818
8,beta,persist,,0.015548815950751305
8,beta,underwater,,0.014040553011000156
8,B,momentum,kospi_return_1d,-0.000863866473082453
8,B,momentum,fx_level_z_252,0.00619897898286581
8,B,persist,kospi_return_1d,-0.0008384353714063764
8,B,persist,fx_level_z_252,-0.011829976923763752
8,B,underwater,kospi_return_1d,-0.004524149000644684
8,B,underwater,fx_level_z_252,-0.0013488733675330877
8,alpha,,kospi_return_1d,-0.01291835866868496
8,alpha,,fx_level_z_252,0.01527567021548748
9,beta,momentum,,-0.016062885522842407
9,beta,persist,,0.01740059070289135
9,beta,underwater,,0.015379018150269985
9,B,momentum,kospi_return_1d,-0.0008758669719099998
9,B,momentum,fx_level_z_252,0.006864730268716812
9,B,persist,kospi_return_1d,-0.0005038169329054654
9,B,persist,fx_level_z_252,-0.013126890175044537
9,B,underwater,kospi_return_1d,-0.004028157331049442
9,B,underwater,fx_level_z_252,-0.0025488215032964945
9,alpha,,kospi_return_1d,-0.013970406726002693
9,alpha,,fx_level_z_252,0.01702071726322174
10,beta,momentum,,-0.01757846772670746
10,beta,persist,,0.019218837842345238
10,beta,underwater,,0.016647906973958015
