variant,comparator,rmse_delta,rmse_skill_delta,rmse_win_rate,balanced_accuracy_delta,pearson_delta,std_ratio_delta,tail_direction_delta
e1_persistence,e0_baseline,-0.0006483945232216617,0.005075164288060137,1.0,0.023435911169410743,0.053857700498796804,0.01767782935500066,0.05603628117913832
e2_residual_1d,e0_baseline,1.7071332682120726e-05,-0.00014176150180957364,0.6222222222222222,-0.007143601190563144,-0.0015321636885500636,0.0028091371898662054,0.0005170068027210835
e3_residual_5d,e0_baseline,3.38510303537561e-05,-0.0002757039649342473,0.26666666666666666,-0.00360617804061331,-0.0034761714225230705,0.00045562757735142514,-0.0036190476190476216
e4_benchmark_drift,e0_baseline,7.383532346458463e-05,-0.0006035699951378944,0.2222222222222222,-0.005413784943688494,-0.009130629867333772,0.0014712989314415615,-0.008634920634920638
e5_drift_quarter_end,e4_benchmark_drift,2.6913669891466694e-05,-0.00023415145322143173,0.37777777777777777,0.00033985882411428453,-0.0025876966471554594,0.0008999849218230046,0.0009433106575963733
e6_persistence_vkospi,e1_persistence,4.8986904970813654e-05,-0.0003720284498992039,0.3333333333333333,-0.0030055475940221114,-0.005248390983742901,0.0007825220843036125,-0.000417233560090703
e7_persistence_liquidity,e1_persistence,-6.09810546412083e-06,4.96773793221994e-05,0.6888888888888889,0.0025797578596685002,0.000994134065590947,0.0015553314228359092,0.0008888888888888946
