variant,split,rmse,nrmse,rmse_skill,mse_skill,mae_skill,direction_accuracy,balanced_accuracy,macro_f1,pearson,spearman,std_ratio,tail_direction_accuracy
e0_baseline,0,0.13349091419931666,1.0463078055376955,0.010062386300122239,0.020023586780170244,0.01188397187418233,0.6391752577319587,0.4967548076923077,0.44886363636363635,-0.016762566080132556,-0.020037555521771108,0.04013685264176414,0.7755102040816326
e0_baseline,1,0.13586427543913393,1.00925295675702,0.0052281065556991635,0.010428920804314012,0.012496604628512653,0.5670103092783505,0.5395574743658931,0.5276521739130435,0.12238665457858805,0.14600387060191558,0.059593297525953416,0.673469387755102
e0_baseline,2,0.12501858801438626,1.0173243279213509,0.002998611122297379,0.0059882782976510285,0.005113215370026847,0.5721649484536082,0.5710303300624442,0.564940152927508,0.1210336694383642,0.12827306233641364,0.07912719133385547,0.6326530612244898
e0_baseline,3,0.13863682908031982,0.9940834385042919,0.00999110010313975,0.01988232800677625,0.012115139913321249,0.5721649484536082,0.518530701754386,0.49216261393383165,0.17629397769795543,0.17999285048053812,0.06514602620091463,0.6326530612244898
e0_baseline,4,0.13586948846089433,1.0244713486426922,0.009086942894476313,0.01809130233261591,0.013839396794842806,0.6288659793814433,0.532373271889401,0.508515130190007,0.12537315988343858,0.14455917460030485,0.04825437142619318,0.673469387755102
e0_baseline,5,0.14536508008833562,1.0164954398667772,0.002793895539688007,0.005580004909404246,0.0076132244563583695,0.5567010309278351,0.4788859956979509,0.45441465009810333,0.009013305398054804,0.07939993343550844,0.07017167986367029,0.6122448979591837
e0_baseline,6,0.1287776689037915,1.0045311437650009,0.004839842331016864,0.009656199386152364,0.011600242390844229,0.5824742268041238,0.5779616724738676,0.5765219500363812,0.1448868916286261,0.20440640498329724,0.11559063887881799,0.5918367346938775
e0_baseline,7,0.12656827748127739,1.0114063602061174,0.0046798292194550895,0.009337681053594449,0.004673034450439206,0.5618556701030928,0.5301920301920302,0.5293278150421007,0.14563684822562917,0.14506703701725335,0.06163353581843873,0.6530612244897959
e0_baseline,8,0.14854270227520014,0.9980492627543746,0.001998898615297673,0.003993900366717207,-0.001537102448050831,0.5939086294416244,0.5762588431127758,0.5693989071038251,0.06656193087716343,0.10037388282493433,0.0603984414225509,0.66
e0_baseline,9,0.11984052590144459,1.0063987104871144,0.00325970307490564,0.006508801550870857,0.0023276883490535027,0.5670103092783505,0.5382622773880195,0.5245098039215685,0.148327333211597,0.1324493678427763,0.057084581857810075,0.6530612244897959
e0_baseline,10,0.10714074432405009,1.0140170360684193,0.0001394586067021697,0.0002788735017558164,-0.007534354730131421,0.5721649484536082,0.5429304192685103,0.5430112104441607,0.10903377433109976,0.07717125564462779,0.06541472620102755,0.6326530612244898
e0_baseline,11,0.12351644309015528,0.9947562502648852,0.006241772322433281,0.012444593695775774,-0.003710948779767298,0.5309278350515464,0.47971491228070173,0.4535549571300337,0.16975991442464133,0.1197955401790667,0.05606823033925938,0.6122448979591837
e0_baseline,12,0.11982005950357145,1.022270500052866,0.005157441992948875,0.01028828904111967,-0.0011758486674682267,0.6134020618556701,0.5233870967741936,0.5043433827286663,0.11823151032225042,0.056115509937421156,0.05228899978688318,0.6326530612244898
e0_baseline,13,0.130820618738171,1.0170833112786413,-0.0035838557418041983,-0.007180491151549395,-0.01084700724670018,0.4896907216494845,0.43331823842409145,0.4251593786477507,0.013632218114736465,0.03838305810422684,0.07359940704543161,0.5918367346938775
e0_baseline,14,0.11226310952951596,1.0061077123798507,-0.0016534458095396332,-0.003309628633136219,-0.007850459480796435,0.5515463917525774,0.5577090592334495,0.5505791505791506,0.14545728197796623,0.1667687048275692,0.13295383304090377,0.6122448979591837
e0_baseline,15,0.1095380936348881,1.0122541561195157,-0.0020375502256324562,-0.004079257498257771,-0.01561757336670433,0.5412371134020618,0.5264180264180264,0.5258026420587185,0.1428189716214997,0.09159027500996411,0.06909047418368452,0.6938775510204082
e0_baseline,16,0.1332305584944285,0.9910130479083478,0.010953636731767857,0.021787338646912846,-0.0034732994884592028,0.5634517766497462,0.5544111527257595,0.5537821323219553,0.16309084879798508,0.1622858649689687,0.06995885898765075,0.68
e0_baseline,17,0.11093053085173983,1.0011153530946768,-0.0006792792126391056,-0.0013589745099595874,0.005487425063549489,0.5360824742268041,0.5360824742268041,0.5358851674641147,0.04276344717874218,0.040994687167434346,0.04935076591816052,0.5102040816326531
