variant,investor,feature,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
e0_baseline,institution,underwater,-0.001049294934152,0.0010159076818359,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
e0_baseline,institution,herd,-0.0042098607298814,0.000589306172481,0.0,1.0,negative,1.0
e0_baseline,institution,momentum,-0.0007235870062787,0.001264701952959,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
e0_baseline,institution,volatility,0.0026454218362535,0.0018652973855087,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
e1_persistence,institution,underwater,-0.0009710338423448,0.0009521326624348,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
e1_persistence,institution,herd,-0.0038684977140898,0.0008197167737526,0.0,1.0,negative,1.0
e1_persistence,institution,momentum,-0.0008294257141339,0.0012687826301603,0.1111111111111111,0.8888888888888888,negative,0.8888888888888888
e1_persistence,institution,volatility,0.0025359396589111,0.0018648615706705,0.8666666666666667,0.1333333333333333,positive,0.8666666666666667
e1_persistence,institution,execution_persistence_3,0.004772901121113,6.218271211595421e-05,1.0,0.0,positive,1.0
e2_residual_1d,institution,underwater,-0.0010081887107743,0.0009899523228829,0.1111111111111111,0.8888888888888888,negative,0.8888888888888888
e2_residual_1d,institution,herd,-0.0042027058235059,0.0005884576121568,0.0,1.0,negative,1.0
e2_residual_1d,institution,momentum,-0.0007982324826621,0.0013055595694702,0.1777777777777777,0.8222222222222222,negative,0.8222222222222222
e2_residual_1d,institution,volatility,0.0026436834545974,0.0018633252727761,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
e2_residual_1d,institution,short_residual_return_1,0.0015709327952612,0.0013722554709277,0.9555555555555556,0.0444444444444444,positive,0.9555555555555556
e3_residual_5d,institution,underwater,-0.0010573956679258,0.0010112124031157,0.0666666666666666,0.9333333333333332,negative,0.9333333333333332
e3_residual_5d,institution,herd,-0.0042097496748384,0.000583347306087,0.0,1.0,negative,1.0
e3_residual_5d,institution,momentum,-0.0007178463385369,0.0012578119558285,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
e3_residual_5d,institution,volatility,0.0026443682253658,0.0018648682710774,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
e3_residual_5d,institution,short_residual_return_5,4.803420411513394e-05,0.0006463530260348,0.5111111111111111,0.4888888888888889,positive,0.5111111111111111
e4_benchmark_drift,institution,underwater,-0.0010550904145929,0.0010216210223332,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
e4_benchmark_drift,institution,herd,-0.0042039021694411,0.000588012995761,0.0,1.0,negative,1.0
e4_benchmark_drift,institution,momentum,-0.0007109963089331,0.0011936817671103,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
e4_benchmark_drift,institution,volatility,0.0026315812411161,0.0018647028600988,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
e4_benchmark_drift,institution,benchmark_drift_20,0.0003067831923949,0.0009782843707031,0.5111111111111111,0.4888888888888889,positive,0.5111111111111111
e5_drift_quarter_end,institution,underwater,-0.0010151032649446,0.0010017184494558,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
e5_drift_quarter_end,institution,herd,-0.0042059120618634,0.000586531209597,0.0,1.0,negative,1.0
e5_drift_quarter_end,institution,momentum,-0.0007101553579559,0.0012176024236791,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
e5_drift_quarter_end,institution,volatility,0.0026368797672653,0.0018585542149898,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
e5_drift_quarter_end,institution,benchmark_drift_20,0.0002948564526983,0.0009779725915031,0.5111111111111111,0.4888888888888889,positive,0.5111111111111111
e6_persistence_vkospi,institution,underwater,-0.0009634599007161,0.0009543635859168,0.1111111111111111,0.8888888888888888,negative,0.8888888888888888
e6_persistence_vkospi,institution,herd,-0.0038460216355613,0.000837187354189,0.0,1.0,negative,1.0
e6_persistence_vkospi,institution,momentum,-0.0008579976116986,0.0012875370049543,0.1333333333333333,0.8666666666666667,negative,0.8666666666666667
e6_persistence_vkospi,institution,volatility,0.0025324566900154,0.0018714142508258,0.8444444444444444,0.1555555555555555,positive,0.8444444444444444
e6_persistence_vkospi,institution,execution_persistence_3,0.0047661731433537,6.935917764436247e-05,1.0,0.0,positive,1.0
e7_persistence_liquidity,institution,underwater,-0.0009547773911941,0.0009532482248418,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
e7_persistence_liquidity,institution,herd,-0.0038554575656437,0.0008279104334555,0.0,1.0,negative,1.0
e7_persistence_liquidity,institution,momentum,-0.0008184968594125,0.0012723765841104,0.1555555555555555,0.8444444444444444,negative,0.8444444444444444
e7_persistence_liquidity,institution,volatility,0.0025651040087622,0.001848440154607,0.8888888888888888,0.1111111111111111,positive,0.8888888888888888
e7_persistence_liquidity,institution,execution_persistence_3,0.004769836904274,6.218240430740325e-05,1.0,0.0,positive,1.0
