investor,metric,mean,std
foreign,accuracy,0.6317529261953355,0.03567931422621659
institution,accuracy,0.5337711723969508,0.0264856752679219
retail,accuracy,0.5924637023857287,0.04994307877815286
foreign,macro_f1,0.6157018039110829,0.042478396153435787
institution,macro_f1,0.523755814014212,0.028722900465088994
retail,macro_f1,0.5784749302406167,0.05151414339903935
foreign,nll,0.6647111574808756,0.04091614869613523
institution,nll,0.7028551737467448,0.019977811082505244
retail,nll,0.6802599880430433,0.03766730086424369
