epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,0.0004999961820431054
1,beta,persist,,0.000499999790918082
1,beta,underwater,,-0.0004999980446882546
1,B,momentum,kospi_return_1d,-0.0004999987431801856
1,B,momentum,fx_level_z_252,0.000499999150633812
1,B,persist,kospi_return_1d,-0.0004999990342184901
1,B,persist,fx_level_z_252,-0.0004999975790269673
1,B,underwater,kospi_return_1d,0.0004999994416721165
1,B,underwater,fx_level_z_252,0.0004999986267648637
1,alpha,,kospi_return_1d,-0.0004999995580874383
1,alpha,,fx_level_z_252,-0.0004999997327104211
2,beta,momentum,,0.0002357678604312241
2,beta,persist,,0.0009968217927962542
2,beta,underwater,,-0.00038282060995697975
2,B,momentum,kospi_return_1d,-0.0005330836866050959
2,B,momentum,fx_level_z_252,0.0008398285717703402
2,B,persist,kospi_return_1d,-0.000721149961464107
2,B,persist,fx_level_z_252,-0.0003548681561369449
2,B,underwater,kospi_return_1d,0.0009191668359562755
2,B,underwater,fx_level_z_252,0.000658808508887887
2,alpha,,kospi_return_1d,-0.0009845106396824121
2,alpha,,fx_level_z_252,-0.0009787471499294043
3,beta,momentum,,-0.00012594091822393239
3,beta,persist,,0.001492675393819809
3,beta,underwater,,-0.0001033897278830409
3,B,momentum,kospi_return_1d,-0.00036998261930420995
3,B,momentum,fx_level_z_252,0.0010598227381706238
3,B,persist,kospi_return_1d,-0.0007495975587517023
3,B,persist,fx_level_z_252,-7.396639557555318e-05
3,B,underwater,kospi_return_1d,0.0012933884281665087
3,B,underwater,fx_level_z_252,0.0006600698688998818
3,alpha,,kospi_return_1d,-0.001463969238102436
3,alpha,,fx_level_z_252,-0.0014493826311081648
4,beta,momentum,,-0.00011118136171717197
4,beta,persist,,0.001987800933420658
4,beta,underwater,,0.00024784202105365694
4,B,momentum,kospi_return_1d,-0.00012018583947792649
4,B,momentum,fx_level_z_252,0.0011696669971570373
4,B,persist,kospi_return_1d,-0.0006523317424580455
4,B,persist,fx_level_z_252,0.00025874614948406816
4,B,underwater,kospi_return_1d,0.00163317343685776
4,B,underwater,fx_level_z_252,0.0005845646956004202
4,alpha,,kospi_return_1d,-0.0019391145324334502
4,alpha,,fx_level_z_252,-0.001913891057483852
5,beta,momentum,,5.8763951528817415e-05
5,beta,persist,,0.0024820866528898478
5,beta,underwater,,0.0003092497936449945
5,B,momentum,kospi_return_1d,0.00016059627523645759
5,B,momentum,fx_level_z_252,0.001191232935525477
5,B,persist,kospi_return_1d,-0.000479182752314955
5,B,persist,fx_level_z_252,0.0001934320607688278
5,B,underwater,kospi_return_1d,0.0019430374959483743
5,B,underwater,fx_level_z_252,0.00047460084897466004
5,alpha,,kospi_return_1d,-0.002410083543509245
5,alpha,,fx_level_z_252,-0.0023710718378424644
6,beta,momentum,,0.00011044526763726026
6,beta,persist,,0.002975323935970664
6,beta,underwater,,0.00022569051361642778
6,B,momentum,kospi_return_1d,0.00010674515215214342
6,B,momentum,fx_level_z_252,0.001151817268691957
6,B,persist,kospi_return_1d,-0.0002694970171432942
6,B,persist,fx_level_z_252,-1.4872828614898026e-05
6,B,underwater,kospi_return_1d,0.002212776802480221
6,B,underwater,fx_level_z_252,0.00036471529165282845
6,alpha,,kospi_return_1d,-0.002877163467928767
6,alpha,,fx_level_z_252,-0.0028185578994452953
7,beta,momentum,,6.856691470602527e-05
7,beta,persist,,0.0034673463087528944
7,beta,underwater,,5.91085699852556e-05
7,B,momentum,kospi_return_1d,-8.809987048152834e-05
7,B,momentum,fx_level_z_252,0.0010664666770026088
7,B,persist,kospi_return_1d,-4.5994442189112306e-05
7,B,persist,fx_level_z_252,-0.00015033571980893612
7,B,underwater,kospi_return_1d,0.0024268145207315683
7,B,underwater,fx_level_z_252,0.0002824413531925529
7,alpha,,kospi_return_1d,-0.0033405455760657787
7,alpha,,fx_level_z_252,-0.0032539921812713146
8,beta,momentum,,-4.607050505001098e-05
8,beta,persist,,0.003957979381084442
8,beta,underwater,,-0.00015718139184173197
8,B,momentum,kospi_return_1d,-0.0002447867882438004
8,B,momentum,fx_level_z_252,0.0009451081859879196
8,B,persist,kospi_return_1d,0.0001764277694746852
8,B,persist,fx_level_z_252,-0.00022118807828519493
8,B,underwater,kospi_return_1d,0.0025707054883241653
8,B,underwater,fx_level_z_252,0.0002480752591509372
8,alpha,,kospi_return_1d,-0.0038002203218638897
8,alpha,,fx_level_z_252,-0.003675055457279086
9,beta,momentum,,-4.2624255002010614e-05
9,beta,persist,,0.004447029437869787
9,beta,underwater,,-0.00020848159329034388
9,B,momentum,kospi_return_1d,-0.00036585895577445626
9,B,momentum,fx_level_z_252,0.0007971117156557739
9,B,persist,kospi_return_1d,9.840624989010394e-05
9,B,persist,fx_level_z_252,-0.00023530608450528234
9,B,underwater,kospi_return_1d,0.002636941149830818
9,B,underwater,fx_level_z_252,0.00027040409622713923
9,alpha,,kospi_return_1d,-0.004255856387317181
9,alpha,,fx_level_z_252,-0.004079526290297508
