experiment,epochs,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_50_lr_0p0015_l1_0p0003,50,0.0015,0.0003,institution,0.5310586634570098,0.03285794264605414,0.5203604306824036,0.03255791536116397,0.7010858866903517,0.015302187389478424,18.0,14.0
ep_100_lr_0p002_l1_0p0003,100,0.002,0.0003,institution,0.529585244881702,0.03220314840319633,0.5159222321008389,0.037540747517623964,0.7034591303931342,0.01725124654756825,19.0,20.0
ep_50_lr_0p002_l1_0p0003,50,0.002,0.0003,institution,0.5293404503985906,0.03172886548166239,0.518128178504775,0.03182086983314936,0.7022328045633104,0.0161972309664672,20.0,16.0
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,retail,0.5991249033323449,0.04944977744597448,0.5857673339130451,0.05118223423822104,0.6797933591736688,0.010730507189720146,1.0,10.0
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,retail,0.5971793395782092,0.0509539896380068,0.5833855790256323,0.05251609031507029,0.6778120040893555,0.015402290199348759,2.0,5.0
ep_50_lr_0p0005_l1_0p0003,50,0.0005,0.0003,retail,0.5971775951994697,0.051216920080911124,0.5828555917179764,0.053501872893415355,0.677130811744266,0.018120301462285493,3.0,1.0
ep_25_lr_0p001_l1_0p0003,25,0.001,0.0003,retail,0.596486821218623,0.05143492387971133,0.582000165532642,0.05329760888281917,0.6773373537593418,0.01945978330087809,4.0,2.0
ep_75_lr_0p0005_l1_0p0003,75,0.0005,0.0003,retail,0.595454149004832,0.051121252708199366,0.5805004597144541,0.05441369898768709,0.67747935851415,0.022994585265520655,5.0,3.0
ep_50_lr_0p001_l1_0p0003,50,0.001,0.0003,retail,0.595110506393148,0.050424018385353875,0.5800740519228406,0.05434908745311141,0.6790731694963243,0.026663205495935732,6.0,8.0
ep_100_lr_0p0005_l1_0p0003,100,0.0005,0.0003,retail,0.5951087620144085,0.04993309419007142,0.5802390452387604,0.054106266171475785,0.6787813650237189,0.025574305330271076,7.0,7.0
ep_50_lr_0p00075_l1_0p0003,50,0.00075,0.0003,retail,0.5949942144771806,0.0510633505617683,0.57998041522929,0.054064510217258444,0.6777257495456271,0.02343038076109795,8.0,4.0
ep_25_lr_0p002_l1_0p0003,25,0.002,0.0003,retail,0.5943034404963339,0.051651674399542796,0.5786573493211529,0.05521924184759055,0.6800220131874084,0.028698262195885515,9.0,11.0
ep_25_lr_0p0015_l1_0p0003,25,0.0015,0.0003,retail,0.5937324471889336,0.05261564383450534,0.5781474257849757,0.0555160121556569,0.6783675895796881,0.02533879761207908,10.0,6.0
ep_75_lr_0p00075_l1_0p0003,75,0.00075,0.0003,retail,0.5933975264709473,0.04996303297838146,0.5782682511862614,0.05402324979664313,0.6793680866559346,0.027365605636914342,11.0,9.0
ep_75_lr_0p001_l1_0p0003,75,0.001,0.0003,retail,0.5929341031858171,0.04926880492159915,0.5780325734768746,0.05269035465174609,0.6810517562760248,0.02963571542241426,12.0,12.0
ep_50_lr_0p0015_l1_0p0003,50,0.0015,0.0003,retail,0.5925922049528727,0.04918721626998545,0.5774458468176119,0.05322352617277317,0.681455319457584,0.029919146244150655,13.0,14.0
ep_100_lr_0p00075_l1_0p0003,100,0.00075,0.0003,retail,0.5924724242794263,0.04885932274899376,0.5776458260832434,0.05229370384970383,0.6811206592453851,0.028920682520439105,14.0,13.0
ep_75_lr_0p0015_l1_0p0003,75,0.0015,0.0003,retail,0.5906483855774766,0.04805055581536314,0.576156782307092,0.051784124443661476,0.683288033803304,0.03190988727224866,15.0,17.0
ep_100_lr_0p0015_l1_0p0003,100,0.0015,0.0003,retail,0.5903117204807508,0.04646796415234013,0.5759507886038087,0.05035598233661591,0.6848534517818027,0.03261399415791252,16.0,19.0
ep_100_lr_0p001_l1_0p0003,100,0.001,0.0003,retail,0.5900756478913368,0.04846915481452798,0.5754053913222665,0.05265987271893136,0.6827882912423876,0.030677879787708494,17.0,15.0
ep_100_lr_0p002_l1_0p0003,100,0.002,0.0003,retail,0.589863996604276,0.045555996872047644,0.5756821412625313,0.0489806863848356,0.6860462533103096,0.03373442075735147,18.0,20.0
ep_75_lr_0p002_l1_0p0003,75,0.002,0.0003,retail,0.5897459603095692,0.04739055700791693,0.5753938822103744,0.050666891665230765,0.6846505244572957,0.03304577664036781,19.0,18.0
ep_50_lr_0p002_l1_0p0003,50,0.002,0.0003,retail,0.589735494037132,0.048897536351659825,0.5749242260860028,0.0524929657922734,0.6830324305428399,0.03151809207673244,20.0,16.0
