epoch,train_mse,train_rmse,l1_penalty,total_loss
1,0.016184,0.127216,0.0055,0.016211
2,0.016131,0.127009,0.008544,0.016174
3,0.016091,0.12685,0.010604,0.016144
4,0.016057,0.126717,0.012436,0.016119
5,0.016028,0.126603,0.014573,0.016101
6,0.016001,0.126494,0.016522,0.016083
7,0.015975,0.126391,0.018146,0.016066
8,0.015951,0.126296,0.019784,0.016049
9,0.015928,0.126206,0.021087,0.016033
10,0.015907,0.126123,0.022196,0.016018
11,0.015888,0.126047,0.022887,0.016002
12,0.015869,0.125974,0.023524,0.015987
13,0.015853,0.125908,0.024183,0.015974
14,0.015836,0.125843,0.024589,0.015959
15,0.015821,0.125781,0.024844,0.015945
16,0.015806,0.125723,0.025216,0.015932
17,0.015792,0.125668,0.025404,0.015919
18,0.015779,0.125614,0.025726,0.015908
19,0.015766,0.125564,0.025835,0.015896
20,0.015754,0.125516,0.026099,0.015885
21,0.015743,0.125469,0.026303,0.015874
22,0.015732,0.125426,0.026603,0.015865
23,0.015721,0.125385,0.026894,0.015856
24,0.015711,0.125344,0.027188,0.015847
25,0.015701,0.125303,0.027692,0.015839
26,0.015691,0.125262,0.028171,0.015831
27,0.015681,0.125222,0.028605,0.015824
28,0.015671,0.125184,0.029002,0.015816
29,0.015662,0.125146,0.029698,0.01581
30,0.015652,0.12511,0.030261,0.015804
31,0.015643,0.125071,0.0309,0.015797
32,0.015633,0.125032,0.031729,0.015792
33,0.015623,0.124993,0.032537,0.015786
34,0.015614,0.124955,0.033361,0.01578
35,0.015605,0.124918,0.034179,0.015775
36,0.015596,0.124884,0.034899,0.015771
37,0.015588,0.124853,0.03557,0.015766
38,0.015581,0.124823,0.036184,0.015762
39,0.015573,0.124793,0.036839,0.015758
40,0.015567,0.124766,0.037438,0.015754
41,0.01556,0.12474,0.037884,0.01575
42,0.015554,0.124717,0.038568,0.015747
43,0.015549,0.124695,0.039126,0.015744
44,0.015544,0.124674,0.039466,0.015741
45,0.015539,0.124655,0.039926,0.015738
46,0.015534,0.124637,0.040253,0.015736
47,0.015531,0.124622,0.04047,0.015733
48,0.015528,0.12461,0.04089,0.015732
49,0.015525,0.124598,0.041348,0.015731
50,0.015521,0.124583,0.041672,0.015729
51,0.015518,0.12457,0.041858,0.015727
52,0.015515,0.124559,0.042127,0.015725
53,0.015512,0.124548,0.042387,0.015724
54,0.01551,0.124539,0.042574,0.015723
55,0.015508,0.124531,0.042833,0.015722
56,0.015506,0.124522,0.043047,0.015721
57,0.015504,0.124514,0.043224,0.01572
58,0.015502,0.124506,0.04346,0.015719
59,0.0155,0.1245,0.043678,0.015719
60,0.015499,0.124494,0.043785,0.015718
61,0.015498,0.124489,0.043936,0.015717
62,0.015496,0.124482,0.044357,0.015717
63,0.015494,0.124474,0.044686,0.015717
64,0.015492,0.124468,0.044926,0.015717
65,0.015491,0.124463,0.045308,0.015718
66,0.015489,0.124455,0.045571,0.015717
67,0.015487,0.124447,0.045796,0.015716
68,0.015485,0.12444,0.046081,0.015716
69,0.015484,0.124435,0.046386,0.015716
70,0.015483,0.12443,0.046544,0.015716
71,0.015482,0.124426,0.046611,0.015715
72,0.015481,0.124423,0.046665,0.015714
73,0.015481,0.124421,0.04672,0.015714
74,0.01548,0.12442,0.046714,0.015714
75,0.015481,0.124421,0.046632,0.015714
