split,investor,coefficient,exact_lasso,adam,abs_diff
0,foreign,momentum,0.038842588917707685,0.0398784577846527,0.001035868866945018
0,foreign,persist,0.07314111675920551,0.0663059502840042,0.0068351664752013125
0,foreign,underwater,0.0089817783791527,0.0163235459476709,0.007341767568518199
0,foreign,momentumxkospi_return_1d,-0.005717343044194535,-0.0086960643529891,0.0029787213087945647
0,foreign,momentumxfx_level_z_252,-0.0025707103191062158,-0.0019242000998929,0.0006465102192133158
0,foreign,persistxkospi_return_1d,0.00848846605351525,0.0104847829788923,0.0019963169253770507
0,foreign,persistxfx_level_z_252,-0.007301126392142067,0.0008847170975059,0.008185843489647966
0,foreign,underwaterxkospi_return_1d,0.0,-0.0018584314966574,0.0018584314966574
0,foreign,underwaterxfx_level_z_252,-0.007189367328345503,-0.0067620580084621,0.0004273093198834026
0,foreign,kospi_return_1d,0.001141179440932636,-0.000637758988887,0.0017789384298196361
0,foreign,fx_level_z_252,-0.017962081464839803,-0.0239553805440664,0.005993299079226598
0,institution,momentum,-0.0024085561418954373,-0.0024162025656551,7.646423759662818e-06
0,institution,persist,0.02071601650800618,0.0210726056247949,0.00035658911678872196
0,institution,underwater,-0.0024978419371130805,-0.0026354633737355,0.0001376214366224193
0,institution,momentumxkospi_return_1d,-0.003004239126711634,-0.0029548944439738,4.934468273783393e-05
0,institution,momentumxfx_level_z_252,-0.0,-0.0001660058915149,0.0001660058915149
0,institution,persistxkospi_return_1d,-0.0,-5.202852480579168e-05,5.202852480579168e-05
0,institution,persistxfx_level_z_252,-0.0,-0.0001669521443545,0.0001669521443545
0,institution,underwaterxkospi_return_1d,0.0021822666300270357,0.0023391423746943,0.00015687574466726438
0,institution,underwaterxfx_level_z_252,0.00013345840759613518,0.0001264722086489,6.986198947235182e-06
0,institution,kospi_return_1d,-0.01076663183971072,-0.0109210507944226,0.00015441895471188065
0,institution,fx_level_z_252,0.0,0.0003754514327738,0.0003754514327738
0,retail,momentum,-0.017381162122357036,-0.017293531447649,8.76306747080377e-05
0,retail,persist,0.08868156349343484,0.0883242040872573,0.0003573594061775376
0,retail,underwater,0.03488906435638292,0.034514632076025,0.00037443228035791837
0,retail,momentumxkospi_return_1d,0.0018318343375314501,0.0018198966281488,1.193770938265012e-05
0,retail,momentumxfx_level_z_252,0.007201574917895295,0.0074662757106125,0.0002647007927172049
0,retail,persistxkospi_return_1d,0.002880264339521973,0.0020823399536311,0.0007979243858908728
0,retail,persistxfx_level_z_252,-8.55627917592755e-05,-0.0002755098394118,0.0001899470476525245
0,retail,underwaterxkospi_return_1d,-0.0,-0.0003386341268196,0.0003386341268196
0,retail,underwaterxfx_level_z_252,-0.026071151307160822,-0.0259075835347175,0.000163567772443321
0,retail,kospi_return_1d,0.015857832378301476,0.0168637279421091,0.0010058955638076253
0,retail,fx_level_z_252,0.01771852866534236,0.0197451673448085,0.0020266386794661403
1,foreign,momentum,0.04176548070912069,0.0417845174670219,1.9036757901207124e-05
1,foreign,persist,0.07102223453060535,0.0709863752126693,3.585931793605168e-05
1,foreign,underwater,0.010384227865563098,0.0103925289586186,8.301093055501294e-06
1,foreign,momentumxkospi_return_1d,-0.009959365635347732,-0.0099619589745998,2.5933392520677973e-06
1,foreign,momentumxfx_level_z_252,-0.005803250103194095,-0.0054499129764735,0.0003533371267205954
1,foreign,persistxkospi_return_1d,0.002523536426450747,0.0023385398089885,0.0001849966174622469
1,foreign,persistxfx_level_z_252,-0.0030398786800317303,-0.003095707623288,5.582894325626949e-05
1,foreign,underwaterxkospi_return_1d,-0.0021030132983516523,-0.0021166107617318,1.3597463380147796e-05
1,foreign,underwaterxfx_level_z_252,-0.011806338923233257,-0.0117294425144791,7.689640875415717e-05
1,foreign,kospi_return_1d,0.0061305101554241185,0.0063728089444339,0.0002422987890097813
1,foreign,fx_level_z_252,-0.014376372827205405,-0.0141321439296007,0.00024422889760470495
