experiment,epochs,batch_size,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,12,institution,765,194,0.6904813521048602,0.6185567010309279,0.6104417670682731,0.6870260238647461
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,12,retail,765,194,0.6771512004285077,0.520618556701031,0.5111496464085404,0.6976087093353271
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,13,foreign,765,194,0.6763557232283299,0.6597938144329897,0.6490131578947369,0.665242075920105
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,13,institution,765,194,0.6888634748708189,0.5515463917525774,0.5364587624618934,0.693464457988739
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,13,retail,765,194,0.6815457944776497,0.6237113402061856,0.6110516052841175,0.6771529912948608
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,14,foreign,765,194,0.6727935589216893,0.634020618556701,0.6267916655377028,0.6811273097991943
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,14,institution,765,194,0.6889486478045096,0.5515463917525774,0.5462293318994489,0.6950242519378662
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,14,retail,765,194,0.6778702543451895,0.5979381443298969,0.5818965517241379,0.6939228773117065
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,15,foreign,765,194,0.6727468822516647,0.5979381443298969,0.5951845906902087,0.6806926727294922
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,15,institution,765,194,0.6893918645927329,0.5463917525773195,0.5320175438596492,0.6918800473213196
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,15,retail,765,194,0.6779298451211717,0.5463917525773195,0.5432851792402354,0.6928578615188599
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,16,foreign,768,197,0.6697477698326111,0.5786802030456852,0.5758825512930252,0.690562903881073
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,16,institution,768,197,0.6893712282180786,0.5431472081218274,0.5404831018038565,0.6891605257987976
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,16,retail,768,197,0.6768925786018372,0.5380710659898477,0.5376421736775592,0.696302056312561
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,17,foreign,772,194,0.6727168124574454,0.6597938144329897,0.6121410396219557,0.6850261688232422
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,17,institution,772,194,0.6891332101945432,0.5463917525773195,0.5463435374149659,0.6907370686531067
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,17,retail,772,194,0.6816327253771569,0.6082474226804123,0.5753456221198157,0.6834089756011963
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,18,foreign,765,194,0.6736663205950868,0.6597938144329897,0.6525561706284598,0.6765264868736267
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,18,institution,765,194,0.6898304683710236,0.5154639175257731,0.5121455323702515,0.6911468505859375
