experiment,epochs,batch_size,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_35_bs_2048_lr_0p001_l1_0p01,35,2048,0.001,0.01,institution,0.5390700135480082,0.036466433479140935,0.5277142940183203,0.03552246811605874,0.6935171710120307,0.0066827211318895375,21.0,23.0
ep_25_bs_2048_lr_0p00125_l1_0p01,25,2048,0.00125,0.01,institution,0.5389746541769148,0.040191314900061004,0.5282434572166719,0.039204700788196024,0.6932240353690253,0.006330824209260762,22.0,22.0
ep_30_bs_2048_lr_0p001_l1_0p01,30,2048,0.001,0.01,institution,0.5388618510184264,0.04013544412401913,0.5280750458720169,0.039213619206533684,0.6930693083339268,0.00599109675896736,23.0,21.0
ep_30_bs_2048_lr_0p00125_l1_0p01,30,2048,0.00125,0.01,institution,0.5388391740948127,0.03690142132580289,0.5274575501417034,0.03561907757429491,0.6938182579146491,0.007183503845347392,24.0,24.0
ep_35_bs_2048_lr_0p00125_l1_0p01,35,2048,0.00125,0.01,institution,0.5381675882801007,0.03584982128482862,0.5267491295134809,0.034235502578770005,0.694404669602712,0.007899224764542856,25.0,25.0
ep_30_bs_2048_lr_0p00125_l1_0p01,30,2048,0.00125,0.01,retail,0.5985608875399027,0.05051026592451662,0.5850712675371486,0.05290696430109574,0.6791753729184469,0.012853258882181797,1.0,2.0
ep_30_bs_2048_lr_0p001_l1_0p01,30,2048,0.001,0.01,retail,0.5985591431611631,0.049126996468926855,0.5851004498542909,0.05157663807882013,0.6807183278931512,0.010291444671169497,2.0,5.0
ep_25_bs_2048_lr_0p00125_l1_0p01,25,2048,0.00125,0.01,retail,0.5979881498537629,0.04897072677878186,0.5845087230523105,0.05130465966835406,0.6804861770735846,0.010872476886190276,3.0,4.0
ep_35_bs_2048_lr_0p001_l1_0p01,35,2048,0.001,0.01,retail,0.5976445072420791,0.050043789587214435,0.5843122772690721,0.05210061693444912,0.6796016467942132,0.011887774394776467,4.0,3.0
ep_35_bs_2048_lr_0p00075_l1_0p01,35,2048,0.00075,0.01,retail,0.5971915502293857,0.048440495025880034,0.5840201738311721,0.050688517335608446,0.6816424462530348,0.0089178816456381,5.0,6.0
ep_25_bs_2048_lr_0p001_l1_0p01,25,2048,0.001,0.01,retail,0.5969641995336694,0.04900273807584956,0.5844461797318955,0.051109252438583,0.6820045908292135,0.008632188317814947,6.0,7.0
ep_35_bs_2048_lr_0p00125_l1_0p01,35,2048,0.00125,0.01,retail,0.5969572220187114,0.05057075745826347,0.5830235264351067,0.05268212402106494,0.6781584620475769,0.01457769899240816,7.0,1.0
ep_30_bs_2048_lr_0p00075_l1_0p01,30,2048,0.00075,0.01,retail,0.5961641111518132,0.04989531955607658,0.5836315433293483,0.05185829141170332,0.6827247632874383,0.007680846503502092,8.0,9.0
ep_20_bs_2048_lr_0p00125_l1_0p01,20,2048,0.00125,0.01,retail,0.5960530523720643,0.049351393264693975,0.5836435411387166,0.05131553373949933,0.6820390144983928,0.00870918206343046,9.0,8.0
ep_25_bs_2048_lr_0p00075_l1_0p01,25,2048,0.00075,0.01,retail,0.5960460748571063,0.050307573666659375,0.5839023085700238,0.05243678934348849,0.6838912063174778,0.006374041605460143,10.0,12.0
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,retail,0.5959367604560969,0.04989056636668244,0.5838199411605853,0.05193250998148851,0.6843490189976162,0.005892588486949891,11.0,13.0
ep_20_bs_2048_lr_0p001_l1_0p01,20,2048,0.001,0.01,retail,0.5958204685401294,0.04959670212104568,0.5836874029740143,0.05183425256083811,0.6834903107749091,0.0068507368502244165,12.0,10.0
ep_15_bs_2048_lr_0p00125_l1_0p01,15,2048,0.00125,0.01,retail,0.5952442420965107,0.048401328024894406,0.5834247187489411,0.04988693745190638,0.6838874551984999,0.006396617541016115,13.0,11.0
ep_20_bs_2048_lr_0p00075_l1_0p01,20,2048,0.00075,0.01,retail,0.5951296945592827,0.04890793185973084,0.5837233619165191,0.04997330056164444,0.6852187169922723,0.005083159638090666,14.0,15.0
ep_30_bs_2048_lr_0p0005_l1_0p01,30,2048,0.0005,0.01,retail,0.594553468115664,0.048741492567794475,0.5828529055745912,0.04990862181727513,0.6852637992964851,0.005042580293634549,15.0,16.0
ep_15_bs_2048_lr_0p001_l1_0p01,15,2048,0.001,0.01,retail,0.5938731604072542,0.04862800658162471,0.5825469263745162,0.04941446804983528,0.6852006196975708,0.005116934497801762,16.0,14.0
ep_25_bs_2048_lr_0p0005_l1_0p01,25,2048,0.0005,0.01,retail,0.5933021670998541,0.04928309847453673,0.5821410465485284,0.04993685397694276,0.6862355589866638,0.004240636828523025,17.0,17.0
ep_30_bs_2048_lr_0p0003_l1_0p01,30,2048,0.0003,0.01,retail,0.5916985015786628,0.04811473211806899,0.5808957162195827,0.04838137905554225,0.6878134939405653,0.00309440331948318,18.0,21.0
ep_25_bs_2048_lr_0p0003_l1_0p01,25,2048,0.0003,0.01,retail,0.5916967571999232,0.04791750287690238,0.5810168727421761,0.04837358692097903,0.6885509027375115,0.002612565557254651,19.0,23.0
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,retail,0.5914659177467279,0.04684385822106609,0.5813644365998395,0.047273182137043894,0.6901966571807862,0.0016245473874843298,20.0,25.0
ep_35_bs_2048_lr_0p0003_l1_0p01,35,2048,0.0003,0.01,retail,0.5913600921031974,0.04804127274281803,0.5802659320768743,0.04858789721133893,0.6871310234069824,0.0035655106605795334,21.0,19.0
ep_15_bs_2048_lr_0p0005_l1_0p01,15,2048,0.0005,0.01,retail,0.5913548589669789,0.04797774774795933,0.5808145019140492,0.04826853864756139,0.6885245468881395,0.0026341933072824347,22.0,22.0
ep_20_bs_2048_lr_0p0003_l1_0p01,20,2048,0.0003,0.01,retail,0.5913513702094999,0.047505869656343465,0.5809753316074262,0.04789871418651225,0.6893429411782159,0.002122164065112476,23.0,24.0
ep_20_bs_2048_lr_0p0005_l1_0p01,20,2048,0.0005,0.01,retail,0.591240311429751,0.04758210106801384,0.580391770776565,0.04820715956035637,0.6873150507609049,0.0034305274350127347,24.0,20.0
ep_15_bs_2048_lr_0p00075_l1_0p01,15,2048,0.00075,0.01,retail,0.5906710625010902,0.04759332843156962,0.5797338900345314,0.04785228264519525,0.6867317133479648,0.003866323427760336,25.0,18.0
