epoch,train_mse,train_rmse,l1_penalty,total_loss
1,0.109526,0.330947,0.018713,0.10962
2,0.107829,0.328373,0.036254,0.10801
3,0.106387,0.32617,0.053846,0.106656
4,0.104981,0.324008,0.070959,0.105336
5,0.103844,0.322248,0.086608,0.104277
6,0.102708,0.32048,0.101663,0.103216
7,0.10184,0.319124,0.116088,0.102421
8,0.10102,0.317837,0.129609,0.101668
9,0.100354,0.316786,0.142717,0.101067
10,0.099752,0.315835,0.154557,0.100525
11,0.099308,0.315132,0.165618,0.100136
12,0.098901,0.314485,0.175194,0.099777
13,0.098593,0.313996,0.183164,0.099509
14,0.098262,0.313467,0.189724,0.09921
15,0.098075,0.313169,0.195699,0.099053
16,0.097877,0.312852,0.200667,0.09888
17,0.097682,0.312541,0.204529,0.098704
18,0.097565,0.312354,0.207938,0.098605
19,0.097422,0.312125,0.210149,0.098473
20,0.097312,0.311949,0.211726,0.098371
21,0.097205,0.311777,0.212443,0.098267
22,0.097109,0.311623,0.212733,0.098172
23,0.097011,0.311465,0.212338,0.098072
24,0.096929,0.311334,0.211413,0.097986
25,0.096843,0.311196,0.210339,0.097895
26,0.096751,0.311048,0.209019,0.097796
27,0.096689,0.310948,0.20756,0.097726
28,0.096611,0.310823,0.207289,0.097647
29,0.096543,0.310714,0.206887,0.097578
30,0.096496,0.310639,0.206756,0.09753
31,0.096417,0.310511,0.206486,0.09745
32,0.096369,0.310433,0.205872,0.097398
33,0.096304,0.310329,0.204875,0.097329
34,0.096257,0.310252,0.203781,0.097275
35,0.096202,0.310164,0.202418,0.097214
36,0.096155,0.310089,0.201341,0.097162
37,0.096098,0.309998,0.200528,0.097101
38,0.096043,0.309909,0.199973,0.097043
39,0.096016,0.309865,0.199225,0.097012
40,0.095956,0.309768,0.198681,0.09695
41,0.095912,0.309697,0.198125,0.096903
42,0.095882,0.309649,0.196835,0.096867
43,0.095832,0.309568,0.195891,0.096812
44,0.095802,0.309519,0.195974,0.096782
45,0.095763,0.309456,0.196706,0.096747
46,0.095731,0.309405,0.197091,0.096717
47,0.095707,0.309365,0.1971,0.096692
48,0.095672,0.309308,0.197113,0.096657
49,0.095647,0.309269,0.197134,0.096633
50,0.095619,0.309224,0.196881,0.096604
51,0.095608,0.309205,0.196893,0.096592
52,0.095568,0.309141,0.196637,0.096552
53,0.095554,0.309119,0.196567,0.096537
54,0.095528,0.309075,0.195748,0.096506
55,0.095516,0.309057,0.195109,0.096492
56,0.095493,0.309019,0.194705,0.096466
57,0.095475,0.30899,0.194505,0.096447
58,0.095464,0.308972,0.193915,0.096433
59,0.09546,0.308966,0.193762,0.096429
60,0.095434,0.308925,0.193618,0.096403
61,0.095425,0.30891,0.193225,0.096392
62,0.095411,0.308887,0.193269,0.096377
63,0.095402,0.308872,0.193023,0.096367
64,0.095396,0.308863,0.193183,0.096362
65,0.09539,0.308853,0.194011,0.09636
66,0.095367,0.308816,0.195246,0.096343
67,0.095355,0.308795,0.196531,0.096337
68,0.095333,0.30876,0.197559,0.096321
69,0.095325,0.308748,0.19872,0.096319
70,0.095304,0.308714,0.199687,0.096303
71,0.095294,0.308697,0.200656,0.096297
72,0.095282,0.308678,0.201114,0.096287
73,0.095273,0.308664,0.201163,0.096279
74,0.095265,0.308651,0.202315,0.096277
75,0.095257,0.308637,0.202904,0.096271
76,0.095244,0.308616,0.203933,0.096263
77,0.095235,0.308602,0.20516,0.096261
78,0.095227,0.308588,0.205701,0.096255
79,0.095218,0.308575,0.206486,0.096251
80,0.095204,0.308551,0.206693,0.096237
81,0.095195,0.308537,0.206508,0.096228
82,0.095193,0.308533,0.206389,0.096225
83,0.0952,0.308545,0.206176,0.096231
84,0.095196,0.308538,0.205072,0.096221
85,0.095194,0.308535,0.204679,0.096217
86,0.095185,0.30852,0.204713,0.096208
87,0.095183,0.308518,0.204501,0.096206
88,0.095184,0.30852,0.204309,0.096206
89,0.095197,0.308539,0.20346,0.096214
90,0.09518,0.308513,0.203754,0.096199
91,0.095174,0.308503,0.204687,0.096198
92,0.095165,0.308489,0.205678,0.096194
93,0.095161,0.308482,0.206256,0.096192
94,0.095153,0.30847,0.205982,0.096183
95,0.095162,0.308484,0.205377,0.096189
96,0.095155,0.308472,0.204845,0.096179
97,0.09516,0.30848,0.204549,0.096183
98,0.095164,0.308486,0.204995,0.096189
99,0.09515,0.308463,0.205028,0.096175
100,0.095149,0.308463,0.205479,0.096177
101,0.095144,0.308454,0.206111,0.096175
102,0.095139,0.308446,0.206941,0.096174
103,0.095144,0.308454,0.207647,0.096182
104,0.095135,0.30844,0.208111,0.096176
105,0.095131,0.308433,0.208816,0.096175
106,0.095133,0.308436,0.20957,0.09618
107,0.095132,0.308434,0.210459,0.096184
108,0.095115,0.308407,0.210376,0.096167
109,0.095118,0.308413,0.210179,0.096169
110,0.095121,0.308417,0.21009,0.096172
111,0.095114,0.308405,0.209315,0.09616
112,0.095122,0.308419,0.208437,0.096165
113,0.095128,0.308428,0.2079,0.096168
114,0.095132,0.308434,0.207304,0.096168
115,0.095131,0.308433,0.207602,0.096169
116,0.095127,0.308426,0.207924,0.096166
117,0.095116,0.30841,0.208498,0.096159
118,0.09512,0.308415,0.209301,0.096166
119,0.095115,0.308407,0.209939,0.096164
120,0.095114,0.308406,0.211152,0.09617
121,0.09511,0.3084,0.211623,0.096169
122,0.095113,0.308405,0.211329,0.09617
123,0.095113,0.308404,0.210626,0.096166
124,0.095117,0.308411,0.210109,0.096168
125,0.095106,0.308393,0.21014,0.096157
126,0.095105,0.30839,0.209735,0.096153
127,0.095115,0.308407,0.20917,0.096161
128,0.095109,0.308397,0.209335,0.096156
129,0.09511,0.308399,0.209293,0.096157
130,0.095104,0.30839,0.209367,0.096151
131,0.095105,0.308392,0.209772,0.096154
132,0.095102,0.308386,0.209849,0.096151
133,0.095109,0.308397,0.209953,0.096159
134,0.0951,0.308382,0.209949,0.096149
135,0.095097,0.308378,0.210324,0.096148
136,0.095098,0.308379,0.210551,0.09615
137,0.095095,0.308374,0.21162,0.096153
138,0.095087,0.308362,0.212028,0.096148
139,0.095087,0.308361,0.212874,0.096151
140,0.095082,0.308353,0.213906,0.096151
