investor,context,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
foreign,kospi_return_1d,0.006309905282210417,0.005897378120072718,0.8888888888888888,0.1111111111111111,positive,0.8888888888888888
foreign,fx_level_z_252,-0.020998354773554537,0.00882977615348424,0.0,1.0,negative,1.0
institution,kospi_return_1d,-0.016539059641460577,0.0028583666563457904,0.0,1.0,negative,1.0
institution,fx_level_z_252,-0.0035758864163653926,0.0023631331536742226,0.022222222222222223,0.9777777777777777,negative,0.9777777777777777
retail,kospi_return_1d,0.028860041002432505,0.008177245700754527,1.0,0.0,positive,1.0
retail,fx_level_z_252,0.030464153095251984,0.0098894253302961,1.0,0.0,positive,1.0
