split,investor,feature,weight
19,foreign,momentum,0.03698096051812172
19,foreign,persist,0.08244172483682632
19,foreign,underwater,0.01136686559766531
19,institution,momentum,3.637145346147008e-05
19,institution,persist,0.02499043010175228
19,institution,underwater,5.914333451073617e-05
19,retail,momentum,-0.028720572590827942
19,retail,persist,0.1255890280008316
19,retail,underwater,0.01788218319416046
20,foreign,momentum,0.024187183007597923
20,foreign,persist,0.07652216404676437
20,foreign,underwater,0.011713806539773941
20,institution,momentum,2.2376443666871637e-06
20,institution,persist,0.02594076469540596
20,institution,underwater,1.7871076124720275e-05
20,retail,momentum,-0.017524532973766327
20,retail,persist,0.11865825951099396
20,retail,underwater,-0.0002126839681295678
21,foreign,momentum,0.04024748504161835
21,foreign,persist,0.08486590534448624
21,foreign,underwater,0.012471532449126244
21,institution,momentum,3.6630888644140214e-05
21,institution,persist,0.024763524532318115
21,institution,underwater,-0.00016408068768214434
21,retail,momentum,-0.026992008090019226
21,retail,persist,0.1177525669336319
21,retail,underwater,0.020403500646352768
22,foreign,momentum,0.04342484846711159
22,foreign,persist,0.08244499564170837
22,foreign,underwater,0.015276867896318436
22,institution,momentum,-4.211103805573657e-05
22,institution,persist,0.02621256560087204
22,institution,underwater,-3.2998883398249745e-05
22,retail,momentum,-0.030950644984841347
22,retail,persist,0.1135789081454277
22,retail,underwater,0.018547650426626205
23,foreign,momentum,0.04486146569252014
23,foreign,persist,0.08329595625400543
23,foreign,underwater,0.012063461355865002
23,institution,momentum,-0.005373381078243256
23,institution,persist,0.02243073284626007
23,institution,underwater,-0.0002658441080711782
23,retail,momentum,-0.027478963136672974
23,retail,persist,0.11266928166151047
23,retail,underwater,0.012808658182621002
24,foreign,momentum,0.05111817270517349
24,foreign,persist,0.09242163598537445
24,foreign,underwater,0.018977072089910507
24,institution,momentum,-4.929894566885196e-05
24,institution,persist,0.021162834018468857
24,institution,underwater,2.238236993434839e-05
24,retail,momentum,-0.03955649584531784
24,retail,persist,0.10373887419700623
24,retail,underwater,0.003789552254602313
25,foreign,momentum,0.03758462145924568
25,foreign,persist,0.07926978170871735
25,foreign,underwater,0.013096238486468792
25,institution,momentum,7.208280294435099e-06
25,institution,persist,0.024413207545876503
25,institution,underwater,-6.358930841088295e-05
25,retail,momentum,-0.03420453891158104
25,retail,persist,0.11704827100038528
25,retail,underwater,0.011436158791184425
26,foreign,momentum,0.02713165245950222
26,foreign,persist,0.07570893317461014
26,foreign,underwater,0.010147922672331333
26,institution,momentum,-5.720198532799259e-05
26,institution,persist,0.025433316826820374
26,institution,underwater,7.009106047917157e-05
26,retail,momentum,-0.023030221462249756
26,retail,persist,0.11104650795459747
26,retail,underwater,-0.011990813538432121
27,foreign,momentum,0.04041698947548866
27,foreign,persist,0.0834779292345047
27,foreign,underwater,0.012144760228693485
27,institution,momentum,-8.282081398647279e-05
27,institution,persist,0.024217676371335983
27,institution,underwater,-6.568625394720584e-05
27,retail,momentum,-0.03267759457230568
27,retail,persist,0.1099405363202095
27,retail,underwater,0.014595995657145977
28,foreign,momentum,0.04321977496147156
28,foreign,persist,0.08138292282819748
28,foreign,underwater,0.015420918352901936
28,institution,momentum,5.320089258020744e-05
28,institution,persist,0.0257536843419075
28,institution,underwater,-0.0003011882654391229
28,retail,momentum,-0.03556113317608833
28,retail,persist,0.10436275601387024
28,retail,underwater,0.012833782471716404
29,foreign,momentum,0.041875895112752914
29,foreign,persist,0.08195082098245621
29,foreign,underwater,0.011424989439547062
29,institution,momentum,-0.004264685325324535
29,institution,persist,0.021789729595184326
29,institution,underwater,-9.971648978535086e-05
29,retail,momentum,-0.030591174960136414
29,retail,persist,0.10220234096050262
29,retail,underwater,0.009651631116867065
30,foreign,momentum,0.04465943202376366
30,foreign,persist,0.0862838476896286
30,foreign,underwater,0.004369938746094704
30,institution,momentum,-7.010795525275171e-05
30,institution,persist,0.020918913185596466
30,institution,underwater,-9.211659198626876e-05
30,retail,momentum,-0.0350511334836483
30,retail,persist,0.11346366256475449
30,retail,underwater,0.02017596736550331
31,foreign,momentum,0.026195501908659935
31,foreign,persist,0.08156111091375351
31,foreign,underwater,0.012455316260457039
31,institution,momentum,1.2621925634448417e-05
31,institution,persist,0.021895628422498703
31,institution,underwater,2.3228780264616944e-05
31,retail,momentum,-0.022682135924696922
31,retail,persist,0.108510322868824
31,retail,underwater,-0.0008648481452837586
32,foreign,momentum,0.0400385744869709
32,foreign,persist,0.08977676182985306
32,foreign,underwater,0.013007464818656445
32,institution,momentum,8.180543954949826e-05
32,institution,persist,0.02014358900487423
32,institution,underwater,-0.00015143974451348186
32,retail,momentum,-0.032434627413749695
32,retail,persist,0.10657791793346405
32,retail,underwater,0.022432852536439896
33,foreign,momentum,0.044649966061115265
33,foreign,persist,0.08735427260398865
33,foreign,underwater,0.015644865110516548
33,institution,momentum,9.967935329768807e-05
33,institution,persist,0.022768743336200714
33,institution,underwater,-0.00011606208136072382
33,retail,momentum,-0.03595252335071564
33,retail,persist,0.10304556787014008
33,retail,underwater,0.01842113956809044
34,foreign,momentum,0.0440533347427845
34,foreign,persist,0.08850036561489105
34,foreign,underwater,0.012503696605563164
34,institution,momentum,-0.005587574560195208
34,institution,persist,0.01657840795814991
34,institution,underwater,-0.0007622811244800687
34,retail,momentum,-0.032691724598407745
34,retail,persist,0.10044661909341812
34,retail,underwater,0.01633858121931553
35,foreign,momentum,0.01455473992973566
35,foreign,persist,0.08145786076784134
35,foreign,underwater,0.005303888116031885
35,institution,momentum,0.0008868721779435873
35,institution,persist,0.02530139498412609
35,institution,underwater,4.037336111650802e-06
35,retail,momentum,-0.024760421365499496
35,retail,persist,0.11613193899393082
35,retail,underwater,0.00017610954819247127
36,foreign,momentum,0.035985007882118225
36,foreign,persist,0.08418335020542145
36,foreign,underwater,0.007050757762044668
36,institution,momentum,0.0006979551399126649
36,institution,persist,0.024183718487620354
36,institution,underwater,7.787192589603364e-05
36,retail,momentum,-0.03280509263277054
36,retail,persist,0.11349744349718094
36,retail,underwater,0.027265453711152077
37,foreign,momentum,0.040215689688920975
37,foreign,persist,0.08094384521245956
37,foreign,underwater,0.011948634870350361
37,institution,momentum,0.001251217327080667
37,institution,persist,0.025979993864893913
37,institution,underwater,-0.00011502105189720169
37,retail,momentum,-0.03691941499710083
37,retail,persist,0.10998567193746567
37,retail,underwater,0.02410179004073143
38,foreign,momentum,0.04013347253203392
38,foreign,persist,0.08230713754892349
38,foreign,underwater,0.0076191844418644905
38,institution,momentum,-0.0004977082135155797
38,institution,persist,0.022223209962248802
38,institution,underwater,-0.00018589015235193074
38,retail,momentum,-0.03543836995959282
38,retail,persist,0.10953327268362045
38,retail,underwater,0.018728546798229218
39,foreign,momentum,0.019199809059500694
39,foreign,persist,0.07893434911966324
39,foreign,underwater,0.01075117290019989
39,institution,momentum,1.4618621207773685e-05
39,institution,persist,0.025370851159095764
39,institution,underwater,3.5720917367143556e-05
39,retail,momentum,-0.023919522762298584
39,retail,persist,0.11371751874685287
39,retail,underwater,-5.6644035794306546e-05
40,foreign,momentum,0.027595587074756622
40,foreign,persist,0.073245108127594
40,foreign,underwater,0.008870646357536316
40,institution,momentum,0.00028864818159490824
40,institution,persist,0.027028042823076248
40,institution,underwater,3.104946517851204e-05
40,retail,momentum,-0.02677602879703045
40,retail,persist,0.10379152745008469
40,retail,underwater,0.00024027892504818738
41,foreign,momentum,0.028965163975954056
41,foreign,persist,0.07833587378263474
41,foreign,underwater,0.008492063730955124
41,institution,momentum,-0.0024111331440508366
41,institution,persist,0.022994128987193108
41,institution,underwater,-7.40697723813355e-05
41,retail,momentum,-0.02622503601014614
41,retail,persist,0.10592859238386154
41,retail,underwater,-7.012747664703056e-05
42,foreign,momentum,0.04297623783349991
42,foreign,persist,0.08804777264595032
42,foreign,underwater,0.0147376898676157
42,institution,momentum,3.4724653232842684e-05
42,institution,persist,0.025909382849931717
42,institution,underwater,-5.811067239847034e-06
42,retail,momentum,-0.035170603543519974
42,retail,persist,0.10232345014810562
42,retail,underwater,0.025312645360827446
43,foreign,momentum,0.04647064581513405
43,foreign,persist,0.083001047372818
43,foreign,underwater,0.009789117611944675
43,institution,momentum,-0.0036566576454788446
43,institution,persist,0.02122265286743641
43,institution,underwater,-0.00022178798099048436
43,retail,momentum,-0.03328113257884979
43,retail,persist,0.10112352669239044
43,retail,underwater,0.02342771738767624
44,foreign,momentum,0.045311957597732544
44,foreign,persist,0.07893245667219162
44,foreign,underwater,0.003925717901438475
44,institution,momentum,-0.0030656582675874233
44,institution,persist,0.02390960417687893
44,institution,underwater,-0.00011338057811371982
44,retail,momentum,-0.038060262799263
44,retail,persist,0.09555996209383011
44,retail,underwater,0.01875721476972103
