split,investor,train_size,test_size,train_mse,train_rmse,mae,rmse,mse,direction_accuracy,correlation,saturation_rate,actual_mean,predicted_mean
10,institution,765,194,0.0162502508610487,0.1274764717940087,0.08021758237347179,0.10439969965068274,0.010899297287152766,0.5721649484536082,0.2758131010930997,0.0,-0.023806832187698634,-0.002677439302734109
10,retail,765,194,0.09126065843829921,0.30209379079732707,0.2675096266158885,0.3185945667154606,0.10150249794061209,0.6030927835051546,0.4277101197024606,0.0,-0.042282160229923337,-0.032476157650889195
11,foreign,765,194,0.05616210821796866,0.23698545992944095,0.163386514242692,0.20662069602199062,0.04269211202461185,0.6237113402061856,0.4453567953174801,0.0,-0.011921175015925552,-0.024721475740529828
11,institution,765,194,0.015378523617982864,0.1240101754614631,0.08864035587259761,0.11917749137059488,0.01420327444938822,0.6288659793814433,0.39673658619266855,0.0,-0.014270884799470971,-0.0012572165176550829
11,retail,765,194,0.09370393373218237,0.3061109827042839,0.25788514437297955,0.3087780428959438,0.0953438797746493,0.6391752577319587,0.42526461439823093,0.0,0.017979733305071126,0.0038932424216271983
12,foreign,765,194,0.05365513162870033,0.23163577363762344,0.18495534017197363,0.22812843088749374,0.052042580979190005,0.6288659793814433,0.4527400635259381,0.0,-0.006982589903497317,-0.03609102024677565
12,institution,765,194,0.015376102179288864,0.12400041201257705,0.08565089569220646,0.11799203741422583,0.013922120893160068,0.6030927835051546,0.21280871795095171,0.0,-0.03260373496078435,-0.0048404273357405565
12,retail,765,194,0.09572798499679254,0.3093993939825877,0.24050528033919746,0.294470541586383,0.08671289986217771,0.5618556701030928,0.23721640028767405,0.0,0.06394605593246974,0.03544780331514968
13,foreign,765,194,0.05136864348953846,0.22664651660578958,0.20661055807000386,0.2543884872236958,0.06471350243196043,0.6237113402061856,0.3482560634308627,0.0,-0.07001239699325806,-0.08079492618550652
13,institution,765,194,0.014906151220202446,0.12209074993709575,0.09098165894551899,0.1280910977421246,0.01640732932078252,0.6185567010309279,0.21462825557791784,0.0,-0.026954196584464973,-0.001970050917979157
13,retail,765,194,0.0995696380442264,0.3155465703255645,0.22800134172778308,0.27785031307038816,0.07720079647331272,0.6649484536082474,0.3404298245655278,0.0,0.10557500446772146,0.07806849181556057
14,foreign,765,194,0.05509767455894963,0.23472893847787415,0.17292150432402514,0.21572295500990854,0.04653639331820702,0.6804123711340206,0.30215951494287796,0.0,-0.10376181452232502,-0.09687959928468791
14,institution,765,194,0.015960410237312317,0.12633451720457206,0.08260890905047436,0.10962705892355765,0.01201809204822918,0.6237113402061856,0.2049733862575443,0.0,-0.019140892062178987,-0.009630923715993743
14,retail,765,194,0.10138405095907597,0.3184086226204874,0.20573455951723857,0.2564787107993843,0.06578132909331419,0.6391752577319587,0.2751902651952826,0.0,0.09672785420258789,0.09716165211704589
15,foreign,765,194,0.05341205846737413,0.2311104897389431,0.19033424368914434,0.22995147282796657,0.05287767985575105,0.6237113402061856,0.3849476976618765,0.0,-0.03913102391923474,-0.034540334946869575
15,institution,765,194,0.01614898070693016,0.127078639853164,0.08389688545919609,0.10701779934254202,0.011452809376120586,0.5927835051546392,0.2303654940815627,0.0,-0.022540089366453478,-0.0037723744867763183
15,retail,765,194,0.09207895603639628,0.3034451450203089,0.2634439971850052,0.3195017278705676,0.10208135411227823,0.6391752577319587,0.3382407190309701,0.0,0.06203800116031978,0.012522392704622033
16,foreign,768,197,0.051806160559256874,0.22760966710413877,0.20026023421814898,0.24742461175969718,0.061218938504436875,0.5888324873096447,0.33638200650663613,0.0,-0.012392951798089602,0.0036202368662139484
16,institution,768,197,0.014564864337444305,0.12068497975077223,0.10234182804298757,0.1324745154098554,0.01754949723307601,0.5786802030456852,0.1740266627845054,0.0,-0.0033235014504918517,-0.008072884457137407
16,retail,768,197,0.09307655940453212,0.3050845119053606,0.25741170834617566,0.3134954683866069,0.09827940869893806,0.5888324873096447,0.37633166209415064,0.0,-0.00012411930253209197,-0.006135626398216044
17,foreign,772,194,0.05332725883070669,0.23092695561736984,0.18310409393785618,0.2346582933838042,0.05506451465379953,0.6752577319587629,0.2928695786242665,0.0,0.10692727240882621,0.06637290428445396
17,institution,772,194,0.015755178406834602,0.12551963355122817,0.08763983643064083,0.11151935996309342,0.012436567646578005,0.4793814432989691,0.10453498447732942,0.0,-0.006800027546165607,0.007575821098463475
17,retail,772,194,0.08547990475757135,0.2923694661854609,0.2976194262389362,0.35681168008785347,0.12731457504711668,0.6237113402061856,0.1490654942659103,0.0,-0.13245448929536127,-0.09710555707978219
18,foreign,765,194,0.05653536887048117,0.2377716738185631,0.15905714845020785,0.2040995752976513,0.04165663663668163,0.6649484536082474,0.3223008781026884,0.0,0.0486239526977705,0.053166244016989064
18,institution,765,194,0.015075359493494034,0.12278175554003956,0.09422310015886359,0.12358712183871073,0.015273776684376331,0.5670103092783505,0.2599656010006153,0.0,0.002735919842062057,0.0047225508492046335
18,retail,765,194,0.08687435528811287,0.29474455938678984,0.2895689236849892,0.3479653984032106,0.12107991848590507,0.6288659793814433,0.22638243700600863,0.0,-0.07219259576036681,-0.0655764033489851
19,foreign,765,194,0.05415903999427565,0.23272094876541657,0.17450703066634493,0.22086112686309445,0.0487796373592359,0.654639175257732,0.386143530921563,0.0,0.053562537810198735,0.04029443906980192
19,institution,765,194,0.015063631348311901,0.12273398611758644,0.09178451137448009,0.12324565585648431,0.015189491687494965,0.5773195876288659,0.12674315268274736,0.0,-0.01559693031925132,-0.00030013750404474736
19,retail,765,194,0.08851521043411267,0.29751505917198995,0.27458313614437263,0.3381695554589768,0.114358648239322,0.5773195876288659,0.12321537249816973,0.0,-0.026226273132968193,-0.035334153403288
20,foreign,765,194,0.05144468572209863,0.2268142097005799,0.1963910720210292,0.24680059145198563,0.060910531941049915,0.6597938144329897,0.42566236946442,0.0,-0.009467269279562013,0.005319698048832337
20,institution,765,194,0.014546502381563187,0.1206088818518901,0.09805740856012862,0.13421616756522517,0.0180139796358966,0.5515463917525774,0.09794862566491881,0.0,-0.009947391942931944,0.00218074888617434
20,retail,765,194,0.09199100486398522,0.3033001893569887,0.2652300506393358,0.3232402675725027,0.10448427058034314,0.6288659793814433,0.2866206395671724,0.0,0.015402675402283515,-0.004930447710236323
21,foreign,765,194,0.05477404506280531,0.23403855465030823,0.16631225227335103,0.2123973440566351,0.04511263176231262,0.6804123711340206,0.43354911616538655,0.0,-0.04321668680862898,-0.02416744910675034
21,institution,765,194,0.015610250644385815,0.12494098864818469,0.09036084403900176,0.11662891629161848,0.01360230411535735,0.5051546391752577,0.10229785881721036,0.0,-0.002134087420645957,-0.0048973766028324196
21,retail,765,194,0.09358685499702404,0.30591968716809326,0.24209006212546116,0.3048546881217126,0.09293638086978667,0.5927835051546392,0.23537583678180143,0.0,0.00655552513714995,0.010429688719744534
22,foreign,765,194,0.0537049884402674,0.23174336762951253,0.18056543448732293,0.22436800747831612,0.050341002779789715,0.6391752577319587,0.3813745688306507,0.0,0.02141410379446131,0.04836867391083812
22,institution,765,194,0.01579251140356064,0.1256682593321028,0.09085035317825854,0.11344413039509894,0.012869570721100213,0.5567010309278351,0.10932165177759051,0.0,-0.00553328472492045,0.0025237922850136945
22,retail,765,194,0.0848746523163677,0.2913325459271032,0.2968399377069292,0.3600401790816708,0.12962893055316158,0.6030927835051546,0.21721175837644707,0.0,-0.028134327905118158,-0.06456744295938574
23,foreign,768,197,0.05232532570759455,0.22874729661264753,0.19285555070308674,0.24388035446526057,0.059477627294101144,0.6040609137055838,0.22296101219671685,0.0,0.04723016889458569,0.08006532101887208
23,institution,768,197,0.014225480146706104,0.11927061728148347,0.1099019590564318,0.1373676030177606,0.01886985835884507,0.467005076142132,0.09628950945668142,0.0,0.013424316318327476,-0.005627167307142982
23,retail,768,197,0.08639367421468098,0.29392800855767554,0.29222514306143077,0.3544698967188476,0.12564890767987047,0.5888324873096447,0.14436677134245693,0.0,-0.08892326569184661,-0.06711535456443801
24,foreign,772,194,0.055231323938604464,0.23501345480334623,0.16841022315622337,0.22407049301832,0.05020758584147299,0.6391752577319587,0.22774654184313814,0.0,0.1040667966500251,0.06242181841264834
