investor,feature,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
foreign,momentum,0.038572633494105606,0.008247257306269042,1.0,0.0,positive,1.0
foreign,persist,0.07989775952365663,0.00761808127189904,1.0,0.0,positive,1.0
foreign,underwater,0.011203544605005946,0.004115364760625187,1.0,0.0,positive,1.0
institution,momentum,-0.0008743258482960906,0.0018237138392184116,0.37777777777777777,0.6222222222222222,negative,0.6222222222222222
institution,persist,0.02321019089884228,0.0021972346500812173,1.0,0.0,positive,1.0
institution,underwater,-0.00025106245132822856,0.000470575915243809,0.2222222222222222,0.7777777777777778,negative,0.7777777777777778
retail,momentum,-0.02771743480116129,0.006312109459729605,0.0,1.0,negative,1.0
retail,persist,0.10500979986455705,0.010133832669772516,1.0,0.0,positive,1.0
retail,underwater,0.018314329623697428,0.013029314404248942,0.8888888888888888,0.1111111111111111,positive,0.8888888888888888
