split,investor,context,weight
19,foreign,fx_level_z_252,-0.020046886056661606
19,institution,kospi_return_1d,-0.016753826290369034
19,institution,fx_level_z_252,-0.0052815647795796394
19,retail,kospi_return_1d,0.03304586559534073
19,retail,fx_level_z_252,0.03065052069723606
20,foreign,kospi_return_1d,0.006422132719308138
20,foreign,fx_level_z_252,-0.03406558185815811
20,institution,kospi_return_1d,-0.019682370126247406
20,institution,fx_level_z_252,-0.005428563803434372
20,retail,kospi_return_1d,0.03648080676794052
20,retail,fx_level_z_252,0.04816786199808121
21,foreign,kospi_return_1d,0.0075288997031748295
21,foreign,fx_level_z_252,-0.016220947727560997
21,institution,kospi_return_1d,-0.018029388040304184
21,institution,fx_level_z_252,-0.008712929673492908
21,retail,kospi_return_1d,0.032312627881765366
21,retail,fx_level_z_252,0.03510183468461037
22,foreign,kospi_return_1d,0.005915804300457239
22,foreign,fx_level_z_252,-0.023264162242412567
22,institution,kospi_return_1d,-0.01733357086777687
22,institution,fx_level_z_252,-0.005947524216026068
22,retail,kospi_return_1d,0.03348131105303764
22,retail,fx_level_z_252,0.034654587507247925
23,foreign,kospi_return_1d,0.00980313215404749
23,foreign,fx_level_z_252,-0.01938989758491516
23,institution,kospi_return_1d,-0.01364817749708891
23,institution,fx_level_z_252,-0.006790331564843655
23,retail,kospi_return_1d,0.02074059471487999
23,retail,fx_level_z_252,0.024910785257816315
24,foreign,kospi_return_1d,0.003635157598182559
24,foreign,fx_level_z_252,-0.0047147260047495365
24,institution,kospi_return_1d,-0.017975948750972748
24,institution,fx_level_z_252,-0.0029676056001335382
24,retail,kospi_return_1d,0.03582186996936798
24,retail,fx_level_z_252,0.01593168079853058
25,foreign,kospi_return_1d,0.01016303338110447
25,foreign,fx_level_z_252,-0.010996222496032715
25,institution,kospi_return_1d,-0.018382245674729347
25,institution,fx_level_z_252,-0.004212952218949795
25,retail,kospi_return_1d,0.03380867838859558
25,retail,fx_level_z_252,0.02162722311913967
26,foreign,kospi_return_1d,0.01123692374676466
26,foreign,fx_level_z_252,-0.024540763348340988
26,institution,kospi_return_1d,-0.02165956236422062
26,institution,fx_level_z_252,-0.004443753510713577
26,retail,kospi_return_1d,0.03463391587138176
26,retail,fx_level_z_252,0.04033377021551132
27,foreign,kospi_return_1d,0.011437980458140373
27,foreign,fx_level_z_252,-0.008863375522196293
27,institution,kospi_return_1d,-0.01970764808356762
27,institution,fx_level_z_252,-0.007803058717399836
27,retail,kospi_return_1d,0.0315324030816555
27,retail,fx_level_z_252,0.024383623152971268
28,foreign,kospi_return_1d,0.009385744109749794
28,foreign,fx_level_z_252,-0.013316746801137924
28,institution,kospi_return_1d,-0.01915447600185871
28,institution,fx_level_z_252,-0.005171355791389942
28,retail,kospi_return_1d,0.0328654982149601
28,retail,fx_level_z_252,0.026745514944195747
29,foreign,kospi_return_1d,0.013384544290602207
29,foreign,fx_level_z_252,-0.012169125489890575
29,institution,kospi_return_1d,-0.01599416881799698
29,institution,fx_level_z_252,-0.005559578072279692
29,retail,kospi_return_1d,0.018468312919139862
29,retail,fx_level_z_252,0.014143478125333786
30,foreign,kospi_return_1d,-0.014276930131018162
30,foreign,fx_level_z_252,-0.011464016512036324
30,institution,kospi_return_1d,-0.016605528071522713
30,institution,fx_level_z_252,-0.0025529435370117426
30,retail,kospi_return_1d,0.04137369245290756
30,retail,fx_level_z_252,0.02875439263880253
31,foreign,kospi_return_1d,0.0016791676171123981
31,foreign,fx_level_z_252,-0.0331142358481884
31,institution,kospi_return_1d,-0.02067183144390583
31,institution,fx_level_z_252,-0.0026650296058505774
31,retail,kospi_return_1d,0.042747028172016144
31,retail,fx_level_z_252,0.044895466417074203
32,foreign,kospi_return_1d,0.0014149609487503767
32,foreign,fx_level_z_252,-0.01654118485748768
32,institution,kospi_return_1d,-0.01865280419588089
32,institution,fx_level_z_252,-0.00573952030390501
32,retail,kospi_return_1d,0.03854449465870857
32,retail,fx_level_z_252,0.03503134846687317
33,foreign,kospi_return_1d,0.0005312969442456961
33,foreign,fx_level_z_252,-0.02303771674633026
33,institution,kospi_return_1d,-0.018331805244088173
33,institution,fx_level_z_252,-0.002858996158465743
33,retail,kospi_return_1d,0.040989238768815994
33,retail,fx_level_z_252,0.034371741116046906
34,foreign,kospi_return_1d,0.003368695732206106
34,foreign,fx_level_z_252,-0.020351123064756393
34,institution,kospi_return_1d,-0.014048496261239052
34,institution,fx_level_z_252,-0.004003811627626419
34,retail,kospi_return_1d,0.030078189447522163
34,retail,fx_level_z_252,0.025251533836126328
35,foreign,kospi_return_1d,0.008252915926277637
35,foreign,fx_level_z_252,-0.04416819289326668
35,institution,kospi_return_1d,-0.020471680909395218
35,institution,fx_level_z_252,-0.002214013133198023
35,retail,kospi_return_1d,0.03421064838767052
35,retail,fx_level_z_252,0.04995483532547951
36,foreign,kospi_return_1d,0.009047004394233227
36,foreign,fx_level_z_252,-0.01846022717654705
36,institution,kospi_return_1d,-0.018887333571910858
36,institution,fx_level_z_252,-0.004844529554247856
36,retail,kospi_return_1d,0.035793717950582504
36,retail,fx_level_z_252,0.03329133242368698
37,foreign,kospi_return_1d,0.00858610775321722
37,foreign,fx_level_z_252,-0.025361163541674614
37,institution,kospi_return_1d,-0.018497474491596222
37,institution,fx_level_z_252,-0.0026227757334709167
37,retail,kospi_return_1d,0.03474285081028938
37,retail,fx_level_z_252,0.03487172722816467
38,foreign,kospi_return_1d,0.01121608354151249
38,foreign,fx_level_z_252,-0.022519249469041824
38,institution,kospi_return_1d,-0.015763161703944206
38,institution,fx_level_z_252,-0.0033752976451069117
38,retail,kospi_return_1d,0.022255128249526024
38,retail,fx_level_z_252,0.025020193308591843
39,foreign,kospi_return_1d,0.01275676116347313
39,foreign,fx_level_z_252,-0.020705318078398705
39,institution,kospi_return_1d,-0.022378617897629738
39,institution,fx_level_z_252,-0.005475365091115236
39,retail,kospi_return_1d,0.03643462061882019
39,retail,fx_level_z_252,0.05028233677148819
40,foreign,kospi_return_1d,0.009246420115232468
