split,investor,feature,context,weight
5,institution,persist,kospi_return_1d,-0.00018119321612175554
5,institution,persist,fx_level_z_252,0.0014885588316246867
5,institution,underwater,kospi_return_1d,0.0032413972076028585
5,institution,underwater,fx_level_z_252,0.0011805781396105886
5,retail,momentum,kospi_return_1d,0.0006025180337019265
5,retail,momentum,fx_level_z_252,-8.912861812859774e-05
5,retail,persist,kospi_return_1d,0.0022052559070289135
5,retail,persist,fx_level_z_252,-0.0002650662208907306
5,retail,underwater,kospi_return_1d,-0.0011609483044594526
5,retail,underwater,fx_level_z_252,-0.022458551451563835
6,foreign,momentum,kospi_return_1d,-0.012578632682561874
6,foreign,momentum,fx_level_z_252,-0.003652851330116391
6,foreign,persist,kospi_return_1d,0.008954492397606373
6,foreign,persist,fx_level_z_252,-0.006441914476454258
6,foreign,underwater,kospi_return_1d,-0.004065253306180239
6,foreign,underwater,fx_level_z_252,-0.009344516322016716
6,institution,momentum,kospi_return_1d,-0.0020158460829406977
6,institution,momentum,fx_level_z_252,0.00039309944259002805
6,institution,persist,kospi_return_1d,-9.962390322471038e-06
6,institution,persist,fx_level_z_252,1.2500822776928544e-05
6,institution,underwater,kospi_return_1d,0.006028643809258938
6,institution,underwater,fx_level_z_252,0.00021376056247390807
6,retail,momentum,kospi_return_1d,0.00026994047220796347
6,retail,momentum,fx_level_z_252,0.002125130733475089
6,retail,persist,kospi_return_1d,0.0003316142538096756
6,retail,persist,fx_level_z_252,-0.002496322151273489
6,retail,underwater,kospi_return_1d,0.003148135030642152
6,retail,underwater,fx_level_z_252,-0.02577592246234417
7,foreign,momentum,kospi_return_1d,-0.01419564988464117
7,foreign,momentum,fx_level_z_252,-0.004944684915244579
7,foreign,persist,kospi_return_1d,0.007453432772308588
7,foreign,persist,fx_level_z_252,-0.0103378901258111
7,foreign,underwater,kospi_return_1d,-0.0040838876739144325
7,foreign,underwater,fx_level_z_252,-0.005661718547344208
7,institution,momentum,kospi_return_1d,-0.0018079043366014957
7,institution,momentum,fx_level_z_252,6.89015505486168e-05
7,institution,persist,kospi_return_1d,-0.00040202957461588085
7,institution,persist,fx_level_z_252,-0.00019030176918022335
7,institution,underwater,kospi_return_1d,0.004361053463071585
7,institution,underwater,fx_level_z_252,0.0014454390620812774
7,retail,momentum,kospi_return_1d,0.005221616011112928
7,retail,momentum,fx_level_z_252,0.0013186467112973332
7,retail,persist,kospi_return_1d,0.0006290486780926585
7,retail,persist,fx_level_z_252,-0.00041342194890603423
7,retail,underwater,kospi_return_1d,0.0016979302745312452
7,retail,underwater,fx_level_z_252,-0.03740217164158821
8,foreign,momentum,kospi_return_1d,-0.006554084364324808
8,foreign,momentum,fx_level_z_252,0.00313308322802186
8,foreign,persist,kospi_return_1d,0.003727864008396864
8,foreign,persist,fx_level_z_252,-0.00021424522856250405
8,foreign,underwater,kospi_return_1d,0.016602331772446632
8,foreign,underwater,fx_level_z_252,-0.011038370430469513
8,institution,momentum,kospi_return_1d,-0.0003957984736189246
8,institution,momentum,fx_level_z_252,9.802345448406413e-05
8,institution,persist,kospi_return_1d,-0.006202798802405596
8,institution,persist,fx_level_z_252,-5.62745553907007e-05
8,institution,underwater,kospi_return_1d,0.004630673676729202
8,institution,underwater,fx_level_z_252,0.002338114893063903
8,retail,momentum,kospi_return_1d,-0.005038491915911436
8,retail,momentum,fx_level_z_252,0.0005185372428968549
8,retail,persist,kospi_return_1d,-0.01896463707089424
8,retail,persist,fx_level_z_252,0.002566919894888997
8,retail,underwater,kospi_return_1d,0.0014430470764636993
8,retail,underwater,fx_level_z_252,-0.03273656964302063
9,foreign,momentum,kospi_return_1d,-0.002760509727522731
9,foreign,momentum,fx_level_z_252,-0.0021529002115130424
9,foreign,persist,kospi_return_1d,-0.004838509485125542
9,foreign,persist,fx_level_z_252,0.004904392175376415
9,foreign,underwater,kospi_return_1d,0.0008548387559130788
9,foreign,underwater,fx_level_z_252,-0.010792390443384647
9,institution,momentum,kospi_return_1d,-0.0025100812781602144
9,institution,momentum,fx_level_z_252,0.00014093883510213345
9,institution,persist,kospi_return_1d,-0.00015406141756102443
9,institution,persist,fx_level_z_252,-0.0015814346261322498
9,institution,underwater,kospi_return_1d,0.003052363870665431
9,institution,underwater,fx_level_z_252,0.0005329997511580586
9,retail,momentum,kospi_return_1d,0.0016078150365501642
9,retail,momentum,fx_level_z_252,-0.0008465346181765199
9,retail,persist,kospi_return_1d,-0.004773636814206839
9,retail,persist,fx_level_z_252,-2.4658493202878162e-05
9,retail,underwater,kospi_return_1d,-0.001979032065719366
9,retail,underwater,fx_level_z_252,-0.028540294617414474
10,foreign,momentum,kospi_return_1d,-0.004521082621067762
10,foreign,momentum,fx_level_z_252,-0.00011410102888476104
10,foreign,persist,kospi_return_1d,0.00045465645962394774
10,foreign,persist,fx_level_z_252,-0.0019308497430756688
10,foreign,underwater,kospi_return_1d,-4.728930798592046e-05
10,foreign,underwater,fx_level_z_252,-0.006767162121832371
10,institution,momentum,kospi_return_1d,-0.0025957426987588406
10,institution,momentum,fx_level_z_252,0.00017157004913315177
10,institution,persist,kospi_return_1d,1.6016827430576086e-05
10,institution,persist,fx_level_z_252,-0.0002611227100715041
10,institution,underwater,kospi_return_1d,0.0049720825627446175
10,institution,underwater,fx_level_z_252,0.0014016747009009123
10,retail,momentum,kospi_return_1d,0.00012711409362964332
10,retail,momentum,fx_level_z_252,0.0005549610359594226
10,retail,persist,kospi_return_1d,-0.009004349820315838
10,retail,persist,fx_level_z_252,0.001130951102823019
10,retail,underwater,kospi_return_1d,-0.003461863612756133
10,retail,underwater,fx_level_z_252,-0.02548956498503685
11,foreign,momentum,kospi_return_1d,-0.00630987947806716
11,foreign,momentum,fx_level_z_252,-0.000190115679288283
11,foreign,persist,kospi_return_1d,0.0001315577537752688
11,foreign,persist,fx_level_z_252,-0.0023833599407225847
11,foreign,underwater,kospi_return_1d,-2.920157385233324e-06
11,foreign,underwater,fx_level_z_252,-0.009583340026438236
11,institution,momentum,kospi_return_1d,-0.0022904505021870136
11,institution,momentum,fx_level_z_252,0.0008697669836692512
11,institution,persist,kospi_return_1d,-5.314689042279497e-05
11,institution,persist,fx_level_z_252,8.097128011286259e-05
11,institution,underwater,kospi_return_1d,0.004337298218160868
11,institution,underwater,fx_level_z_252,0.0016242151614278555
11,retail,momentum,kospi_return_1d,0.0017930112080648541
11,retail,momentum,fx_level_z_252,-0.0011070509208366275
11,retail,persist,kospi_return_1d,-0.007162793539464474
11,retail,persist,fx_level_z_252,0.0005601691664196551
11,retail,underwater,kospi_return_1d,-0.0025798880960792303
11,retail,underwater,fx_level_z_252,-0.030047936365008354
12,foreign,momentum,kospi_return_1d,-0.004019975196570158
12,foreign,momentum,fx_level_z_252,-0.0014473055489361286
12,foreign,persist,kospi_return_1d,-8.311702549690381e-05
12,foreign,persist,fx_level_z_252,-0.0009463659371249378
12,foreign,underwater,kospi_return_1d,-0.00029324422939680517
12,foreign,underwater,fx_level_z_252,-0.00020627713820431381
12,institution,momentum,kospi_return_1d,-0.0029950651805847883
12,institution,momentum,fx_level_z_252,0.0013080266071483493
12,institution,persist,kospi_return_1d,-9.122202754952013e-06
12,institution,persist,fx_level_z_252,-0.00013936689356341958
12,institution,underwater,kospi_return_1d,0.0021598043385893106
12,institution,underwater,fx_level_z_252,0.0002540989371482283
12,retail,momentum,kospi_return_1d,0.0029176194220781326
12,retail,momentum,fx_level_z_252,0.000138500879984349
12,retail,persist,kospi_return_1d,0.00027264561504125595
12,retail,persist,fx_level_z_252,0.006212590727955103
12,retail,underwater,kospi_return_1d,-0.0006716862553730607
12,retail,underwater,fx_level_z_252,-0.031768254935741425
13,foreign,momentum,kospi_return_1d,-0.007843788713216782
13,foreign,momentum,fx_level_z_252,0.004638831131160259
13,foreign,persist,kospi_return_1d,0.004370407201349735
13,foreign,persist,fx_level_z_252,0.00010405993089079857
13,foreign,underwater,kospi_return_1d,8.054049976635724e-05
13,foreign,underwater,fx_level_z_252,0.00013365712948143482
13,institution,momentum,kospi_return_1d,0.00019988750864285976
13,institution,momentum,fx_level_z_252,-1.2275704648345709e-05
13,institution,persist,kospi_return_1d,-0.0007923002704046667
13,institution,persist,fx_level_z_252,1.3432916603051126e-05
13,institution,underwater,kospi_return_1d,0.002960383426398039
13,institution,underwater,fx_level_z_252,0.00021780912356916815
13,retail,momentum,kospi_return_1d,-0.002448831219226122
13,retail,momentum,fx_level_z_252,-0.000891492236405611
13,retail,persist,kospi_return_1d,0.004095902666449547
13,retail,persist,fx_level_z_252,0.00304701691493392
13,retail,underwater,kospi_return_1d,-0.009045252576470375
13,retail,underwater,fx_level_z_252,-0.014810431748628616
14,foreign,momentum,kospi_return_1d,-0.005235362332314253
14,foreign,momentum,fx_level_z_252,1.9814175175270066e-05
14,foreign,persist,kospi_return_1d,0.00270518334582448
14,foreign,persist,fx_level_z_252,0.00098410586360842
14,foreign,underwater,kospi_return_1d,-0.0018374385545030236
14,foreign,underwater,fx_level_z_252,-0.002962048863992095
14,institution,momentum,kospi_return_1d,-0.0028806456830352545
14,institution,momentum,fx_level_z_252,0.0013753290986642241
14,institution,persist,kospi_return_1d,-0.0003052287211176008
14,institution,persist,fx_level_z_252,-0.0008061802363954484
14,institution,underwater,kospi_return_1d,0.0059814671985805035
14,institution,underwater,fx_level_z_252,9.045075785252266e-06
14,retail,momentum,kospi_return_1d,0.0004572700127027929
14,retail,momentum,fx_level_z_252,0.00039120978908613324
14,retail,persist,kospi_return_1d,3.0556824640370905e-05
14,retail,persist,fx_level_z_252,-0.00012243718083482236
14,retail,underwater,kospi_return_1d,-0.0016965452814474702
14,retail,underwater,fx_level_z_252,-0.014722425490617752
15,foreign,momentum,kospi_return_1d,-0.007546344771981239
15,foreign,momentum,fx_level_z_252,-0.0009767897427082062
15,foreign,persist,kospi_return_1d,0.0011533237993717194
15,foreign,persist,fx_level_z_252,-0.0034777172841131687
15,foreign,underwater,kospi_return_1d,-0.0022408850491046906
15,foreign,underwater,fx_level_z_252,-0.0006306902505457401
15,institution,momentum,kospi_return_1d,-0.0025293428916484118
15,institution,momentum,fx_level_z_252,8.76291305758059e-05
15,institution,persist,kospi_return_1d,-0.001040610484778881
15,institution,persist,fx_level_z_252,-0.0012742843246087432
15,institution,underwater,kospi_return_1d,0.004211449529975653
15,institution,underwater,fx_level_z_252,0.0005891724140383303
15,retail,momentum,kospi_return_1d,0.005083668977022171
15,retail,momentum,fx_level_z_252,0.00039222746272571385
15,retail,persist,kospi_return_1d,0.00011304694635327905
15,retail,persist,fx_level_z_252,0.00035637160181067884
15,retail,underwater,kospi_return_1d,-0.001014692592434585
15,retail,underwater,fx_level_z_252,-0.03253140300512314
16,foreign,momentum,kospi_return_1d,0.0009806150337681174
16,foreign,momentum,fx_level_z_252,-0.001360083930194378
16,foreign,persist,kospi_return_1d,-1.4681692846352234e-05
16,foreign,persist,fx_level_z_252,0.00025612913304939866
16,foreign,underwater,kospi_return_1d,0.0007081759395077825
