epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,-0.0004999976954422891
1,beta,persist,,0.000499999790918082
1,beta,underwater,,-0.0004999986267648637
1,B,momentum,kospi_return_1d,0.0004999994416721165
1,B,momentum,fx_level_z_252,0.0004999992670491338
1,B,persist,kospi_return_1d,-0.0004999994998797774
1,B,persist,fx_level_z_252,0.0004999993252567947
1,B,underwater,kospi_return_1d,0.0004999995580874383
1,B,underwater,fx_level_z_252,0.0004999992670491338
1,alpha,,kospi_return_1d,-0.0004999997327104211
1,alpha,,fx_level_z_252,-0.0004999993252567947
2,beta,momentum,,-0.00037863035686314106
2,beta,persist,,0.0009946741629391909
2,beta,underwater,,-0.0005590628716163337
2,B,momentum,kospi_return_1d,0.0009592535207048059
2,B,momentum,fx_level_z_252,0.0009084281628020108
2,B,persist,kospi_return_1d,-0.0009403199655935168
2,B,persist,fx_level_z_252,0.0008962874999269843
2,B,underwater,kospi_return_1d,0.0009512429824098945
2,B,underwater,fx_level_z_252,0.0009474426042288542
2,alpha,,kospi_return_1d,-0.0009927568025887012
2,alpha,,fx_level_z_252,-0.0009312678594142199
3,beta,momentum,,-0.00011932049528695643
3,beta,persist,,0.0014877088833600283
3,beta,underwater,,-0.0004184069111943245
3,B,momentum,kospi_return_1d,0.0014017674839124084
3,B,momentum,fx_level_z_252,0.0012702709063887596
3,B,persist,kospi_return_1d,-0.0013380544260144234
3,B,persist,fx_level_z_252,0.0012264868710190058
3,B,underwater,kospi_return_1d,0.0013764998875558376
3,B,underwater,fx_level_z_252,0.0013767763739451766
3,alpha,,kospi_return_1d,-0.0014838785864412785
3,alpha,,fx_level_z_252,-0.001318098627962172
4,beta,momentum,,0.00018835911760106683
4,beta,persist,,0.001979521242901683
4,beta,underwater,,-0.0001755408593453467
4,B,momentum,kospi_return_1d,0.0018294936744496226
4,B,momentum,fx_level_z_252,0.0015960072632879019
4,B,persist,kospi_return_1d,-0.0016890529077500105
4,B,persist,fx_level_z_252,0.0014957727398723364
4,B,underwater,kospi_return_1d,0.0017828927375376225
4,B,underwater,fx_level_z_252,0.0017898118821904063
4,alpha,,kospi_return_1d,-0.001974127721041441
4,alpha,,fx_level_z_252,-0.0016569409053772688
5,beta,momentum,,8.935617370298132e-05
5,beta,persist,,0.00247005932033062
5,beta,underwater,,0.00012455607065930963
5,B,momentum,kospi_return_1d,0.0022393830586224794
5,B,momentum,fx_level_z_252,0.001888869097456336
5,B,persist,kospi_return_1d,-0.001985191833227873
5,B,persist,fx_level_z_252,0.001704322057776153
5,B,underwater,kospi_return_1d,0.002174696419388056
5,B,underwater,fx_level_z_252,0.0021808615420013666
5,alpha,,kospi_return_1d,-0.0024635575246065855
5,alpha,,fx_level_z_252,-0.0019385466584935784
6,beta,momentum,,-0.00014484793064184487
6,beta,persist,,0.002959266770631075
6,beta,underwater,,0.00010474654845893383
6,B,momentum,kospi_return_1d,0.002627705689519644
6,B,momentum,fx_level_z_252,0.00214966619387269
6,B,persist,kospi_return_1d,-0.0022176303900778294
6,B,persist,fx_level_z_252,0.0018531755777075887
6,B,underwater,kospi_return_1d,0.0025559565983712673
6,B,underwater,fx_level_z_252,0.0025414114352315664
6,alpha,,kospi_return_1d,-0.002951670903712511
6,alpha,,fx_level_z_252,-0.0021636176388710737
7,beta,momentum,,-0.0003181103093083948
7,beta,persist,,0.0034469570964574814
7,beta,underwater,,-5.695990694221109e-05
7,B,momentum,kospi_return_1d,0.002990293549373746
7,B,momentum,fx_level_z_252,0.0023796381428837776
7,B,persist,kospi_return_1d,-0.002380507532507181
7,B,persist,fx_level_z_252,0.0019454867579042912
7,B,underwater,kospi_return_1d,0.0029208592604845762
7,B,underwater,fx_level_z_252,0.00287267891690135
7,alpha,,kospi_return_1d,-0.0034380839206278324
7,alpha,,fx_level_z_252,-0.002335079712793231
8,beta,momentum,,-0.00043660536175593734
8,beta,persist,,0.00393285695463419
8,beta,underwater,,-0.00013326926273293793
8,B,momentum,kospi_return_1d,0.0033216907177120447
8,B,momentum,fx_level_z_252,0.0025808552745729685
8,B,persist,kospi_return_1d,-0.0024735359475016594
8,B,persist,fx_level_z_252,0.001986995106562972
8,B,underwater,kospi_return_1d,0.003259597811847925
8,B,underwater,fx_level_z_252,0.0031792186200618744
8,alpha,,kospi_return_1d,-0.003922559320926666
8,alpha,,fx_level_z_252,-0.0024553206749260426
9,beta,momentum,,-0.0005058477981947362
9,beta,persist,,0.0044166939333081245
9,beta,underwater,,-0.0001338233851129189
9,B,momentum,kospi_return_1d,0.003615178167819977
9,B,momentum,fx_level_z_252,0.002755829133093357
9,B,persist,kospi_return_1d,-0.002501722425222397
9,B,persist,fx_level_z_252,0.001985615584999323
9,B,underwater,kospi_return_1d,0.003565798979252577
9,B,underwater,fx_level_z_252,0.0034614072646945715
9,alpha,,kospi_return_1d,-0.0044048260897397995
9,alpha,,fx_level_z_252,-0.0025280758272856474
10,beta,momentum,,-0.0005309272091835737
