investor,epoch,train_mse_mean,train_mse_std,total_loss_mean,total_loss_std,split_count,reduction_percent
foreign,1,0.06549997777777777,0.0026180707026435325,0.06549997777777777,0.0026180707026435325,45,16.60434829664063
foreign,2,0.06357237777777777,0.002560652112334676,0.06357237777777777,0.002560652112334676,45,16.60434829664063
foreign,3,0.062066600000000006,0.002509799099167467,0.062066600000000006,0.002509799099167467,45,16.60434829664063
foreign,4,0.060823555555555554,0.0024744301782573517,0.060823555555555554,0.0024744301782573517,45,16.60434829664063
foreign,5,0.05979222222222222,0.0024349944454751748,0.05979222222222222,0.0024349944454751748,45,16.60434829664063
foreign,6,0.058934688888888885,0.002385623444551112,0.058934688888888885,0.002385623444551112,45,16.60434829664063
foreign,7,0.05823575555555555,0.002348288662714689,0.05823575555555555,0.002348288662714689,45,16.60434829664063
foreign,8,0.05765188888888889,0.002296635990691031,0.05765188888888889,0.002296635990691031,45,16.60434829664063
foreign,9,0.05718715555555555,0.0022615092200840695,0.05718715555555555,0.0022615092200840695,45,16.60434829664063
foreign,10,0.05680873333333333,0.002227640490417037,0.05680873333333333,0.002227640490417037,45,16.60434829664063
foreign,11,0.056494800000000005,0.002190687247916011,0.056494800000000005,0.002190687247916011,45,16.60434829664063
foreign,12,0.05623311111111111,0.0021583345454542044,0.05623311111111111,0.0021583345454542044,45,16.60434829664063
foreign,13,0.05602577777777778,0.002140177455353656,0.05602577777777778,0.002140177455353656,45,16.60434829664063
foreign,14,0.05585362222222222,0.0021188815798658827,0.05585362222222222,0.0021188815798658827,45,16.60434829664063
foreign,15,0.05570968888888889,0.0020981843538708136,0.05570968888888889,0.0020981843538708136,45,16.60434829664063
foreign,16,0.055577933333333336,0.002077523978638555,0.055577933333333336,0.002077523978638555,45,16.60434829664063
foreign,17,0.05546946666666666,0.0020551399487847306,0.05546946666666666,0.0020551399487847306,45,16.60434829664063
foreign,18,0.05537224444444444,0.002027804972641775,0.05537224444444444,0.002027804972641775,45,16.60434829664063
foreign,19,0.05528042222222222,0.00201346801099822,0.05528042222222222,0.00201346801099822,45,16.60434829664063
foreign,20,0.05520504444444445,0.0020059844551599676,0.05520504444444445,0.0020059844551599676,45,16.60434829664063
foreign,21,0.05514017777777777,0.001993339104582708,0.05514017777777777,0.001993339104582708,45,16.60434829664063
foreign,22,0.05508533333333333,0.001983161663056792,0.05508533333333333,0.001983161663056792,45,16.60434829664063
foreign,23,0.05502864444444444,0.001978485177599215,0.05502864444444444,0.001978485177599215,45,16.60434829664063
foreign,24,0.054978066666666665,0.001965546470392579,0.054978066666666665,0.001965546470392579,45,16.60434829664063
foreign,25,0.05493406666666667,0.001959530433083861,0.05493406666666667,0.001959530433083861,45,16.60434829664063
foreign,26,0.05489906666666666,0.0019511649597099693,0.05489906666666666,0.0019511649597099693,45,16.60434829664063
foreign,27,0.05486702222222222,0.0019413400653916736,0.05486702222222222,0.0019413400653916736,45,16.60434829664063
foreign,28,0.054837755555555555,0.0019389800171922102,0.054837755555555555,0.0019389800171922102,45,16.60434829664063
foreign,29,0.05481226666666667,0.0019347315811008752,0.05481226666666667,0.0019347315811008752,45,16.60434829664063
foreign,30,0.054789288888888885,0.0019303816935591475,0.054789288888888885,0.0019303816935591475,45,16.60434829664063
foreign,31,0.054771400000000005,0.0019287853148832017,0.054771400000000005,0.0019287853148832017,45,16.60434829664063
foreign,32,0.05475297777777778,0.0019266299178628042,0.05475297777777778,0.0019266299178628042,45,16.60434829664063
foreign,33,0.05473957777777778,0.0019236037024398783,0.05473957777777778,0.0019236037024398783,45,16.60434829664063
foreign,34,0.05472662222222222,0.0019213282844864597,0.05472662222222222,0.0019213282844864597,45,16.60434829664063
foreign,35,0.05471042222222222,0.0019207322170190601,0.05471042222222222,0.0019207322170190601,45,16.60434829664063
foreign,36,0.054695,0.001917553815767274,0.054695,0.001917553815767274,45,16.60434829664063
foreign,37,0.054691288888888884,0.0019225982374974446,0.054691288888888884,0.0019225982374974446,45,16.60434829664063
foreign,38,0.05468206666666667,0.001925549713718139,0.05468206666666667,0.001925549713718139,45,16.60434829664063
foreign,39,0.05467455555555555,0.001927392380624373,0.05467455555555555,0.001927392380624373,45,16.60434829664063
foreign,40,0.05465733333333333,0.0019213612953509636,0.05465733333333333,0.0019213612953509636,45,16.60434829664063
foreign,41,0.05464562222222222,0.0019208214304502031,0.05464562222222222,0.0019208214304502031,45,16.60434829664063
foreign,42,0.0546312,0.0019147865250109834,0.0546312,0.0019147865250109834,45,16.60434829664063
foreign,43,0.05462686666666667,0.0019174351784705431,0.05462686666666667,0.0019174351784705431,45,16.60434829664063
foreign,44,0.05462206666666667,0.0019130127761774576,0.05462206666666667,0.0019130127761774576,45,16.60434829664063
foreign,45,0.054619777777777774,0.0019145094777524708,0.054619777777777774,0.0019145094777524708,45,16.60434829664063
foreign,46,0.054613444444444444,0.001916035947607783,0.054613444444444444,0.001916035947607783,45,16.60434829664063
foreign,47,0.05460564444444444,0.0019191622598930967,0.05460564444444444,0.0019191622598930967,45,16.60434829664063
foreign,48,0.05460028888888889,0.0019229170031517507,0.05460028888888889,0.0019229170031517507,45,16.60434829664063
foreign,49,0.05459733333333333,0.0019175912091617814,0.05459733333333333,0.0019175912091617814,45,16.60434829664063
foreign,50,0.054592133333333334,0.0019145514380895876,0.054592133333333334,0.0019145514380895876,45,16.60434829664063
foreign,51,0.054590266666666665,0.0019114290513073766,0.054590266666666665,0.0019114290513073766,45,16.60434829664063
foreign,52,0.05459615555555556,0.0019302250805582652,0.05459615555555556,0.0019302250805582652,45,16.60434829664063
foreign,53,0.05460646666666667,0.00196294010236037,0.05460646666666667,0.00196294010236037,45,16.60434829664063
foreign,54,0.054617155555555554,0.001980447320402359,0.054617155555555554,0.001980447320402359,45,16.60434829664063
foreign,55,0.05461193333333333,0.001977685187283355,0.05461193333333333,0.001977685187283355,45,16.60434829664063
foreign,56,0.05460453333333333,0.0019660559573096413,0.05460453333333333,0.0019660559573096413,45,16.60434829664063
foreign,57,0.05459157777777778,0.0019402437931269531,0.05459157777777778,0.0019402437931269531,45,16.60434829664063
foreign,58,0.05459097777777778,0.001930451460255874,0.05459097777777778,0.001930451460255874,45,16.60434829664063
foreign,59,0.054584266666666666,0.001920510815098183,0.054584266666666666,0.001920510815098183,45,16.60434829664063
foreign,60,0.054580555555555556,0.0019134004304041286,0.054580555555555556,0.0019134004304041286,45,16.60434829664063
foreign,61,0.05457208888888889,0.0019037184763965864,0.05457208888888889,0.0019037184763965864,45,16.60434829664063
foreign,62,0.05456126666666667,0.001899311973512323,0.05456126666666667,0.001899311973512323,45,16.60434829664063
foreign,63,0.05455362222222222,0.0018939629482898925,0.05455362222222222,0.0018939629482898925,45,16.60434829664063
foreign,64,0.05455111111111111,0.0018938984591939914,0.05455111111111111,0.0018938984591939914,45,16.60434829664063
foreign,65,0.05454526666666667,0.0018926318424112721,0.05454526666666667,0.0018926318424112721,45,16.60434829664063
foreign,66,0.05454571111111111,0.0018953306934078127,0.05454571111111111,0.0018953306934078127,45,16.60434829664063
foreign,67,0.05454286666666667,0.0019005722057030383,0.05454286666666667,0.0019005722057030383,45,16.60434829664063
foreign,68,0.054543133333333334,0.0019061246572800287,0.054543133333333334,0.0019061246572800287,45,16.60434829664063
foreign,69,0.054552777777777776,0.0019016064726350911,0.054552777777777776,0.0019016064726350911,45,16.60434829664063
foreign,70,0.05457448888888889,0.0018937882024016185,0.05457448888888889,0.0018937882024016185,45,16.60434829664063
foreign,71,0.054589266666666664,0.0018952654815235122,0.054589266666666664,0.0018952654815235122,45,16.60434829664063
foreign,72,0.0545966,0.001893888861095554,0.0545966,0.001893888861095554,45,16.60434829664063
foreign,73,0.05459662222222222,0.00189455619999764,0.05459662222222222,0.00189455619999764,45,16.60434829664063
foreign,74,0.05461308888888889,0.0018869244073867711,0.05461308888888889,0.0018869244073867711,45,16.60434829664063
foreign,75,0.05462413333333334,0.001892592337125314,0.05462413333333334,0.001892592337125314,45,16.60434829664063
institution,1,0.015857,0.00080464037704035,0.015932,0.00080464037704035,45,2.043682075213886
institution,2,0.015778066666666667,0.0007984174232932181,0.0158806,0.000803088255084424,45,2.043682075213886
institution,3,0.015726377777777776,0.0007920944413644149,0.015850244444444446,0.000801212154277265,45,2.043682075213886
institution,4,0.015687688888888888,0.0007861037932343117,0.01583386666666667,0.0007983524398295638,45,2.043682075213886
institution,5,0.015655822222222223,0.0007807506961219758,0.01581857777777778,0.0007963790351815954,45,2.043682075213886
institution,6,0.015625955555555557,0.0007760989556035295,0.015802622222222222,0.0007957104683834123,45,2.043682075213886
institution,7,0.015598577777777779,0.0007720900644852042,0.015790600000000002,0.0007944785711395867,45,2.043682075213886
institution,8,0.015573955555555555,0.0007685334308560912,0.015782066666666667,0.0007931225515758467,45,2.043682075213886
institution,9,0.01555228888888889,0.0007654527662591187,0.015773555555555558,0.0007918278783226117,45,2.043682075213886
institution,10,0.015532933333333334,0.0007626098251757223,0.01576531111111111,0.0007911616839186606,45,2.043682075213886
retail,1,0.11096191111111112,0.004812608444219595,0.11096911111111112,0.004812545188558664,45,11.23346429585648
retail,2,0.10926775555555554,0.004810823829258522,0.1092811111111111,0.004810713381336884,45,11.23346429585648
retail,3,0.10781117777777778,0.004824559335924742,0.1078306,0.004824308002190569,45,11.23346429585648
retail,4,0.10653504444444443,0.004827773004170549,0.10656017777777776,0.004827489137923327,45,11.23346429585648
retail,5,0.10539280000000001,0.004829194143201047,0.10542337777777777,0.004828838300389984,45,11.23346429585648
retail,6,0.10439417777777778,0.004813861865341156,0.10442962222222223,0.0048135169635710046,45,11.23346429585648
retail,7,0.10352177777777778,0.0048032118273698705,0.10356197777777777,0.004802913980495635,45,11.23346429585648
retail,8,0.10275564444444445,0.0047895603572939375,0.1028003111111111,0.004789207397045902,45,11.23346429585648
retail,9,0.10208897777777778,0.004765942525732537,0.10213762222222224,0.0047656200936255525,45,11.23346429585648
retail,10,0.10149857777777778,0.004741654719269186,0.1015508888888889,0.004741208837139922,45,11.23346429585648
retail,11,0.10099451111111112,0.004717271195117235,0.10105017777777778,0.0047166712563421346,45,11.23346429585648
retail,12,0.1005495111111111,0.004682124724670821,0.10060846666666667,0.004681492713576806,45,11.23346429585648
retail,13,0.10016077777777777,0.004652671797858282,0.10022264444444444,0.0046520921791635165,45,11.23346429585648
retail,14,0.09982317777777777,0.00461668243876532,0.09988768888888888,0.0046158788428553,45,11.23346429585648
retail,15,0.0995332,0.004594196876099639,0.09960013333333334,0.004593482213468831,45,11.23346429585648
retail,16,0.09927137777777778,0.004558850529409247,0.09934033333333334,0.004558071038378965,45,11.23346429585648
retail,17,0.09903822222222222,0.004545752532404132,0.09910913333333334,0.004544970049906317,45,11.23346429585648
retail,18,0.09884073333333333,0.004517219334743646,0.09891346666666667,0.004516555745255446,45,11.23346429585648
retail,19,0.09865584444444445,0.004498474327003216,0.09873022222222222,0.0044979165423807334,45,11.23346429585648
retail,20,0.09849704444444445,0.004487978639733827,0.09857302222222222,0.004487491344579597,45,11.23346429585648
