investor,first_train_mse_mean,last_train_mse_mean,reduction_percent,epochs
foreign,0.06549997777777777,0.05462413333333334,16.60434829664063,75
institution,0.015857,0.015532933333333334,2.043682075213886,10
retail,0.11096191111111112,0.09849704444444445,11.23346429585648,20
