coefficient,split,investor,feature,weight,parameter_type,parameter,mean,std,positive_rate,negative_rate,split_count,direction_consistency,context
beta,2,retail,herd,-0.02939023822546,β 보상가중치,군집,-0.032101515059669766,0.0011223234036377826,0.0,1.0,45,1.0,
beta,2,retail,underwater,0.0311065837740898,β 보상가중치,손실구간,0.029702179671989494,0.0023067850777394533,1.0,0.0,45,1.0,
beta,3,foreign,momentum,0.0725497901439666,β 보상가중치,모멘텀,0.06659317687153811,0.008179509724259416,1.0,0.0,45,1.0,
beta,3,foreign,herd,-0.0265779420733451,β 보상가중치,군집,-0.03611457621057823,0.006766294609670223,0.0,1.0,45,1.0,
beta,3,foreign,underwater,0.0112668117508292,β 보상가중치,손실구간,0.015271047664444018,0.007234747054512887,0.9555555555555556,0.044444444444444446,45,0.9555555555555556,
beta,3,institution,momentum,-0.0021582283079624,β 보상가중치,모멘텀,-0.0007514683017992099,0.0013180453731880448,0.3111111111111111,0.6888888888888889,45,0.6888888888888889,
beta,3,institution,herd,-0.0044923219829797,β 보상가중치,군집,-0.004340239058041686,0.0005725782869067401,0.0,1.0,45,1.0,
beta,3,institution,underwater,-0.0010657754028216,β 보상가중치,손실구간,-0.0009217574499618339,0.0009719467350269731,0.1111111111111111,0.8888888888888888,45,0.8888888888888888,
beta,3,retail,momentum,-0.032196968793869,β 보상가중치,모멘텀,-0.031922012112206834,0.0010690177093867406,0.0,1.0,45,1.0,
beta,3,retail,herd,-0.0293974261730909,β 보상가중치,군집,-0.032101515059669766,0.0011223234036377826,0.0,1.0,45,1.0,
beta,3,retail,underwater,0.0319190099835395,β 보상가중치,손실구간,0.029702179671989494,0.0023067850777394533,1.0,0.0,45,1.0,
beta,4,foreign,momentum,0.0652625113725662,β 보상가중치,모멘텀,0.06659317687153811,0.008179509724259416,1.0,0.0,45,1.0,
beta,4,foreign,herd,-0.0262814611196517,β 보상가중치,군집,-0.03611457621057823,0.006766294609670223,0.0,1.0,45,1.0,
beta,4,foreign,underwater,0.0080160675570368,β 보상가중치,손실구간,0.015271047664444018,0.007234747054512887,0.9555555555555556,0.044444444444444446,45,0.9555555555555556,
beta,4,institution,momentum,-0.0002767890982795,β 보상가중치,모멘텀,-0.0007514683017992099,0.0013180453731880448,0.3111111111111111,0.6888888888888889,45,0.6888888888888889,
beta,4,institution,herd,-0.0046949265524744,β 보상가중치,군집,-0.004340239058041686,0.0005725782869067401,0.0,1.0,45,1.0,
beta,4,institution,underwater,-0.000323697400745,β 보상가중치,손실구간,-0.0009217574499618339,0.0009719467350269731,0.1111111111111111,0.8888888888888888,45,0.8888888888888888,
beta,4,retail,momentum,-0.0321933031082153,β 보상가중치,모멘텀,-0.031922012112206834,0.0010690177093867406,0.0,1.0,45,1.0,
beta,4,retail,herd,-0.0317217111587524,β 보상가중치,군집,-0.032101515059669766,0.0011223234036377826,0.0,1.0,45,1.0,
beta,4,retail,underwater,0.0324115864932537,β 보상가중치,손실구간,0.029702179671989494,0.0023067850777394533,1.0,0.0,45,1.0,
