coefficient,split,investor,feature,weight,parameter_type,parameter,mean,std,positive_rate,negative_rate,split_count,direction_consistency,context
alpha,24,institution,,-0.0001311574596911,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,24,institution,,0.0046399724669754,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,24,retail,,-0.0213845483958721,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,24,retail,,0.022745843976736,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,24,retail,,-0.0101816765964031,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,25,foreign,,0.0434999614953994,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,25,foreign,,-0.0130633385851979,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,25,foreign,,-0.0032023624517023,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,25,institution,,-0.0041155256330966,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,25,institution,,-0.0025872976984828,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,25,institution,,0.0042557856068015,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,25,retail,,-0.0272654090076684,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,25,retail,,0.0268648229539394,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,25,retail,,-4.049419658258557e-05,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,26,foreign,,0.0430081002414226,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,26,foreign,,-0.0285582598298788,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,26,foreign,,0.0010453501017764,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,26,institution,,-0.0044684456661343,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,26,institution,,-0.0025521200150251,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,26,institution,,0.0046407538466155,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,26,retail,,-0.0258981473743915,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,26,retail,,0.0303206238895654,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,26,retail,,-0.0133997490629553,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,27,foreign,,0.0470608994364738,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,27,foreign,,-0.0091176070272922,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,27,foreign,,-0.0131010748445987,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,27,institution,,-0.004413282033056,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,27,institution,,-0.0041878251358866,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,27,institution,,0.0043322658166289,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,27,retail,,-0.0273381620645523,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,27,retail,,0.0301154684275388,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,27,retail,,0.0015480411238968,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,28,foreign,,0.0447474867105484,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,28,foreign,,-0.0175520237535238,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,28,foreign,,-0.0002877769584301,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,28,institution,,-0.0041972049511969,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,28,institution,,-0.0036528292112052,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,28,institution,,0.0043830783106386,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,28,retail,,-0.0240919589996337,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,28,retail,,0.0286555476486682,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,28,retail,,-0.0068765780888497,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,29,foreign,,0.0476447939872741,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,29,foreign,,-0.0163378752768039,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,29,foreign,,-0.0107675129547715,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,29,institution,,-0.004157870542258,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,29,institution,,-0.0031815383117645,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,29,institution,,0.0004542445240076,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,29,retail,,-0.0288104731589555,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,29,retail,,0.0193685218691825,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,29,retail,,0.0146101852878928,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,30,foreign,,0.0380958467721939,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,30,foreign,,-0.0194256864488124,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,30,foreign,,-0.0167911890894174,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,30,institution,,-0.0040894006378948,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,30,institution,,-0.0007738725398667,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,30,institution,,0.0044878353364765,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,30,retail,,-0.02289904281497,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,30,retail,,0.030024642124772,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,30,retail,,0.013035693205893,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,31,foreign,,0.0349914729595184,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,31,foreign,,-0.0339498594403266,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,31,foreign,,-0.0118347899988293,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,31,institution,,-0.0044832872226834,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,31,institution,,-0.0002274713478982,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,31,institution,,0.0047074756585061,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,31,retail,,-0.0201365165412426,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,31,retail,,0.0316889323294162,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,31,retail,,0.0027368222363293,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,32,foreign,,0.0396000668406486,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,32,foreign,,-0.0133984833955764,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,32,foreign,,-0.0250811167061328,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,32,institution,,-0.0044715823605656,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,32,institution,,-0.0035524533595889,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,32,institution,,0.0046015041880309,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,32,retail,,-0.0234091877937316,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,32,retail,,0.0309703946113586,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,32,retail,,0.015245908871293,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,33,foreign,,0.0372390076518058,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,33,foreign,,-0.0243227016180753,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,33,foreign,,-0.0108821373432874,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,33,institution,,-0.0042767697013914,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,33,institution,,-0.0018672888400033,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,33,institution,,0.0045785722322762,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,33,retail,,-0.0205953009426593,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,33,retail,,0.0311442855745553,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,33,retail,,0.0085173705592751,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,34,foreign,,0.0397314764559268,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,34,foreign,,-0.0218585208058357,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,34,foreign,,-0.0227577239274978,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,34,institution,,-0.004270798061043,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,34,institution,,-0.0016127388225868,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,34,institution,,7.06590071786195e-05,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,34,retail,,-0.0240575689822435,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,34,retail,,0.0258263479918241,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,34,retail,,0.0239670183509588,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,35,foreign,,0.0324269458651542,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,35,foreign,,-0.0373573042452335,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,35,foreign,,-0.010166379623115,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,35,institution,,-0.0042549464851617,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,35,institution,,-0.0005427312571555,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,35,institution,,0.004610180389136,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,35,retail,,-0.0269353333860635,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,35,retail,,0.0323508381843566,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,35,retail,,0.0055823251605033,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,36,foreign,,0.0421170368790626,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,36,foreign,,-0.0157869514077901,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,36,foreign,,-0.0258222240954637,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,36,institution,,-0.0041182111017405,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,36,institution,,-0.0035586964804679,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,36,institution,,0.0043897810392081,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,36,retail,,-0.0249529480934143,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,36,retail,,0.0307495668530464,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,36,retail,,0.0203610844910144,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,37,foreign,,0.0407392308115959,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,37,foreign,,-0.0256019476801157,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,37,foreign,,-0.0135917039588093,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,37,institution,,-0.0037956314627081,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,37,institution,,-0.0023883623071014,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,37,institution,,0.0043893042020499,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,37,retail,,-0.0263322014361619,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,37,retail,,0.0317071191966533,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,37,retail,,0.0104558123275637,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,38,foreign,,0.0436082482337951,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,38,foreign,,-0.0231442898511886,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,38,foreign,,-0.0226269494742155,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,38,institution,,-0.0038200409617275,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,38,institution,,-0.0020709375385195,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,38,institution,,0.0001930219004862,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,38,retail,,-0.0283239912241697,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,38,retail,,0.0270979236811399,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,38,retail,,0.0255243442952632,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,39,foreign,,0.0212102197110652,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,39,foreign,,-0.0231330282986164,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,39,foreign,,-0.0198062509298324,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,39,institution,,-0.0044992612674832,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,39,institution,,-0.003731467295438,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,39,institution,,0.0046366960741579,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,39,retail,,-0.0245441105216741,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,39,retail,,0.0325663909316062,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,39,retail,,0.0116123873740434,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,40,foreign,,0.0400746464729309,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,40,foreign,,-0.0470816306769847,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
alpha,40,foreign,,0.0026523594278842,α 컨텍스트 주효과,VKOSPI 변동성,-0.02035666506077779,0.011071461235148164,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,vkospi_1d
alpha,40,institution,,-0.004308667499572,α 컨텍스트 주효과,KOSPI200 수익률,-0.003293890735949343,0.0012257375767805306,0.0,1.0,45,1.0,kospi_return_1d
alpha,40,institution,,-0.002329712966457,α 컨텍스트 주효과,USD/KRW 수준,-0.001980307465136174,0.0015824692985485472,0.044444444444444446,0.9555555555555556,45,0.9555555555555556,fx_level_z_252
alpha,40,institution,,0.0046914066188037,α 컨텍스트 주효과,VKOSPI 변동성,0.003440024608153135,0.0016866053257022149,0.9333333333333333,0.06666666666666667,45,0.9333333333333333,vkospi_1d
alpha,40,retail,,-0.0223897360265254,α 컨텍스트 주효과,KOSPI200 수익률,-0.02586849402222364,0.0026311392637116595,0.0,1.0,45,1.0,kospi_return_1d
alpha,40,retail,,0.0332985110580921,α 컨텍스트 주효과,USD/KRW 수준,0.028760941657755057,0.0031710620093600857,1.0,0.0,45,1.0,fx_level_z_252
alpha,40,retail,,-0.0008786879479885,α 컨텍스트 주효과,VKOSPI 변동성,0.01392996203956294,0.010650923057852155,0.8666666666666667,0.13333333333333333,45,0.8666666666666667,vkospi_1d
alpha,41,foreign,,0.0402741357684135,α 컨텍스트 주효과,KOSPI200 수익률,0.03870597490006018,0.005713392034694856,1.0,0.0,45,1.0,kospi_return_1d
alpha,41,foreign,,-0.0358150862157344,α 컨텍스트 주효과,USD/KRW 수준,-0.02028564017576471,0.009796345914463954,0.0,1.0,45,1.0,fx_level_z_252
