variant,investor,feature,context,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
t3_ep50_lr0p001_l10p003,institution,underwater,fx_level_z_252,0.0016517598842458,0.0016868881832445,0.8444444444444444,0.1555555555555555,positive,0.8444444444444444
t3_ep50_lr0p001_l10p003,institution,herd,kospi_return_1d,-0.0008705037789493,0.0014673968710819,0.4,0.6,negative,0.6
t3_ep50_lr0p001_l10p003,institution,herd,fx_level_z_252,-0.001607170988791,0.0016444880914671,0.1555555555555555,0.8444444444444444,negative,0.8444444444444444
t3_ep50_lr0p001_l10p003,institution,momentum,kospi_return_1d,-0.0003634309544092,0.0015589756973983,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
t3_ep50_lr0p001_l10p003,institution,momentum,fx_level_z_252,0.0003964323831395,0.0006650815440798,0.7333333333333333,0.2666666666666666,positive,0.7333333333333333
t3_ep50_lr0p001_l10p003,institution,volatility,kospi_return_1d,-0.0006902652076354,0.0017846254544498,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
t3_ep50_lr0p001_l10p003,institution,volatility,fx_level_z_252,0.0097359099425375,0.0028328090370542,1.0,0.0,positive,1.0
t3_ep50_lr0p001_l10p003,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
t3_ep50_lr0p001_l10p003,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
t4_ep50_lr0p001_l10p001,institution,underwater,kospi_return_1d,0.0094083704571757,0.0024595067158573,1.0,0.0,positive,1.0
t4_ep50_lr0p001_l10p001,institution,underwater,fx_level_z_252,0.0023567061504258,0.0023775199103183,0.8222222222222222,0.1777777777777777,positive,0.8222222222222222
t4_ep50_lr0p001_l10p001,institution,herd,kospi_return_1d,-0.0011255661487262,0.002205103558175,0.3777777777777777,0.6222222222222222,negative,0.6222222222222222
t4_ep50_lr0p001_l10p001,institution,herd,fx_level_z_252,-0.001680051401652,0.002064568966663,0.2222222222222222,0.7777777777777778,negative,0.7777777777777778
t4_ep50_lr0p001_l10p001,institution,momentum,kospi_return_1d,-0.0003395129839191,0.0021601604472182,0.3555555555555555,0.6444444444444445,negative,0.6444444444444445
t4_ep50_lr0p001_l10p001,institution,momentum,fx_level_z_252,0.0007221804843235,0.0012965899175091,0.6666666666666666,0.3333333333333333,positive,0.6666666666666666
t4_ep50_lr0p001_l10p001,institution,volatility,kospi_return_1d,-0.0007203240922535,0.0025367105584563,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
t4_ep50_lr0p001_l10p001,institution,volatility,fx_level_z_252,0.0108317999997072,0.0030635086658214,1.0,0.0,positive,1.0
t4_ep50_lr0p001_l10p001,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
t4_ep50_lr0p001_l10p001,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
t5_ep50_lr0p001_l10p0003,institution,underwater,kospi_return_1d,0.0103911011893716,0.0027243432738396,1.0,0.0,positive,1.0
t5_ep50_lr0p001_l10p0003,institution,underwater,fx_level_z_252,0.0025918446090751,0.002674098022874,0.8444444444444444,0.1555555555555555,positive,0.8444444444444444
t5_ep50_lr0p001_l10p0003,institution,herd,kospi_return_1d,-0.0012233839821419,0.0025420872170271,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
t5_ep50_lr0p001_l10p0003,institution,herd,fx_level_z_252,-0.0016843513651919,0.0022809031473895,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
t5_ep50_lr0p001_l10p0003,institution,momentum,kospi_return_1d,-0.0002879474447884,0.0024599352879799,0.3555555555555555,0.6444444444444445,negative,0.6444444444444445
t5_ep50_lr0p001_l10p0003,institution,momentum,fx_level_z_252,0.0007979694484068,0.0016604818574149,0.6444444444444445,0.3555555555555555,positive,0.6444444444444445
