variant,year,n,rmse,direction_accuracy,balanced_accuracy,macro_f1,pearson,std_ratio
t6_ep50_lr0p001_l10,2024,244,0.12710087473132067,0.5491803278688525,0.5546041454298335,0.5491500369549149,0.12501543964475642,0.3060773734069097
t6_ep50_lr0p001_l10,2025,241,0.12862455802770253,0.5726141078838174,0.5725550964187328,0.5724963403082752,0.11129304336894766,0.2714563294740143
t7_ep20_lr0p0005_l10p01,2022,243,0.13148475455896072,0.5802469135802469,0.5341660802251935,0.524808282208589,0.14718904744816363,0.11177076276084155
t7_ep20_lr0p0005_l10p01,2023,245,0.11386238655885711,0.5346938775510204,0.5382475194422097,0.5346861255497801,0.14587602538017524,0.10165646370022324
t7_ep20_lr0p0005_l10p01,2024,244,0.1244233921370839,0.5655737704918032,0.5658851512062522,0.5641388608021571,0.12647677837344695,0.1486006034766498
t7_ep20_lr0p0005_l10p01,2025,241,0.12626942567207994,0.5601659751037344,0.5603650137741046,0.5592477570738441,0.13238033660261464,0.1322335625425795
t8_ep30_lr0p0005_l10p01,2022,243,0.13147168833766532,0.5843621399176955,0.5409218859957776,0.5338372998537484,0.14108995454551967,0.1274445062942995
t8_ep30_lr0p0005_l10p01,2023,245,0.11382209252413829,0.5510204081632653,0.5578573344060069,0.5501135149572649,0.15214940621014694,0.1186414585117824
t8_ep30_lr0p0005_l10p01,2024,244,0.12426188220957993,0.569672131147541,0.5687054026503567,0.567573041672996,0.13620307477999355,0.16128340287761275
t8_ep30_lr0p0005_l10p01,2025,241,0.12599500925463658,0.5560165975103735,0.5561294765840221,0.555741235248514,0.14976200260501235,0.14100030332160152
t9_ep20_lr0p001_l10p01,2022,243,0.13140453654950401,0.5843621399176955,0.5409218859957776,0.5338372998537484,0.1347458587982715,0.14964157533958233
t9_ep20_lr0p001_l10p01,2023,245,0.11384439682266981,0.5673469387755102,0.5755564494502547,0.5657190635451506,0.15282107438076326,0.1360527600251674
t9_ep20_lr0p001_l10p01,2024,244,0.12423374358137743,0.5532786885245902,0.553890587835542,0.5520070072599255,0.1453461097858943,0.18253171460602974
t9_ep20_lr0p001_l10p01,2025,241,0.1257470249829308,0.5560165975103735,0.556095041322314,0.5558942564367519,0.16115498095309777,0.15799027172847682
