variant,split,rmse,nrmse,rmse_skill,mse_skill,mae_skill,direction_accuracy,balanced_accuracy,macro_f1,pearson,spearman,std_ratio,tail_direction_accuracy
t0_ep10_lr0p0005_l10p01,0,0.13294456110085046,1.0420254653130165,0.014114013976636697,0.028028887823224102,0.014943249047769336,0.5927835051546392,0.46610576923076924,0.4329374329374329,0.003617935798282276,-0.005731942327209674,0.06040217338418679,0.7346938775510204
t0_ep10_lr0p0005_l10p01,1,0.1355907017681543,1.0072207445700074,0.0072311599543744,0.014410070861429758,0.011903944541759026,0.5618556701030928,0.5362655153804641,0.5265167829557527,0.11577984166137474,0.12846700332411565,0.08067086952641364,0.6938775510204082
t0_ep10_lr0p0005_l10p01,2,0.12469260585462538,1.0146716857274163,0.0055982618717806965,0.011165230680754146,0.005931097064775015,0.5515463917525774,0.5493978590544157,0.5439734133095566,0.12012840977279071,0.12829278514872233,0.09780359487683833,0.5918367346938775
t0_ep10_lr0p0005_l10p01,3,0.1376136483897999,0.9867468095162331,0.01729765779446213,0.034296057242561906,0.01854950760213281,0.6185567010309279,0.5766447368421053,0.5686298076923078,0.23068495713710388,0.25668171900744946,0.08730200389131552,0.7551020408163265
t0_ep10_lr0p0005_l10p01,4,0.13548660356848655,1.0215843531402928,0.011879369976915188,0.02361760965910098,0.016025535481712483,0.5824742268041238,0.5054147465437788,0.494320193081255,0.11797527836283374,0.1501818196759706,0.06736551774806361,0.6530612244897959
t0_ep10_lr0p0005_l10p01,5,0.14491119459840626,1.01332155154054,0.005907555168317424,0.011780230688163695,0.010017651523902549,0.5618556701030928,0.49116947809351297,0.47475712693104,0.03891099548075178,0.09309578301619324,0.08961868283407134,0.6326530612244898
t0_ep10_lr0p0005_l10p01,6,0.12834172640832284,1.0011305711555054,0.008208691963240922,0.01634994051430738,0.015031003673283916,0.5927835051546392,0.585256968641115,0.5847400222180075,0.15456749942852935,0.20394291889404328,0.13547110305745755,0.6326530612244898
t0_ep10_lr0p0005_l10p01,7,0.12629580518946773,1.0092290357263956,0.006822523845737449,0.013598424605436699,0.00503175021451685,0.5721649484536082,0.5476190476190476,0.5478363427030974,0.1314219110325651,0.1419261791570963,0.07946156766267488,0.673469387755102
t0_ep10_lr0p0005_l10p01,8,0.14770546981329594,0.9924239494366631,0.0076239404806826006,0.015189854114879053,0.003439595830039277,0.5685279187817259,0.5501456512692467,0.5412957129160388,0.1448101167854886,0.13336409783110292,0.07149642307573528,0.68
t0_ep10_lr0p0005_l10p01,9,0.11934155615431011,1.0022084542585896,0.007409745393014977,0.014764607349387227,0.005447364751964168,0.5721649484536082,0.5454398273070696,0.5347721822541966,0.17015304559240427,0.11598410670041458,0.07649596816894062,0.673469387755102
t0_ep10_lr0p0005_l10p01,10,0.10664040409403588,1.0092816431955616,0.0048087415804116684,0.009594335128374376,-0.0034275770083540547,0.5824742268041238,0.5467216770740411,0.5459824911155413,0.1416526503510694,0.08017569738631646,0.08394165321035238,0.5918367346938775
t0_ep10_lr0p0005_l10p01,11,0.12223024308132843,0.9843976658864687,0.016589964103487786,0.03290470988890404,0.006474648118704351,0.5979381443298969,0.562828947368421,0.5584733893557423,0.2671924596210133,0.21120255739132932,0.07876351821130774,0.7346938775510204
t0_ep10_lr0p0005_l10p01,12,0.11926000428819838,1.0174922690333799,0.009807471089874231,0.019518759913942585,0.004362680969462462,0.5824742268041238,0.5085253456221198,0.4994744386048734,0.14304381232405802,0.07217152272437781,0.07231979890035925,0.5918367346938775
t0_ep10_lr0p0005_l10p01,13,0.13012522789418762,1.0116768972970118,0.0017508004552371226,0.0034985992799346777,-0.004601378450556748,0.5463917525773195,0.49779236952337824,0.49479166666666663,0.0688307672105931,0.07073997526430623,0.08846577686416657,0.6530612244897959
t0_ep10_lr0p0005_l10p01,14,0.11158099945930942,0.9999946071469487,0.004432595322824695,0.008845539651274104,0.0002699209338545838,0.5309278350515464,0.5349520905923345,0.5294149007063842,0.17860200102648033,0.17830655002814608,0.1487876973680446,0.6122448979591837
t0_ep10_lr0p0005_l10p01,15,0.10906327465703937,1.0078662991851612,0.0023060203951058567,0.004606717671104099,-0.012136749489319199,0.5309278350515464,0.5156510156510157,0.5151465216555436,0.16252085494243795,0.10058880812579865,0.08565126676368694,0.673469387755102
t0_ep10_lr0p0005_l10p01,16,0.1321961904503982,0.9833190755978113,0.018632340204828957,0.03691756291694448,0.004531178186170326,0.5634517766497462,0.55638784852268,0.5563063063063063,0.23716948606517102,0.18958464788776613,0.08515068719671262,0.72
t0_ep10_lr0p0005_l10p01,17,0.11084851769872367,1.0003752085554793,6.054292844348552e-05,0.00012112745999781627,0.004857879475404836,0.5257731958762887,0.5257731958762886,0.5255715045188729,0.06107271178046337,0.06296590007930214,0.06698833156559167,0.5918367346938775
t0_ep10_lr0p0005_l10p01,18,0.12601358691381867,0.9898292152255734,0.0178111096687964,0.03530487194508192,0.02317502099808355,0.5773195876288659,0.578728840625998,0.5772746598639455,0.21055447208304176,0.21405579090531818,0.056791651850719396,0.7142857142857143
