variant,test_year,investor,train_size,test_size,mae,rmse,mse,direction_accuracy,correlation,saturation_rate,actual_mean,predicted_mean,nrmse,rmse_skill,balanced_accuracy,macro_f1,std_ratio,tail_direction_accuracy
e1_persistence,2023,institution,242,245,0.0920862568407533,0.1186369196518468,0.0140747187044787,0.4612244897959183,-0.1620396060898221,0.0,-0.0037147876438304,-0.0024920261507183,1.033005529823152,-0.0022904564106405,0.4554170018771788,0.4546006475984889,0.1433191299438476,0.3870967741935484
e1_persistence,2024,institution,487,244,0.0887166710178656,0.1256844293765339,0.0157965757877049,0.5491803278688525,0.0714975124263068,0.0,-0.012619217739991,0.0031551267536132,1.0094600009383046,-0.0084698159905305,0.5554875976894326,0.5491803278688525,0.1613303571939468,0.5573770491803278
e1_persistence,2025,institution,731,241,0.0992564685412424,0.1261292338726447,0.0159085836373003,0.5518672199170125,0.163137224922378,0.0,0.0090348144119588,0.000103138910106,0.9913183997504016,0.0274469314285162,0.5519283746556474,0.5517977682876429,0.096821442246437,0.6557377049180327
t10_hparam,2023,institution,242,245,0.1203315652348576,0.1549131005211579,0.0239980687130783,0.4448979591836735,-0.2291945296465226,0.0,-0.0037147876438304,-0.0263961839717717,1.3488725522347034,-0.3087655844887482,0.4370809868597479,0.4346409664721054,0.6834849715232849,0.3225806451612903
t10_hparam,2024,institution,487,244,0.0893545649843395,0.1257906993509311,0.0158233000431963,0.5532786885245902,0.1212714546457356,0.0,-0.012619217739991,0.0065468944044741,1.0103135708520476,-0.0093225486327821,0.5636085626911316,0.5526700866201328,0.2296406179666519,0.6065573770491803
t10_hparam,2025,institution,731,241,0.097906022744772,0.1247677129512919,0.0155669821950959,0.5809128630705395,0.2107370157950928,0.0,0.0090348144119588,0.0004896200658112,0.9806174209622794,0.0379453442086351,0.5808195592286501,0.5806529416831769,0.1718807816505432,0.7213114754098361
t2_hparam,2023,institution,242,245,0.1417491949841674,0.179480808847502,0.0322133607445535,0.4285714285714285,-0.2248219927932653,0.0,-0.0037147876438304,-0.0444629222079778,1.5627906005137917,-0.5163230583396645,0.4200187717886833,0.4166666666666666,0.9443539977073668,0.2903225806451613
t2_hparam,2024,institution,487,244,0.0885332121577478,0.1252674496653714,0.0156919339456663,0.5532786885245902,0.1194541088591578,0.0,-0.012619217739991,0.0040687095159407,1.0061109478120749,-0.0051240479692002,0.5600747536527353,0.5532711850172167,0.2119957059621811,0.5901639344262295
t2_hparam,2025,institution,731,241,0.0981726473640178,0.1250220365743709,0.0156305096292033,0.5726141078838174,0.208954841322738,0.0,0.0090348144119588,-0.0014095979330783,0.9826163041408356,0.0359842992310475,0.5724862258953167,0.5721426478445972,0.1593741923570633,0.7049180327868853
t7_hparam,2023,institution,242,245,0.0956717300224616,0.1235632936307119,0.0152678875328695,0.4571428571428571,-0.1978937935647575,0.0,-0.0037147876438304,-0.0051503028838814,1.0759008271282655,-0.0439103179433981,0.4503553231429337,0.4488794926004228,0.2454666346311569,0.3548387096774194
t7_hparam,2024,institution,487,244,0.0897868420983226,0.1264281295392035,0.0159840719387816,0.5409836065573771,0.0998468462751723,0.0,-0.012619217739991,0.0059622231565895,1.015433195108944,-0.0144371510216769,0.5480801902820251,0.5409527648995498,0.2369647175073623,0.5573770491803278
t7_hparam,2025,institution,731,241,0.0988029104971182,0.1256017342728357,0.015775795652344,0.5518672199170125,0.179609301685468,0.0,0.0090348144119588,-0.0006918376569639,0.9871724812198088,0.0315143690852677,0.5519628099173554,0.5516742455560149,0.1492016017436981,0.6557377049180327
t8_hparam,2023,institution,242,245,0.1005043525203625,0.1303859510433501,0.0170004962294788,0.4408163265306122,-0.215299569301048,0.0,-0.0037147876438304,-0.0105941055960269,1.1353076798168884,-0.1015507852750619,0.4332931080718691,0.4311113370959814,0.3606253564357757,0.3064516129032258
t8_hparam,2024,institution,487,244,0.0899758937317737,0.1262029620586045,0.0159271876323655,0.5245901639344263,0.1109221928773046,0.0,-0.012619217739991,0.0064237897889098,1.013624804559777,-0.0126305343328909,0.5332653754672103,0.5243025210084034,0.2387731969356537,0.5573770491803278
t8_hparam,2025,institution,731,241,0.0984399691426149,0.1254827369594763,0.0157459172748411,0.5601659751037344,0.1916560343190027,0.0,0.0090348144119588,-0.0027677360216466,0.9862371901072294,0.0324319554447823,0.5600550964187327,0.5597945960849187,0.1635359227657318,0.7049180327868853
t9_hparam,2023,institution,242,245,0.1068602439351094,0.1388399742131831,0.0192765384395173,0.4408163265306122,-0.2205416996672103,0.0,-0.0037147876438304,-0.0179563532982553,1.208919286405707,-0.1729736466586391,0.432656208098686,0.4298357369753181,0.4828409850597381,0.3064516129032258
t9_hparam,2024,institution,487,244,0.0898195350674675,0.1262841386248404,0.0159476836682179,0.5573770491803278,0.1076295874530033,0.0,-0.012619217739991,0.0044892110025132,1.0142767108020876,-0.0132818011167306,0.56289500509684,0.5573473090102803,0.2541219294071197,0.5573770491803278
t9_hparam,2025,institution,731,241,0.0981933655792362,0.1253625220551058,0.0157157619360169,0.5601659751037344,0.1943593071630288,0.0,0.0090348144119588,-0.0026547048089705,0.9852924125708936,0.0333588486531726,0.5599862258953168,0.5592477570738441,0.1827186644077301,0.6721311475409836
