epoch,train_mse,train_rmse,l1_penalty,total_loss
1,0.06685,0.258554,0.025287,0.066977
2,0.064999,0.254949,0.044082,0.065219
3,0.063357,0.251708,0.05902,0.063652
4,0.061986,0.24897,0.073515,0.062354
5,0.060776,0.246528,0.087296,0.061213
6,0.059635,0.244204,0.099325,0.060132
7,0.05872,0.242322,0.109725,0.059269
8,0.057921,0.240667,0.120147,0.058521
9,0.057196,0.239157,0.129419,0.057843
10,0.056545,0.237792,0.1376,0.057233
11,0.056035,0.236718,0.145857,0.056765
12,0.055587,0.235769,0.153683,0.056355
13,0.055184,0.234912,0.16075,0.055987
14,0.054854,0.23421,0.165942,0.055684
15,0.05456,0.23358,0.171094,0.055415
16,0.054296,0.233016,0.174848,0.055171
17,0.054093,0.232579,0.178161,0.054984
18,0.053908,0.23218,0.181897,0.054817
19,0.053739,0.231817,0.184082,0.054659
20,0.053557,0.231424,0.18576,0.054486
21,0.053418,0.231124,0.187121,0.054354
22,0.053348,0.230972,0.188492,0.05429
23,0.053242,0.230741,0.189602,0.05419
24,0.053127,0.230492,0.191234,0.054083
25,0.053068,0.230364,0.19189,0.054027
26,0.052967,0.230145,0.192064,0.053927
27,0.052902,0.230005,0.192489,0.053865
28,0.052865,0.229924,0.193191,0.053831
29,0.052797,0.229775,0.193836,0.053766
30,0.052745,0.229662,0.194645,0.053718
31,0.052713,0.229592,0.194932,0.053687
32,0.052671,0.229501,0.194899,0.053645
33,0.052633,0.229418,0.195145,0.053608
34,0.052621,0.229392,0.194742,0.053594
35,0.052581,0.229306,0.195395,0.053558
36,0.052559,0.229258,0.195645,0.053538
37,0.052528,0.229189,0.196487,0.05351
38,0.052525,0.229183,0.196892,0.053509
39,0.052513,0.229157,0.196877,0.053497
40,0.052489,0.229105,0.19626,0.053471
41,0.052468,0.22906,0.196875,0.053453
42,0.052455,0.22903,0.197084,0.05344
43,0.052446,0.22901,0.197436,0.053433
44,0.052458,0.229036,0.198747,0.053451
45,0.052426,0.228967,0.198006,0.053416
46,0.05241,0.228933,0.198283,0.053402
47,0.052397,0.228904,0.19846,0.053389
48,0.052405,0.228922,0.199135,0.053401
49,0.052382,0.22887,0.199058,0.053377
50,0.052377,0.22886,0.198905,0.053371
51,0.052373,0.228853,0.199745,0.053372
52,0.052369,0.228843,0.199403,0.053366
53,0.052369,0.228844,0.198986,0.053364
54,0.052373,0.228852,0.199185,0.053369
55,0.052351,0.228804,0.199117,0.053347
56,0.052349,0.228799,0.19895,0.053344
57,0.052342,0.228784,0.198543,0.053335
58,0.052359,0.22882,0.199203,0.053355
59,0.052342,0.228784,0.199249,0.053338
60,0.052347,0.228794,0.199223,0.053343
61,0.052331,0.228759,0.199616,0.053329
62,0.052337,0.228774,0.199479,0.053335
63,0.052331,0.228759,0.199678,0.053329
64,0.052325,0.228747,0.199568,0.053323
65,0.05233,0.228758,0.199568,0.053328
66,0.052326,0.228749,0.20028,0.053327
67,0.052323,0.228742,0.199985,0.053323
68,0.052332,0.228761,0.19934,0.053328
69,0.052326,0.228749,0.199317,0.053322
70,0.052323,0.228742,0.200009,0.053323
71,0.052321,0.228738,0.198748,0.053315
72,0.052322,0.228741,0.198035,0.053313
73,0.052326,0.228749,0.198068,0.053316
74,0.05233,0.228758,0.198377,0.053322
75,0.052327,0.228751,0.197902,0.053317
76,0.052318,0.228731,0.19841,0.05331
77,0.052323,0.228742,0.198712,0.053317
78,0.05233,0.228756,0.199857,0.053329
79,0.05232,0.228737,0.199676,0.053319
80,0.052323,0.228741,0.199321,0.053319
81,0.05233,0.228757,0.199279,0.053326
82,0.052321,0.228738,0.199073,0.053316
83,0.05232,0.228735,0.199352,0.053316
84,0.05232,0.228735,0.199072,0.053315
85,0.052315,0.228726,0.198843,0.05331
86,0.05233,0.228757,0.199267,0.053326
87,0.052319,0.228734,0.198867,0.053314
88,0.052321,0.228737,0.198791,0.053315
89,0.052331,0.22876,0.200374,0.053333
90,0.052312,0.228719,0.200343,0.053314
91,0.05232,0.228736,0.20062,0.053323
92,0.052323,0.228742,0.200702,0.053327
93,0.052315,0.228725,0.200802,0.053319
94,0.052307,0.228708,0.201148,0.053313
95,0.052318,0.228732,0.200795,0.053322
96,0.052328,0.228752,0.199249,0.053324
97,0.052319,0.228734,0.199066,0.053314
98,0.052309,0.228711,0.199136,0.053304
99,0.052316,0.228728,0.198838,0.053311
100,0.052322,0.228739,0.198754,0.053315
101,0.052318,0.22873,0.199365,0.053314
102,0.052315,0.228725,0.19932,0.053312
103,0.052305,0.228702,0.199645,0.053303
104,0.052311,0.228717,0.200431,0.053314
105,0.052312,0.228719,0.19994,0.053312
106,0.052316,0.228727,0.199421,0.053313
107,0.05232,0.228736,0.199364,0.053317
108,0.052313,0.228721,0.199855,0.053313
109,0.052314,0.228722,0.199884,0.053313
110,0.052306,0.228705,0.200092,0.053307
111,0.052312,0.228718,0.199871,0.053311
112,0.052327,0.228751,0.199601,0.053325
113,0.052312,0.228718,0.199227,0.053308
114,0.052314,0.228722,0.199095,0.053309
115,0.052317,0.22873,0.198992,0.053312
116,0.052316,0.228728,0.198898,0.053311
117,0.052327,0.228751,0.198386,0.053319
118,0.052319,0.228734,0.199132,0.053315
119,0.05232,0.228736,0.200022,0.05332
120,0.052309,0.228712,0.199323,0.053306
121,0.052309,0.228712,0.199411,0.053306
122,0.052311,0.228715,0.199658,0.053309
123,0.052317,0.228729,0.199839,0.053316
124,0.052312,0.228718,0.199682,0.05331
125,0.052315,0.228724,0.199556,0.053313
126,0.052317,0.228729,0.199341,0.053314
127,0.052312,0.228717,0.199212,0.053308
128,0.052314,0.228722,0.199168,0.05331
129,0.052315,0.228724,0.199286,0.053311
130,0.05231,0.228713,0.199151,0.053305
131,0.052318,0.228731,0.199492,0.053315
132,0.052319,0.228734,0.199618,0.053318
133,0.052318,0.22873,0.200018,0.053318
134,0.052317,0.228728,0.200094,0.053317
135,0.052315,0.228724,0.199646,0.053313
136,0.052314,0.228722,0.200027,0.053314
137,0.052307,0.228708,0.200316,0.053309
138,0.05232,0.228735,0.199204,0.053316
139,0.052315,0.228724,0.199106,0.05331
140,0.05232,0.228736,0.198262,0.053311
141,0.052323,0.228743,0.198699,0.053317
142,0.052313,0.22872,0.19904,0.053308
143,0.052314,0.228723,0.19843,0.053306
144,0.052313,0.228719,0.198451,0.053305
145,0.052317,0.228728,0.198577,0.053309
146,0.052324,0.228744,0.198778,0.053318
147,0.052335,0.228769,0.199146,0.053331
148,0.05232,0.228735,0.198747,0.053313
149,0.052309,0.228713,0.199008,0.053304
150,0.052325,0.228747,0.199987,0.053325
