epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,0.0029567896854132414
1,beta,persist,,0.003003917634487152
1,beta,underwater,,-0.0022430045064538717
1,B,momentum,kospi_return_1d,6.075910641811788e-05
1,B,momentum,fx_level_z_252,-0.0026832320727407932
1,B,persist,kospi_return_1d,0.00019434100249782205
1,B,persist,fx_level_z_252,-0.001146469614468515
1,B,underwater,kospi_return_1d,0.0016927444376051426
1,B,underwater,fx_level_z_252,-0.0009081093012355268
1,alpha,,kospi_return_1d,0.002868741052225232
1,alpha,,fx_level_z_252,-0.0028967643156647682
2,beta,momentum,,0.0058709667064249516
2,beta,persist,,0.0059668743051588535
2,beta,underwater,,-0.0037248763255774975
2,B,momentum,kospi_return_1d,-0.001178668113425374
2,B,momentum,fx_level_z_252,-0.004638365935534239
2,B,persist,kospi_return_1d,-0.0004358157457318157
2,B,persist,fx_level_z_252,-0.0020365887321531773
2,B,underwater,kospi_return_1d,0.002683625090867281
2,B,underwater,fx_level_z_252,0.0007645529112778604
2,alpha,,kospi_return_1d,0.005696197971701622
2,alpha,,fx_level_z_252,-0.005709972232580185
3,beta,momentum,,0.008740955963730812
3,beta,persist,,0.00891297496855259
3,beta,underwater,,-0.004491342231631279
3,B,momentum,kospi_return_1d,-0.0011959865223616362
3,B,momentum,fx_level_z_252,-0.0065507302060723305
3,B,persist,kospi_return_1d,-0.0001627380115678534
3,B,persist,fx_level_z_252,-0.002974484581500292
3,B,underwater,kospi_return_1d,0.0024524801410734653
3,B,underwater,fx_level_z_252,0.0022646256256848574
3,alpha,,kospi_return_1d,0.008355190977454185
3,alpha,,fx_level_z_252,-0.008498037233948708
4,beta,momentum,,0.011592218652367592
4,beta,persist,,0.011823926120996475
4,beta,underwater,,-0.0052588325925171375
4,B,momentum,kospi_return_1d,-0.0011653590481728315
4,B,momentum,fx_level_z_252,-0.008112543262541294
4,B,persist,kospi_return_1d,0.0005326379905454814
4,B,persist,fx_level_z_252,-0.0029193421360105276
4,B,underwater,kospi_return_1d,0.0019813822582364082
4,B,underwater,fx_level_z_252,0.0029743462800979614
4,alpha,,kospi_return_1d,0.010957028716802597
4,alpha,,fx_level_z_252,-0.010955004952847958
5,beta,momentum,,0.014376775361597538
5,beta,persist,,0.014678113162517548
5,beta,underwater,,-0.0053185769356787205
5,B,momentum,kospi_return_1d,-0.0008939350373111665
5,B,momentum,fx_level_z_252,-0.009522327221930027
5,B,persist,kospi_return_1d,0.0007968370919115841
5,B,persist,fx_level_z_252,-0.002472710097208619
5,B,underwater,kospi_return_1d,0.0008821428054943681
5,B,underwater,fx_level_z_252,0.003653789171949029
5,alpha,,kospi_return_1d,0.013319229707121849
5,alpha,,fx_level_z_252,-0.013299566693603992
6,beta,momentum,,0.017045358195900917
6,beta,persist,,0.01744263991713524
6,beta,underwater,,-0.0053325523622334
6,B,momentum,kospi_return_1d,-0.0005855291965417564
6,B,momentum,fx_level_z_252,-0.010775485076010227
6,B,persist,kospi_return_1d,0.0008442156831733882
6,B,persist,fx_level_z_252,-0.0020955556537956
6,B,underwater,kospi_return_1d,-8.329378033522516e-05
6,B,underwater,fx_level_z_252,0.0038344322238117456
6,alpha,,kospi_return_1d,0.015497676096856594
6,alpha,,fx_level_z_252,-0.01542001124471426
7,beta,momentum,,0.01962563954293728
7,beta,persist,,0.020143695175647736
7,beta,underwater,,-0.004791604820638895
7,B,momentum,kospi_return_1d,-0.000851120101287961
7,B,momentum,fx_level_z_252,-0.011369098909199238
7,B,persist,kospi_return_1d,0.00015180232003331184
7,B,persist,fx_level_z_252,-0.0011849281145259738
7,B,underwater,kospi_return_1d,-0.0007643660646863282
7,B,underwater,fx_level_z_252,0.003948799334466457
7,alpha,,kospi_return_1d,0.017565039917826653
7,alpha,,fx_level_z_252,-0.017426850274205208
8,beta,momentum,,0.022054895758628845
8,beta,persist,,0.022794479504227638
8,beta,underwater,,-0.0040832520462572575
8,B,momentum,kospi_return_1d,-0.0013744250172749162
8,B,momentum,fx_level_z_252,-0.011692870408296585
8,B,persist,kospi_return_1d,-0.0003085267962887883
8,B,persist,fx_level_z_252,-0.0005023586563766003
8,B,underwater,kospi_return_1d,-0.0010519188363105059
8,B,underwater,fx_level_z_252,0.0038662052247673273
8,alpha,,kospi_return_1d,0.019228249788284302
8,alpha,,fx_level_z_252,-0.01911964640021324
9,beta,momentum,,0.024386849254369736
9,beta,persist,,0.025336675345897675
9,beta,underwater,,-0.002840211382135749
9,B,momentum,kospi_return_1d,-0.0018461616709828377
9,B,momentum,fx_level_z_252,-0.01183378417044878
9,B,persist,kospi_return_1d,-0.0006796387024223804
9,B,persist,fx_level_z_252,0.00027311843587085605
9,B,underwater,kospi_return_1d,-0.0012482964666560292
9,B,underwater,fx_level_z_252,0.003440644359216094
9,alpha,,kospi_return_1d,0.02066677436232567
9,alpha,,fx_level_z_252,-0.020628364756703377
10,beta,momentum,,0.02651059441268444
10,beta,persist,,0.027768371626734734
