epoch,train_mse,train_rmse,l1_penalty,total_loss
1,0.01659,0.128801,0.0055,0.016617
2,0.016533,0.128581,0.008317,0.016575
3,0.016486,0.128398,0.011221,0.016542
4,0.016445,0.128236,0.013616,0.016513
5,0.016406,0.128086,0.015309,0.016483
6,0.01637,0.127945,0.016932,0.016455
7,0.016336,0.127814,0.019074,0.016432
8,0.016306,0.127693,0.021121,0.016411
9,0.016275,0.127575,0.022723,0.016389
10,0.016246,0.127461,0.024566,0.016369
11,0.016219,0.127356,0.026077,0.01635
12,0.016194,0.127254,0.027587,0.016332
13,0.016169,0.127158,0.029281,0.016316
14,0.016146,0.127068,0.030603,0.016299
15,0.016125,0.126983,0.031521,0.016282
16,0.016104,0.126902,0.032551,0.016267
17,0.016085,0.126828,0.033382,0.016252
18,0.016068,0.126759,0.033962,0.016238
19,0.016051,0.126693,0.034392,0.016223
20,0.016035,0.126631,0.034912,0.01621
21,0.016021,0.126573,0.035454,0.016198
22,0.016006,0.126516,0.035949,0.016186
23,0.015992,0.126461,0.036448,0.016175
24,0.015979,0.126406,0.037071,0.016164
25,0.015965,0.126352,0.037608,0.016153
26,0.015952,0.126301,0.038199,0.016143
27,0.01594,0.126254,0.03867,0.016133
28,0.015929,0.12621,0.039092,0.016125
29,0.015919,0.126169,0.039393,0.016116
30,0.015909,0.126131,0.039551,0.016107
31,0.0159,0.126095,0.039959,0.0161
32,0.015891,0.126061,0.040419,0.016094
33,0.015883,0.126028,0.040717,0.016087
34,0.015875,0.125995,0.041198,0.016081
35,0.015866,0.125961,0.041663,0.016075
36,0.015858,0.12593,0.042229,0.016069
37,0.015851,0.125899,0.042814,0.016065
38,0.015843,0.12587,0.043397,0.01606
39,0.015836,0.125841,0.043914,0.016055
40,0.015829,0.125813,0.04458,0.016052
41,0.015821,0.125782,0.045369,0.016048
42,0.015814,0.125754,0.046023,0.016044
43,0.015807,0.125727,0.046527,0.01604
44,0.015801,0.125702,0.047045,0.016036
45,0.015795,0.125678,0.047681,0.016033
46,0.01579,0.125657,0.048212,0.016031
47,0.015785,0.125638,0.048638,0.016028
48,0.01578,0.125619,0.049076,0.016026
49,0.015775,0.1256,0.049574,0.016023
50,0.015771,0.125583,0.050032,0.016021
51,0.015767,0.125569,0.050327,0.016019
52,0.015764,0.125556,0.050624,0.016017
53,0.015761,0.125545,0.050829,0.016016
54,0.015759,0.125535,0.051075,0.016014
55,0.015757,0.125526,0.051214,0.016013
56,0.015755,0.125518,0.051489,0.016012
57,0.015753,0.12551,0.051756,0.016012
58,0.015751,0.125502,0.052146,0.016011
59,0.015748,0.125491,0.0525,0.016011
60,0.015746,0.125482,0.052715,0.016009
61,0.015744,0.125474,0.053062,0.016009
62,0.015742,0.125466,0.053343,0.016008
63,0.01574,0.125459,0.053516,0.016008
64,0.015739,0.125454,0.053667,0.016007
65,0.015737,0.125449,0.05368,0.016006
66,0.015736,0.125445,0.05383,0.016006
67,0.015736,0.125442,0.053898,0.016005
68,0.015735,0.12544,0.053891,0.016005
69,0.015735,0.125438,0.053899,0.016004
70,0.015735,0.125437,0.053951,0.016004
71,0.015734,0.125435,0.05405,0.016004
72,0.015733,0.125433,0.054132,0.016004
73,0.015733,0.125431,0.054263,0.016004
74,0.015732,0.125428,0.054439,0.016004
75,0.015732,0.125426,0.054546,0.016004
