epoch,train_mse,train_rmse,l1_penalty,total_loss
1,0.063414,0.251822,0.023822,0.063533
2,0.061485,0.247961,0.043611,0.061703
3,0.05985,0.244644,0.062649,0.060164
4,0.05835,0.241557,0.080213,0.058751
5,0.057108,0.238974,0.096724,0.057592
6,0.056047,0.236742,0.112562,0.05661
7,0.05518,0.234904,0.126414,0.055812
8,0.054377,0.233189,0.138351,0.055069
9,0.053851,0.232059,0.148823,0.054595
10,0.053275,0.230814,0.157612,0.054063
11,0.052881,0.229959,0.164397,0.053703
12,0.052575,0.229293,0.169867,0.053425
13,0.052273,0.228633,0.173333,0.05314
14,0.052052,0.228149,0.17641,0.052934
15,0.051883,0.227779,0.179891,0.052783
16,0.051716,0.227412,0.18269,0.05263
17,0.051579,0.22711,0.183998,0.052499
18,0.05149,0.226915,0.183686,0.052409
19,0.051376,0.226662,0.184727,0.052299
20,0.05131,0.226517,0.184283,0.052231
21,0.051218,0.226314,0.184909,0.052143
22,0.051147,0.226156,0.185044,0.052072
23,0.051086,0.226022,0.185312,0.052012
24,0.05104,0.225921,0.184624,0.051963
25,0.050993,0.225816,0.18427,0.051914
26,0.050961,0.225745,0.185186,0.051887
27,0.050906,0.225623,0.184748,0.05183
28,0.050879,0.225565,0.184272,0.051801
29,0.050855,0.225511,0.183144,0.051771
30,0.050845,0.225489,0.181843,0.051755
31,0.050814,0.225419,0.182103,0.051724
32,0.050783,0.225352,0.181903,0.051693
33,0.050772,0.225327,0.181921,0.051682
34,0.050755,0.225289,0.182132,0.051666
35,0.050726,0.225225,0.182336,0.051638
36,0.050718,0.225206,0.181911,0.051627
37,0.050714,0.225197,0.181913,0.051623
38,0.050696,0.225158,0.181784,0.051605
39,0.050688,0.225139,0.181245,0.051594
40,0.050671,0.225102,0.181063,0.051576
41,0.050667,0.225094,0.181159,0.051573
42,0.050657,0.225071,0.181904,0.051566
43,0.050646,0.225047,0.181373,0.051553
44,0.050655,0.225067,0.180131,0.051556
45,0.050643,0.225041,0.179196,0.051539
46,0.050638,0.225029,0.179532,0.051536
47,0.050637,0.225026,0.179781,0.051535
48,0.050624,0.224998,0.180229,0.051525
49,0.050622,0.224993,0.181484,0.051529
50,0.050618,0.224984,0.180981,0.051523
51,0.050617,0.224982,0.180748,0.051521
52,0.05061,0.224967,0.18009,0.05151
53,0.050602,0.22495,0.179966,0.051502
54,0.050607,0.224961,0.180752,0.051511
55,0.050619,0.224986,0.180264,0.05152
56,0.050609,0.224965,0.179937,0.051509
57,0.050599,0.224943,0.180282,0.051501
58,0.050605,0.224957,0.180428,0.051508
59,0.050598,0.224941,0.180474,0.051501
60,0.050596,0.224936,0.179748,0.051495
61,0.050599,0.224943,0.179311,0.051496
62,0.050597,0.224937,0.179148,0.051493
63,0.050603,0.224952,0.179105,0.051499
64,0.050604,0.224953,0.178933,0.051499
65,0.050598,0.22494,0.178856,0.051492
66,0.050596,0.224935,0.178588,0.051489
67,0.050608,0.224963,0.178203,0.0515
68,0.050598,0.224941,0.178554,0.051491
69,0.050598,0.22494,0.178366,0.05149
70,0.050605,0.224955,0.178707,0.051499
71,0.050601,0.224947,0.179091,0.051496
72,0.050596,0.224936,0.179584,0.051494
73,0.050595,0.224934,0.179931,0.051495
74,0.050586,0.224913,0.179739,0.051485
75,0.050598,0.224939,0.179634,0.051496
76,0.050598,0.22494,0.179911,0.051497
77,0.050593,0.224928,0.179597,0.051491
78,0.050594,0.224931,0.178866,0.051488
79,0.050597,0.224937,0.179237,0.051493
80,0.050597,0.224937,0.179302,0.051493
81,0.050596,0.224936,0.17882,0.05149
82,0.050606,0.224957,0.178358,0.051497
83,0.050607,0.22496,0.17787,0.051496
84,0.050606,0.224958,0.177478,0.051494
85,0.050608,0.224961,0.178923,0.051502
86,0.050596,0.224935,0.179442,0.051493
87,0.050597,0.224939,0.179694,0.051496
88,0.050592,0.224926,0.17955,0.05149
89,0.050596,0.224936,0.180073,0.051496
90,0.050596,0.224936,0.179883,0.051496
91,0.050598,0.22494,0.178956,0.051493
92,0.050609,0.224964,0.178254,0.0515
93,0.050602,0.224949,0.178452,0.051494
94,0.050601,0.224947,0.178686,0.051495
95,0.050597,0.224938,0.178889,0.051492
96,0.0506,0.224944,0.178872,0.051494
97,0.050607,0.22496,0.178202,0.051498
98,0.050601,0.224947,0.177717,0.05149
99,0.0506,0.224944,0.178459,0.051492
100,0.050599,0.224943,0.178379,0.051491
101,0.050608,0.224962,0.178315,0.051499
102,0.050608,0.224961,0.177978,0.051498
103,0.05061,0.224967,0.178589,0.051503
104,0.050595,0.224932,0.179467,0.051492
105,0.050601,0.224946,0.17917,0.051497
106,0.050602,0.224948,0.178557,0.051495
107,0.050603,0.22495,0.178214,0.051494
108,0.050601,0.224946,0.177776,0.05149
109,0.050601,0.224947,0.178193,0.051492
110,0.050606,0.224957,0.178771,0.051499
111,0.0506,0.224945,0.17911,0.051496
112,0.050591,0.224924,0.179034,0.051486
113,0.050597,0.224938,0.178631,0.05149
114,0.050595,0.224933,0.178443,0.051487
115,0.050606,0.224959,0.177889,0.051496
116,0.050606,0.224958,0.178861,0.0515
117,0.050591,0.224924,0.178982,0.051486
