epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,0.00049999775364995
1,beta,persist,,0.000499999790918082
1,beta,underwater,,-0.000499999092426151
1,B,momentum,kospi_return_1d,0.0004999994998797774
1,B,momentum,fx_level_z_252,0.0004999962402507663
1,B,persist,kospi_return_1d,-0.0004999994416721165
1,B,persist,fx_level_z_252,0.0004999851807951927
1,B,underwater,kospi_return_1d,0.0004999996162950993
1,B,underwater,fx_level_z_252,0.0004999992670491338
1,alpha,,kospi_return_1d,-0.0004999997327104211
1,alpha,,fx_level_z_252,-0.0004999994998797774
2,beta,momentum,,0.0003441901062615216
2,beta,persist,,0.0009966024663299322
2,beta,underwater,,-0.0007624704157933593
2,B,momentum,kospi_return_1d,0.0009550029062665999
2,B,momentum,fx_level_z_252,0.0002419973025098443
2,B,persist,kospi_return_1d,-0.0009470169898122549
2,B,persist,fx_level_z_252,0.00014885884593240917
2,B,underwater,kospi_return_1d,0.0009685369441285729
2,B,underwater,fx_level_z_252,0.0009360094554722309
2,alpha,,kospi_return_1d,-0.0009922049939632416
2,alpha,,fx_level_z_252,-0.0009552883566357195
3,beta,momentum,,4.411215195432305e-05
3,beta,persist,,0.0014921261463314295
3,beta,underwater,,-0.0008457613876089454
3,B,momentum,kospi_return_1d,0.0013807681389153004
3,B,momentum,fx_level_z_252,-0.00011154051753692329
3,B,persist,kospi_return_1d,-0.001365327974781394
3,B,persist,fx_level_z_252,-0.00026578138931654394
3,B,underwater,kospi_return_1d,0.0014187361812219024
3,B,underwater,fx_level_z_252,0.0013417870504781604
3,alpha,,kospi_return_1d,-0.0014824006939306855
3,alpha,,fx_level_z_252,-0.0013899740297347307
4,beta,momentum,,-0.0003161804052069783
4,beta,persist,,0.0019868859089910984
4,beta,underwater,,-0.0007907375693321228
4,B,momentum,kospi_return_1d,0.0017730158288031816
4,B,momentum,fx_level_z_252,-5.9395268181106076e-05
4,B,persist,kospi_return_1d,-0.0017571024363860488
4,B,persist,fx_level_z_252,-0.0003505556960590184
4,B,underwater,kospi_return_1d,0.0018523390172049403
4,B,underwater,fx_level_z_252,0.0017183898016810417
4,alpha,,kospi_return_1d,-0.001971000572666526
4,alpha,,fx_level_z_252,-0.0018088630167767406
5,beta,momentum,,-0.00034899680758826435
5,beta,persist,,0.0024809318128973246
5,beta,underwater,,-0.0006363120628520846
5,B,momentum,kospi_return_1d,0.0021304914262145758
5,B,momentum,fx_level_z_252,0.00014615814143326133
5,B,persist,kospi_return_1d,-0.0021140924654901028
5,B,persist,fx_level_z_252,-0.00026416959008201957
5,B,underwater,kospi_return_1d,0.0022694377694278955
5,B,underwater,fx_level_z_252,0.002063405467197299
5,alpha,,kospi_return_1d,-0.002457716502249241
5,alpha,,fx_level_z_252,-0.002211860381066799
6,beta,momentum,,-0.0002263594651594758
6,beta,persist,,0.0029741704929620028
6,beta,underwater,,-0.00041144777787849307
6,B,momentum,kospi_return_1d,0.0024506745394319296
6,B,momentum,fx_level_z_252,0.0002643232874106616
6,B,persist,kospi_return_1d,-0.0024254729505628347
6,B,persist,fx_level_z_252,-7.719718269072473e-05
6,B,underwater,kospi_return_1d,0.0026697423309087753
6,B,underwater,fx_level_z_252,0.0023719891905784607
6,alpha,,kospi_return_1d,-0.0029424838721752167
6,alpha,,fx_level_z_252,-0.0025939051993191242
7,beta,momentum,,-1.3905897503718734e-05
7,beta,persist,,0.003466462017968297
7,beta,underwater,,-0.00013636497897095978
7,B,momentum,kospi_return_1d,0.0027286969125270844
7,B,momentum,fx_level_z_252,0.0003116279258392751
7,B,persist,kospi_return_1d,-0.0026809859555214643
7,B,persist,fx_level_z_252,0.00017390071297995746
7,B,underwater,kospi_return_1d,0.003053033724427223
7,B,underwater,fx_level_z_252,0.002637644298374653
7,alpha,,kospi_return_1d,-0.0034252279438078403
7,alpha,,fx_level_z_252,-0.002948123961687088
8,beta,momentum,,0.0002550828503444791
8,beta,persist,,0.003957648295909166
8,beta,underwater,,0.0001747453643474728
8,B,momentum,kospi_return_1d,0.002959084464237094
8,B,momentum,fx_level_z_252,0.00030164094641804695
8,B,persist,kospi_return_1d,-0.002872929908335209
8,B,persist,fx_level_z_252,0.0003003007732331753
8,B,underwater,kospi_return_1d,0.0034192462917417288
8,B,underwater,fx_level_z_252,0.0028541062492877245
8,alpha,,kospi_return_1d,-0.003905844409018755
8,alpha,,fx_level_z_252,-0.0032667580526322126
9,beta,momentum,,0.00040209159487858415
9,beta,persist,,0.004447560291737318
9,beta,underwater,,0.00023060366220306605
9,B,momentum,kospi_return_1d,0.0031361719593405724
9,B,momentum,fx_level_z_252,0.00024614096037112176
9,B,persist,kospi_return_1d,-0.0029994577635079622
9,B,persist,fx_level_z_252,0.00032660196302458644
9,B,underwater,kospi_return_1d,0.0037685323040932417
9,B,underwater,fx_level_z_252,0.0030154536943882704
9,alpha,,kospi_return_1d,-0.004384185653179884
9,alpha,,fx_level_z_252,-0.0035420311614871025
