epoch,train_mse,train_rmse,l1_penalty,total_loss
1,0.01716,0.130995,0.0055,0.017187
2,0.017086,0.130714,0.009243,0.017132
3,0.017025,0.130481,0.012249,0.017086
4,0.016972,0.130276,0.015459,0.017049
5,0.016925,0.130095,0.01848,0.017017
6,0.016882,0.129931,0.020759,0.016986
7,0.016843,0.129779,0.022959,0.016957
8,0.016807,0.12964,0.025585,0.016934
9,0.016773,0.129511,0.027649,0.016911
10,0.016742,0.12939,0.029287,0.016888
11,0.016712,0.129276,0.03077,0.016866
12,0.016685,0.129169,0.032024,0.016845
13,0.016659,0.129069,0.033007,0.016824
14,0.016635,0.128975,0.033648,0.016803
15,0.016612,0.128886,0.034044,0.016782
16,0.01659,0.128804,0.034404,0.016762
17,0.016571,0.128728,0.034823,0.016745
18,0.016553,0.128658,0.035203,0.016729
19,0.016536,0.128592,0.035498,0.016713
20,0.016519,0.128528,0.035762,0.016698
21,0.016504,0.128467,0.036333,0.016685
22,0.016488,0.128406,0.036957,0.016673
23,0.016473,0.128347,0.037661,0.016661
24,0.016458,0.128289,0.03888,0.016652
25,0.016442,0.128228,0.040053,0.016643
26,0.016426,0.128162,0.04128,0.016632
27,0.016408,0.128095,0.042335,0.01662
28,0.016392,0.12803,0.043618,0.01661
29,0.016376,0.127968,0.044749,0.0166
30,0.016361,0.127911,0.045869,0.01659
31,0.016348,0.127858,0.046783,0.016582
32,0.016335,0.127809,0.047469,0.016572
33,0.016323,0.127763,0.048197,0.016564
34,0.016312,0.127718,0.048846,0.016556
35,0.016301,0.127676,0.049336,0.016548
36,0.016291,0.127638,0.049652,0.01654
37,0.016283,0.127604,0.049822,0.016532
38,0.016275,0.127574,0.05011,0.016526
39,0.016268,0.127547,0.050262,0.01652
40,0.016262,0.127522,0.050412,0.016514
41,0.016256,0.127498,0.050673,0.016509
42,0.016249,0.127473,0.051059,0.016505
43,0.016243,0.127447,0.051479,0.0165
44,0.016236,0.12742,0.052047,0.016496
45,0.016229,0.127394,0.052601,0.016492
46,0.016223,0.127369,0.053087,0.016488
47,0.016217,0.127346,0.05357,0.016485
48,0.016212,0.127325,0.053964,0.016481
49,0.016206,0.127304,0.054463,0.016479
50,0.016201,0.127283,0.054966,0.016476
51,0.016196,0.127262,0.055394,0.016473
52,0.016191,0.127243,0.055886,0.01647
53,0.016187,0.127226,0.056302,0.016468
54,0.016182,0.12721,0.056563,0.016465
55,0.016178,0.127194,0.057034,0.016464
56,0.016175,0.12718,0.057429,0.016462
57,0.016171,0.127165,0.057809,0.01646
58,0.016168,0.127152,0.058209,0.016459
59,0.016164,0.127139,0.058562,0.016457
60,0.016161,0.127127,0.058875,0.016456
61,0.016159,0.127116,0.059102,0.016454
62,0.016156,0.127107,0.05926,0.016453
63,0.016154,0.127099,0.059363,0.016451
64,0.016152,0.127092,0.059557,0.01645
65,0.016151,0.127086,0.059846,0.01645
66,0.016149,0.127077,0.060228,0.01645
67,0.016146,0.127066,0.060743,0.01645
68,0.016143,0.127054,0.061236,0.016449
69,0.01614,0.127043,0.061688,0.016448
70,0.016137,0.127033,0.06209,0.016448
71,0.016135,0.127024,0.06238,0.016447
72,0.016133,0.127017,0.062696,0.016447
73,0.016131,0.12701,0.062899,0.016446
74,0.01613,0.127004,0.062982,0.016445
75,0.016129,0.127001,0.062958,0.016444
