split,investor,n_epochs,loss_first,loss_last,drop_share_by_80pct_epochs,final_step_share_of_drop,weight_final_step_max_abs,weight_final_step_rel
0,foreign,75,0.063828,0.056873,0.9506829618979147,-0.0027318475916604163,0.0011209398508072038,0.024034625196434848
0,institution,10,0.01531,0.015137,0.8786127167630056,0.05780346820809973,0.00047170603647820036,0.09696106083706091
0,retail,20,0.109619,0.099515,0.9651623119556619,0.0058392715756125976,0.0010567903518677,0.033626530251313104
1,foreign,75,0.063701,0.055999,1.0007790184367695,-0.0006491820306411407,0.0002497141249478002,0.005225287484987713
1,institution,10,0.015096,0.014922,0.8793103448275855,0.057471264367823544,0.0004712077789008999,0.09688036921944188
1,retail,20,0.103683,0.091999,0.9639678192399859,0.004878466278671815,0.000910041853785501,0.028361832841687237
2,foreign,75,0.061091,0.053601,1.0004005340453943,-0.0008010680907885185,0.00038405880331999955,0.008241905173203003
2,institution,10,0.015776,0.015556,0.8863636363636399,0.04999999999999527,0.0004720957949758001,0.09696627578927673
2,retail,20,0.103024,0.094641,0.9778122390552318,0.006083740904210364,0.0007206276059151008,0.023837343849391592
3,foreign,75,0.066336,0.058465,0.9992377080421803,0.0017786812349129867,0.0001501627266407,0.003157009965622098
3,institution,10,0.014714,0.014556,0.9050632911392335,0.04430379746835478,0.0004602153785525998,0.09569410651997202
3,retail,20,0.106334,0.097521,0.9752638148190163,0.00408487461704394,0.0008861403912306005,0.0285962603054751
4,foreign,75,0.063038,0.055487,1.000264865580718,0.0001324327903590254,0.00021194294095040062,0.004981039079790119
4,institution,10,0.014837,0.014689,0.8513513513513539,0.0743243243243172,0.0004719309508801001,0.0970045352068724
4,retail,20,0.111141,0.099912,0.9631311781993056,0.011666221391041596,0.0008876211941242981,0.02789665351150416
5,foreign,75,0.059563,0.053587,1.0,0.0011713520749665441,0.00028751501668002494,0.008387137167839223
5,institution,10,0.014426,0.014246,0.8611111111111068,0.07222222222222714,0.0004749484360217996,0.09736373221403515
5,retail,20,0.110743,0.103232,0.9651178271867928,0.005858074823592388,0.0008570197969675012,0.028470430221800708
6,foreign,75,0.063923,0.057042,0.9995640168580154,-0.0014532771399510354,0.0003827284090220989,0.00824128079885458
6,institution,10,0.015522,0.01531,0.877358490566037,0.05660377358490535,0.0004712482914329,0.09693914987263727
6,retail,20,0.114939,0.104793,0.9648137196924901,0.006209343583679034,0.0009267125278712013,0.029084286762856324
7,foreign,75,0.063838,0.055074,0.999657690552259,0.0010269283432225074,0.00017896364443009986,0.0037257411881031852
7,institution,10,0.015729,0.01555,0.8770949720670327,0.055865921787707114,0.00047154631465669977,0.09692639240314926
7,retail,20,0.106233,0.094797,0.9666841552990563,0.004109828611401849,0.000972658395767198,0.030074855400045092
8,foreign,75,0.063087,0.055357,1.1716688227684349,0.01565329883570454,0.0017647966742515998,0.03183968414504331
8,institution,10,0.014125,0.013928,0.8883248730964413,0.050761421319803435,0.0004412028938531997,0.0933218934373927
8,retail,20,0.106288,0.095964,0.9585432003099562,0.00910499806276741,0.0009572450071573015,0.030644894782483466
9,foreign,75,0.066962,0.058604,0.9752333094041638,0.008255563531945405,0.0018383481074124998,0.0371237031321335
9,institution,10,0.016211,0.016067,0.8750000000000181,0.055555555555539496,0.00046518351882700055,0.09624698293022446
9,retail,20,0.108398,0.095823,0.9481510934393638,0.012087475149105327,0.0012678168714045993,0.03737819004626135
10,foreign,75,0.064177,0.055411,1.0002281542322613,-0.0005703855806530918,0.00023761554621159987,0.004369628515617554
10,institution,10,0.016992,0.016796,0.8826530612244797,0.05612244897959436,0.00046586478129019993,0.0962806293694546
