split,investor,n_test,r2_train_mean,r2_zero
21,institution,194,0.004533900744370323,-0.004014584770877017
21,retail,194,0.02974597101052967,0.030180329591495192
22,foreign,194,0.07720729546877536,0.06462349946091461
22,institution,194,0.003896754586564799,0.003492987799944225
22,retail,194,-0.020341544280534363,-0.028076692337300146
23,foreign,197,-0.017445941536666787,-0.05836679367683484
23,institution,197,0.04048795398102023,0.004469583687237155
23,retail,197,0.07221482368263399,0.028418741718251428
24,foreign,194,0.21537510205727328,0.10607082697618098
24,institution,194,0.024356663802918566,0.008079648674632511
24,retail,194,0.23610715800747062,0.1660485712798614
25,foreign,194,0.2289857844229588,0.13815598912125582
25,institution,194,-0.009771761226223585,0.005862431034269089
25,retail,194,0.14782294471751933,0.10861034159069993
26,foreign,194,0.16097321228412687,0.14249010910428206
26,institution,194,-0.026115701195527974,-0.01880604397630603
26,retail,194,0.1995237236881756,0.18931214781894457
27,foreign,194,0.15195078432468667,0.14679949322532582
27,institution,194,-0.010219151846466712,-0.017513903082022386
27,retail,194,0.17961008535644107,0.15804159079022007
28,foreign,194,0.149392364552707,0.0911223539954451
28,institution,194,-0.0172973134123664,-0.015307880279441077
28,retail,194,0.14329224082107883,0.10716409697694051
29,foreign,197,0.06873487969840752,-0.03424978302032544
29,institution,197,0.03383083268446385,-0.0033580731160791633
29,retail,197,0.2018604281108356,0.1140598548727969
30,foreign,194,0.1710628291104056,0.13424875579910422
30,institution,194,0.018404873269986743,0.020008144204682998
30,retail,194,0.09753842946870683,0.09054209395614832
31,foreign,194,0.11734877288656809,0.11844112306666099
31,institution,194,0.0003845053320153946,-0.005672198436521558
31,retail,194,0.1875218555314141,0.18743453586622882
32,foreign,194,0.18523136078427205,0.18231832746223786
32,institution,194,0.034062777369374464,0.0065925070600765245
32,retail,194,0.1494329601087474,0.14919371489807753
33,foreign,194,0.05908838941312511,0.04637882104109892
33,institution,194,0.03944942903753357,0.021541091168748583
33,retail,194,0.09182670039994767,0.08417019446702856
34,foreign,197,-0.03869729341623729,-0.08315992727700627
34,institution,197,0.04521522572159886,-0.00822749130770184
34,retail,197,0.15532692551511285,0.11297244448049915
35,foreign,194,0.0707801190962829,0.07132764325347551
35,institution,194,-0.02345032874603925,-0.0097463310725181
35,retail,194,0.1425865570838618,0.1293752202313707
36,foreign,194,0.16828196127177042,0.16418102639252252
36,institution,194,-0.004743975952280932,0.0048817635645633795
36,retail,194,0.04747612315321237,0.03785760631484836
37,foreign,194,0.05358671658150238,0.0428640759031772
37,institution,194,0.005572425226744393,0.019891628263383754
37,retail,194,-0.015024547387541443,-0.01488119217277828
38,foreign,197,-0.00895668570115049,-0.044367571197258426
38,institution,197,0.03494291049194098,0.019074131198035915
38,retail,197,0.030677738671206156,0.01311195361826989
39,foreign,194,0.21526107003567863,0.1735010905420944
39,institution,194,-0.014282782566072072,-0.01445988447518154
39,retail,194,0.2508019640107886,0.2186455664911625
40,foreign,194,0.05750088060058978,0.052635340931564634
40,institution,194,-0.018234393635471857,-0.012727861930129425
40,retail,194,0.13915255608990096,0.12862033078809854
41,foreign,197,0.0430552112188749,0.04379299057674546
