investor,max_abs_diff,mean_abs_diff,n,sign_mismatches
foreign,0.0166023317724466,0.0010280245941517,495,89
institution,0.0021245131132858683,0.0001465222083095661,495,140
retail,0.00451691425830944,0.000968410817676412,495,87
