epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,-0.0004999971715733409
1,beta,persist,,0.000499999790918082
1,beta,underwater,,-0.0004999995580874383
1,B,momentum,kospi_return_1d,-0.000499999092426151
1,B,momentum,fx_level_z_252,0.0004999994998797774
1,B,persist,kospi_return_1d,-0.0004999994416721165
1,B,persist,fx_level_z_252,0.0004999976954422891
1,B,underwater,kospi_return_1d,0.000499999790918082
1,B,underwater,fx_level_z_252,0.0004999995580874383
1,alpha,,kospi_return_1d,-0.0004999997327104211
1,alpha,,fx_level_z_252,-0.0004999996162950993
2,beta,momentum,,-0.00029643578454852104
2,beta,persist,,0.0009942245669662952
2,beta,underwater,,-0.000962895923294127
2,B,momentum,kospi_return_1d,-0.0006837979890406132
2,B,momentum,fx_level_z_252,0.0009648887207731605
2,B,persist,kospi_return_1d,-0.0009191151475533843
2,B,persist,fx_level_z_252,0.00035067793214693666
2,B,underwater,kospi_return_1d,0.000982801546342671
2,B,underwater,fx_level_z_252,0.0009717253851704299
2,alpha,,kospi_return_1d,-0.000991482869721949
2,alpha,,fx_level_z_252,-0.000982176512479782
3,beta,momentum,,2.4233449948951602e-05
3,beta,persist,,0.0014865216799080372
3,beta,underwater,,-0.0013956075999885798
3,B,momentum,kospi_return_1d,-0.0006470620282925665
3,B,momentum,fx_level_z_252,0.0014174820389598608
3,B,persist,kospi_return_1d,-0.0012768711894750595
3,B,persist,fx_level_z_252,6.119578029029071e-05
3,B,underwater,kospi_return_1d,0.0014514755457639694
3,B,underwater,fx_level_z_252,0.0014230337692424655
3,alpha,,kospi_return_1d,-0.0014815658796578646
3,alpha,,fx_level_z_252,-0.0014562953729182482
4,beta,momentum,,-4.838781023863703e-05
4,beta,persist,,0.0019772453233599663
4,beta,underwater,,-0.001789163681678474
4,B,momentum,kospi_return_1d,-0.0004769009829033166
4,B,momentum,fx_level_z_252,0.001862941775470972
4,B,persist,kospi_return_1d,-0.0015729913720861077
4,B,persist,fx_level_z_252,-0.0002836196799762547
4,B,underwater,kospi_return_1d,0.0019018719904124737
4,B,underwater,fx_level_z_252,0.0018496128031983972
4,alpha,,kospi_return_1d,-0.0019712746143341064
4,alpha,,fx_level_z_252,-0.0019224958959966898
5,beta,momentum,,-3.5920525988331065e-05
5,beta,persist,,0.002466346602886915
5,beta,underwater,,-0.002130528213456273
5,B,momentum,kospi_return_1d,-0.0002263521309942007
5,B,momentum,fx_level_z_252,0.002301553264260292
5,B,persist,kospi_return_1d,-0.0018053275998681784
5,B,persist,fx_level_z_252,-0.0002529985213186592
5,B,underwater,kospi_return_1d,0.0023283252958208323
5,B,underwater,fx_level_z_252,0.0022459072060883045
5,alpha,,kospi_return_1d,-0.0024604122154414654
5,alpha,,fx_level_z_252,-0.002380118239670992
6,beta,momentum,,3.4206128475489095e-05
6,beta,persist,,0.0029534748755395412
6,beta,underwater,,-0.0024067272897809744
6,B,momentum,kospi_return_1d,7.265780004672706e-05
6,B,momentum,fx_level_z_252,0.0027327267453074455
6,B,persist,kospi_return_1d,-0.0019705567974597216
6,B,persist,fx_level_z_252,-7.129179721232504e-05
6,B,underwater,kospi_return_1d,0.002724714344367385
6,B,underwater,fx_level_z_252,0.00260567688383162
6,alpha,,kospi_return_1d,-0.002948787761852145
6,alpha,,fx_level_z_252,-0.0028274613432586193
7,beta,momentum,,-7.94611987657845e-05
7,beta,persist,,0.0034381886944174767
7,beta,underwater,,-0.0026077961083501577
7,B,momentum,kospi_return_1d,0.00013999010843690485
7,B,momentum,fx_level_z_252,0.00315535394474864
7,B,persist,kospi_return_1d,-0.002068959642201662
7,B,persist,fx_level_z_252,0.00019469922699499875
7,B,underwater,kospi_return_1d,0.003085164586082101
7,B,underwater,fx_level_z_252,0.002922964282333851
7,alpha,,kospi_return_1d,-0.003436190076172352
7,alpha,,fx_level_z_252,-0.003262224141508341
8,beta,momentum,,-0.00014139915583655238
8,beta,persist,,0.0039201099425554276
8,beta,underwater,,-0.0027290373109281063
8,B,momentum,kospi_return_1d,7.028065010672435e-05
8,B,momentum,fx_level_z_252,0.0035659815184772015
8,B,persist,kospi_return_1d,-0.002099514938890934
8,B,persist,fx_level_z_252,0.00037797927507199347
8,B,underwater,kospi_return_1d,0.0034047584049403667
8,B,underwater,fx_level_z_252,0.0031928347889333963
8,alpha,,kospi_return_1d,-0.003922333009541035
8,alpha,,fx_level_z_252,-0.0036822787951678038
9,beta,momentum,,-0.00015902885934337974
9,beta,persist,,0.004398887045681477
9,beta,underwater,,-0.002771386643871665
9,B,momentum,kospi_return_1d,-8.663947664899752e-05
9,B,momentum,fx_level_z_252,0.003960170783102512
9,B,persist,kospi_return_1d,-0.002065135631710291
9,B,persist,fx_level_z_252,0.00048731028800830245
9,B,underwater,kospi_return_1d,0.0036799462977796793
9,B,underwater,fx_level_z_252,0.003411254845559597
9,alpha,,kospi_return_1d,-0.004406988155096769
9,alpha,,fx_level_z_252,-0.004085041582584381
